,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 19:27:31,1298401653293494277,2020-08-25 23:27:31,1284181755008819201,LalaCali9,45,"MORGAN STANLEY $DXY:

“Monetary supply expansion is going to be #DEBASING to the #DOLLAR and make the case for $GOLD pretty sturdy""

$aal $dis $dal $ccl $plug $bac $nclh $fit $ba $mrna $ual $amd $nio $cgc $crl $znga $cron $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdtry $usdchf https://t.co/dOGNzbdvtz"
2020-08-25 19:32:14,1298402837081272325,2020-08-25 23:32:14,493977187,OfficialDonsino,7561,$AAL packed airport at DFW. Airlines are coming back https://t.co/aB4Kz3jGcz
2020-08-25 19:33:00,1298403030245638144,2020-08-25 23:33:00,1289361654724136961,katie_line09,159,"After day trading for 12+ years I would really recommend switching your platform to Webull. 
You get to trade for 16 HOURS a day! A game changer! Sign up here now for 2 free stocks worth $12 - $1400!

https://t.co/QwtM190pZh
-

$brqs $ontx $myt $ibio $ge $cgix $aal $gevo 1"
2020-08-25 19:40:58,1298405037161558018,2020-08-25 23:40:58,1231389147798986753,misfit821,105,"RT @DeItaOne: **AMERICAN AIRLINES TO CUT 19,000 JOBS 
$AAL"
2020-08-25 19:41:20,1298405129520123904,2020-08-25 23:41:20,929061098,TheYellowFist,148,"RT @Lebeaucarnews: American Airlines to cut 40,000 positions come Oct. 1st. (approx. 29% of the company's payroll).  19,000 jobs will be cu…"
2020-08-25 19:53:46,1298408258592546818,2020-08-25 23:53:46,1284507431402450949,QuantTrader8,80,"35/38 (92.1%) accuracy for the past SPY expirations since account inception on 6/1. let's see if tomorrow is the day...

$SPX
$DIA
$DJIA
$ES_F
$NQ_F
$IWM
$MSFT
$NFLX
$GOOG
$GOOGL
$IVV
$TSLA
$VWO
$IEFA
$IEMG
$IJH
$EEM
$NDX
$SOXL
$TQQQ
$SOXX
$VXX
$AAL
$CCL
$UAL
$BA
$DAL
$IBM
$INTC https://t.co/7xMz47mUu9"
2020-08-25 20:00:00,1298409825462755328,2020-08-26 00:00:00,1244864492,RightAlerts,3214,"$nkla $spaq $sonn $shll $mara $rlftf $aal $fb $tsla $nkla $xspa $evfm $ktov $aapl $vxrt $nak $bntx $gevo $srne $nio $adma $msft $idex $avgr $spy $gaxy $mark $ibio

WE ALERTED $BOXL at $1.5 RAN TO $3.2 (113% GAIN!)

Daily Alerts 

ONLY $15 ONE TIME!

BEAT THAT
👇👇
🚨LINK IN BIO🚨"
2020-08-25 20:01:27,1298410192112103424,2020-08-26 00:01:27,574190667,Moorewealthal,333,"RT @MarketRebels: $AAL set to cut 19000 jobs when federal aid expires in October
https://t.co/BQDRJv2A3p"
2020-08-25 20:05:29,1298411207511158784,2020-08-26 00:05:29,1664138053,davidmoadel,21549,"At These Prices, the Runway Is Clear for You to Buy Spirit Airlines Stock -- my article for @investorplace https://t.co/eIi9QhCdjo $SAVE $UAL $DAL $JBLU $AAL $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks $AAPL $TSLA $AMZN $INTC $NFLX $AMD #economy $CMG"
2020-08-25 20:07:19,1298411665902522369,2020-08-26 00:07:19,1284181755008819201,LalaCali9,45,"GOLDMAN SACHS: $DXY

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $hexo $uber $nflx $cgc $twtr $crl $znga $cron $t $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdtry $usdchf $fxe $fxy https://t.co/IHh2cQuZdi"
2020-08-25 20:07:36,1298411738497536003,2020-08-26 00:07:36,1284181755008819201,LalaCali9,45,"MORGAN STANLEY $DXY:

“Monetary supply expansion is going to be #DEBASING to the #DOLLAR and make the case for $GOLD pretty sturdy""

$aal $dis $dal $ccl $plug $bac $nclh $fit $ba $mrna $ual $amd $nio $cgc $crl $znga $cron $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdtry $usdchf https://t.co/ju84jMGOtc"
2020-08-25 20:07:41,1298411758713880576,2020-08-26 00:07:41,359811173,Musly_Joe,115,"RT @Investingcom: *AMERICAN AIRLINES TO CUT 19,000 JOBS WHEN FEDERAL AID EXPIRES IN OCTOBER 

*AMERICAN AIRLINES PLANS TO FLY LESS THAN HAL…"
2020-08-25 20:08:45,1298412027623301121,2020-08-26 00:08:45,829195294743097344,coto412,637,"RT @DeItaOne: **AMERICAN AIRLINES TO CUT 19,000 JOBS 
$AAL"
2020-08-25 20:15:50,1298413810836013061,2020-08-26 00:15:50,1247549872980533257,ICoptionstrade,2768,"#ICdailyrecap: $MU $FDX $WKHS we secured 40%+ gains today. $AAL climbed back up and got us out above our entry price, and we minimized risk seeing that it had a tough time at $13.5. Hope everyone is securing gains w/ us &amp; staying disciplined. 

$ROKU $AMD $SPY $TSLA $GOOGL $AMZN https://t.co/z205RZTmEG"
2020-08-25 20:20:12,1298414908506341376,2020-08-26 00:20:12,2299207880,MeechMakaveli,1057,"RT @financial_kf: Again, employers will leave your ass on the street. It is reminder to take your finances seriously and prepare accordingl…"
2020-08-25 20:22:17,1298415434652430344,2020-08-26 00:22:17,1297544184690348035,Kimberl04100514,1,"RT @Investingcom: *AMERICAN AIRLINES TO CUT 19,000 JOBS WHEN FEDERAL AID EXPIRES IN OCTOBER 

*AMERICAN AIRLINES PLANS TO FLY LESS THAN HAL…"
2020-08-25 20:27:23,1298416719266971650,2020-08-26 00:27:23,1284181755008819201,LalaCali9,45,"Jerome Powell $DXY

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $cgc $twtr $crl $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo $gold https://t.co/tHwiU733FQ"
2020-08-25 20:31:22,1298417717939261442,2020-08-26 00:31:22,1250240897440251916,feemaaaa,9,RT @OfficialDonsino: $AAL packed airport at DFW. Airlines are coming back https://t.co/aB4Kz3jGcz
2020-08-25 20:36:00,1298418884119154688,2020-08-26 00:36:00,742607401,bryanstewart108,1569,"RT @carlquintanilla: * American Airlines to Cut 19,000 Jobs

$AAL

(via Dow Jones)"
