,ID,Created,User_id,User_name,User_flr,Text
2020-08-18 08:17:51,1295696411145756672,2020-08-18 12:17:51,191033726,lucidtrend,4134,"RT @lucidtrend: #TheSTRAT
Inside week and up.

$CRNC
$SQ
$PANW
$TTWO
$TMUS
$ABC
$MOH

https://t.co/860jhnCO04 #Stock"
2020-08-18 09:52:48,1295720305382641667,2020-08-18 13:52:48,2422703600,SwingTradeBot,8150,Outside Day today: $ABC $ENR $RHE $JBK $MBUU $EMTY ... https://t.co/Ya1wmaeD73
2020-08-18 09:55:48,1295721058604130305,2020-08-18 13:55:48,1134049078424162304,newsfilterio,4131,Drug-Distributor Stocks Rise as Opioid Settlement Looks Closer After Report on More Talks $JNJ $MCK $ABC $CAH $TEVA https://t.co/w7bMPlpSTh
2020-08-18 10:03:30,1295722997215617030,2020-08-18 14:03:30,1222163821441122304,HealthcareBeat,1128,Drug-Distributor Stocks Rise as Opioid Settlement Looks Closer After Report on More Talks $JNJ $MCK $ABC $CAH $TEVA https://t.co/99iaE1eygA
2020-08-18 10:53:08,1295735488993665025,2020-08-18 14:53:08,374729426,Tickeron,5954,$ABC in Downtrend: Stochastic indicator recovers from overbought zone. View odds for this and other indicators: https://t.co/9npJBtswFZ #AmerisourceBergen #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/jx0IQac9ud
2020-08-18 11:30:00,1295744764340568064,2020-08-18 15:30:00,166597717,theflynews,23899,REPORT: States seeking $26.4B from pharma companies in opioid litigation $MCK $ABC $CAH $JNJ https://t.co/yIczyDulD0
2020-08-18 11:36:03,1295746287560613888,2020-08-18 15:36:03,121158213,AlertTrade,142005,RT @theflynews: REPORT: States seeking $26.4B from pharma companies in opioid litigation $MCK $ABC $CAH $JNJ https://t.co/yIczyDulD0
2020-08-18 11:38:45,1295746968728358917,2020-08-18 15:38:45,544484168,darylmox,1047,RT @theflynews: REPORT: States seeking $26.4B from pharma companies in opioid litigation $MCK $ABC $CAH $JNJ https://t.co/yIczyDulD0
2020-08-18 12:05:58,1295753814662930432,2020-08-18 16:05:58,166597717,theflynews,23899,Fly Intel: Wall Street's top stories at midday $ORCL $MSFT $WMT $HD $KSS $MCK $ABC $CAH $JNJ $GRPN $GRWG $SE $PSTX $KC https://t.co/CTs2bqzg93
2020-08-18 12:17:47,1295756790680948738,2020-08-18 16:17:47,776942209811701764,CompoundTrading,1724,"Fly Intel: Wall Street's top stories at midday $ORCL $MSFT $WMT $HD $KSS $MCK $ABC $CAH $JNJ $GRPN $GRWG $SE $PSTX $KC

https://t.co/kWRJPBAYcb"
2020-08-18 12:32:25,1295760474118684672,2020-08-18 16:32:25,852931863547084801,TranscriptDaily,714,AmerisourceBergen $ABC – Research Analysts’ Recent Ratings Updates https://t.co/xRZyied581
2020-08-18 12:32:27,1295760482423517185,2020-08-18 16:32:27,2920258887,dakotafinancial,1619,AmerisourceBergen $ABC – Research Analysts’ Recent Ratings Updates https://t.co/Y0ce61YTil
2020-08-18 12:35:51,1295761335242952704,2020-08-18 16:35:51,61661638,AmericanBanking,7929,AmerisourceBergen $ABC – Research Analysts’ Recent Ratings Updates https://t.co/hr8AeOtIh3 #stocks
2020-08-18 12:38:56,1295762113995116544,2020-08-18 16:38:56,39546678,mediasentiment,6323,$ABC  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1047
2020-08-18 16:08:08,1295814760450199552,2020-08-18 20:08:08,4312114277,fintel_io,1835,"$ABC / AmerisourceBergen files form 8-K - Amendments to Articles of Incorporation or Bylaws; Change in Fiscal Year, Financial Statements and Exhibits -  8-K https://t.co/dRQ8KBzZEA"
2020-08-18 16:08:25,1295814832671817730,2020-08-18 20:08:25,1069693680066420736,FlashAlert_me,1087,"$ABC [15s. delayed] filed form 8-K on August 18, 16:07:34: Item5.03: Amendments to Articles of Incorporation or Bylaws; Change in Fiscal Year https://t.co/8yxzk4Sr7e"
2020-08-18 16:08:31,1295814855488876545,2020-08-18 20:08:31,1222163821441122304,HealthcareBeat,1128,"Form 8-K: Amendments to Articles of Incorporation or Bylaws; Change in Fiscal Year. On August 13, 2020, the Board of Di.. $ABC https://t.co/gBYTanDxk6"
2020-08-18 16:08:44,1295814912095076352,2020-08-18 20:08:44,1068561714055012352,EdgarInsider,2250,New Form 8-K [Press/News Current Report] entry filed by  $ABC AMERISOURCEBERGEN CORP  https://t.co/GnMZitxKSy
2020-08-18 17:45:08,1295839170011828226,2020-08-18 21:45:08,160964828,tradecaddie,350,"Trade for August 18, 2020 RANGE BOUND $ABC https://t.co/4owT7jXFhx"
