,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 08:18:16,1298233227707068416,2020-08-25 12:18:16,2379618261,biotechDTLB,50,RT @Alertzzzz: $XSPA 100 $ABT  ABBOTT TESTING 🏥MACHINES 💻 FOR 2 airports ✈️??  Hahaha give your heads a shake !!  💯✅✈️💰🐃🇺🇸🏥🌎🐳✈️ https://t.c…
2020-08-25 08:30:39,1298236346075504640,2020-08-25 12:30:39,311741137,droptheroll,6,"RT @StockDweebs: My updated trading plan cont. (these are all from my past picks and watchlists):

3. $CRM, $AMD, ... couldn't get in

4. W…"
2020-08-25 08:43:25,1298239558006472705,2020-08-25 12:43:25,832251404,EmergingGrowth1,1615,"The Next Best Value in Biotech:

https://t.co/F3dV6zZUOq

$GLUC Glucose Health, Inc. (OTC Pink: GLUC) selling in $CVS $WMT $AMZN

$RHHBY $CANF $EPIX $MRK $GNCA $SYBX $XYN $REGN $RGNX $ABT $PG $AMGN $GSK $GILD $CELG $BIIB

#Insulin #Obese #Obesity #Health #Nutrition #HotStocks"
2020-08-25 08:44:14,1298239763703631875,2020-08-25 12:44:14,34955940,TheSUBWAY,14599,"RT @EmergingGrowth1: The Next Best Value in Biotech:

https://t.co/F3dV6zZUOq

$GLUC Glucose Health, Inc. (OTC Pink: GLUC) selling in $CVS…"
2020-08-25 08:44:16,1298239771517628417,2020-08-25 12:44:16,1243576354546819073,things_move,28,"RT @StockDweebs: My updated trading plan cont. (these are all from my past picks and watchlists):

3. $CRM, $AMD, ... couldn't get in

4. W…"
2020-08-25 08:44:17,1298239778253676545,2020-08-25 12:44:17,21434709,StockPromoters,4534,"RT @EmergingGrowth1: The Next Best Value in Biotech:

https://t.co/F3dV6zZUOq

$GLUC Glucose Health, Inc. (OTC Pink: GLUC) selling in $CVS…"
2020-08-25 08:46:27,1298240321730428928,2020-08-25 12:46:27,889088169961967617,PhamCaius,11,"RT @StockDweebs: My updated trading plan cont. (these are all from my past picks and watchlists):

3. $CRM, $AMD, ... couldn't get in

4. W…"
2020-08-25 09:12:16,1298246820045262848,2020-08-25 13:12:16,944256175637389312,dhananjay_277,50,$abt #arcblock no fuck given to btc dump.... https://t.co/Rkf88jRtpM
2020-08-25 09:15:09,1298247543520768001,2020-08-25 13:15:09,970958878979407873,JansonCrypto,14,"RT @StockDweebs: My updated trading plan cont. (these are all from my past picks and watchlists):

3. $CRM, $AMD, ... couldn't get in

4. W…"
2020-08-25 09:28:52,1298250996150341632,2020-08-25 13:28:52,168161721,DividendSheet,4012,Momentum Dividend Stocks in August 2020 - $FDX $AVGO $TXN $BBY $DE $ABT… https://t.co/NrbuxeH1ie #investing #stocks
2020-08-25 09:39:26,1298253656546881538,2020-08-25 13:39:26,132769552,C3sarMartin3z,41,"RT @StockDweebs: My updated trading plan cont. (these are all from my past picks and watchlists):

3. $CRM, $AMD, ... couldn't get in

4. W…"
2020-08-25 09:43:38,1298254713314402305,2020-08-25 13:43:38,954234788742877184,Mspang1n,14,Sold 1 of 2 calls of $ABT on this pop for 30% gain.
2020-08-25 09:45:27,1298255171198185474,2020-08-25 13:45:27,1259494808051163136,thebubbleboard,633,"Tue Aug 25th
Today's BEST performing sector just after the open

Health Care +0.6%

follow along here: https://t.co/bN6i2e92Uv

#healthcare #stockbubbles #finance #bubbleboard #stocktrading
$AMGN $MDT $NVO $SNY $ABT $DHR $LLY $BMY $AZN $MRK https://t.co/z6kkENzaac"
2020-08-25 10:06:24,1298260441441812482,2020-08-25 14:06:24,704278910595272704,Natalubavina,1048,Well best enough BTC Trade signal service community 📡🔥💰  ⌦ https://t.co/6tW0g3bg05 ← Enjoy this crypto like me!  $ALGO $ADK $AMO $ART $ATX $ABT $AEON $ABBC $AST $ATCC $ACT $AION $ADX $AE
2020-08-25 10:07:16,1298260661214953477,2020-08-25 14:07:16,18685675,jhook87,18,"@StockDweebs just sold $ABT for a small profit. After yesterdays dump I got cold feet. Still, money made is money made! Thanks for all the info! will continue to follow https://t.co/V7Z5l2UD6e"
2020-08-25 10:22:03,1298264379083722752,2020-08-25 14:22:03,2422703600,SwingTradeBot,8150,Rose Above Upper Bollinger Band today: $ARCH $ISRG $QMCO $HCCH $RMED $FMTX $SHYF $CYCN $IHY $RJA $EEFT $ONEW $CUB $IDRA $ADRE $CMG $SPT $ABT $SLM ... https://t.co/AyIukUXX9J
2020-08-25 10:26:47,1298265569976659971,2020-08-25 14:26:47,1285269194792210432,IguanaTrading,28,$abt nearing 103 again
2020-08-25 10:32:31,1298267013022793731,2020-08-25 14:32:31,25762392,aaaamhim,18070,$RSPI OVERSOLD GETTING LOADED! 52WKH 86 cents!📈  $IONS $GBT $XON $CRSP $EDIT $NTLA $PBYI $BMRN $TSRO $CELG $BLUE $ALKS $ALNY $GILD $BIIB $AMGN $SGMO $ONCE $ENDP $PRGO $LCI $COLL $ANIP $EGRX $MYL $OSUR $PODD $TNDM $BIO $EW $ABT $MDT $ZIOP $KOOL $SRNE $CLLS $JNJ https://t.co/h5G49kbjv4
2020-08-25 10:46:25,1298270514247393280,2020-08-25 14:46:25,954234788742877184,Mspang1n,14,Sold last call in $ABT and $DLTR.
2020-08-25 10:56:00,1298272922411233281,2020-08-25 14:56:00,842223917578231809,OptionsITrader,177,"What a weird market today. It may fall more before today but gains rest of the week. Expecting strong rallies this week in the following: $AAPL $UPS $FDX $FB $TGT, and maybe even $ABT if the government finally orders rapid testing for #COVID19 #buythedip"
