,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 15:21:18,1298339688122650625,2020-08-25 19:21:18,958330144002920448,br_ups,1670,"$btc #bitcoin come a red candle, so deep? Do you feel it too?

$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $Vidt $TWTR $XLE $XOM $AMD $BTC.X $BTC $ETH $ZI $Z $BA $DOW $NET $PROP $UPS $btc $eth  $agi $req $sxp $chr #bitcoin $xrp #Chanlix #link #eth #Eth https://t.co/OTcwvwoCQ2"
2020-08-25 15:36:02,1298343396927365120,2020-08-25 19:36:02,329258969,Showstopper1307,190,@seyedoption Thoughts on $ADBE when you get a moment plz :)
2020-08-25 15:36:04,1298343406779813888,2020-08-25 19:36:04,1294147772870848513,melfarra123,148,"I say we have a strong retraction next week...then we go higher! Spreads print in this type of a market, just know the environment and you are good!📈 $SPX $SPY $AAPL $DJI $QQQ $NQ $MSFT $NIO $TSLA $PYPL $NFLX $AMZN $SQ $WMT $GOOG $ADBE $BAC $JPM"
2020-08-25 15:41:15,1298344707781689345,2020-08-25 19:41:15,958330144002920448,br_ups,1670,"#link $link 
the break will be huge ... 3.90$ don't be surprised
$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $Vidt $TWTR $XLE $XOM $AMD $BTC.X $BTC $ETH $ZI $Z $BA $DOW $NET $PROP $UPS $btc $eth  $agi $req $sxp $chr #bitcoin $xrp #Chanlix #link #eth #Eth"
2020-08-25 15:44:01,1298345404560560130,2020-08-25 19:44:01,2354078360,PanicRevin,481,Sold $ADBE $480call. In at 5.45 out at 11.43 done trading for the week thanks to #BullseyeTrades
2020-08-25 15:46:40,1298346072675426304,2020-08-25 19:46:40,958330144002920448,br_ups,1670,"$btc #bitcoin #btc
on the brink of a cliff ... ready to jump

$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $Vidt $TWTR $XLE $XOM $AMD $BTC.X $BTC $ETH $ZI $Z $BA $DOW $NET $PROP $UPS $btc $eth  $agi $req $sxp $chr #bitcoin $xrp #Chanlix #link #eth #Eth https://t.co/8Jdj7gYLMV"
2020-08-25 15:47:08,1298346192095424512,2020-08-25 19:47:08,988646319504814081,PrintingProfit,1460,$ADBE next level 285
2020-08-25 15:49:40,1298346826471481345,2020-08-25 19:49:40,1214597681911357440,SigmaPicks,51,$ADBE yup still on auto pilot! https://t.co/eXzprrBQPB
2020-08-25 15:50:24,1298347011784282113,2020-08-25 19:50:24,28212513,Barchart,11688,$ADBE is currently in the lead for the most Unusual Options Activity on Barchart. Visit https://t.co/zOh9PA7n8n to view more unusual options. https://t.co/H0yVDFYBqn #options https://t.co/eOBZGPWHHl
2020-08-25 15:51:36,1298347315955150849,2020-08-25 19:51:36,16659534,jeremymday,257,"$ADBE 5 years 627% return so 6 bagger and counting...

$ADSK 5 years 536% return so 5 bagger and counting...

$AMZN 5 year 646% return...

$AAPL 5 year return 422% return...

$NFLX 5 year return 418% return...

Does this tell me anything?"
