,ID,Created,User_id,User_name,User_flr,Text
2020-08-20 13:47:51,1296504232510730247,2020-08-20 17:47:51,738550990698336261,stockbard,231,"$EARN $FOR $SEAS
$BAM! $ADS $ARE $INN
$IM $OUT $A $LAD"
2020-08-20 14:17:52,1296511786989035521,2020-08-20 18:17:52,738550990698336261,stockbard,231,"$BAM! $IM $TOO $FIT
$SEE $MS $KATE $FOR $ADS
$PAY $AT $A $QUAD"
2020-08-20 14:18:15,1296511882078162946,2020-08-20 18:18:15,1220052576139218944,StockSwingAndO1,450,"RT @stockbard: $BAM! $IM $TOO $FIT
$SEE $MS $KATE $FOR $ADS
$PAY $AT $A $QUAD"
2020-08-20 15:18:11,1296526963272712193,2020-08-20 19:18:11,738550990698336261,stockbard,231,"$SEE $FOR $A $BIN
$ALL $ADS $AGO
$DO $ALL"
2020-08-20 15:21:07,1296527705173708800,2020-08-20 19:21:07,374729426,Tickeron,5954,$ADS in Downtrend: Stochastic indicator peaks and leaves overbought zone. View odds for this and other indicators: https://t.co/OQScquPfKP #AllianceDataSystem #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/1nI02QxTKk
2020-08-20 16:02:03,1296538003033161730,2020-08-20 20:02:03,1069693680066420736,FlashAlert_me,1087,"$ADS [15s. delayed] filed form 8-K on August 20, 16:00:53: Item5.02: Departure of Election 0f Officers or Compensatory Arrangements https://t.co/ymAundom8L"
2020-08-20 16:02:56,1296538227088584704,2020-08-20 20:02:56,1068561714055012352,EdgarInsider,2250,FORM 8-K [Press/News Current Report] recently SEC filed.  $ADS ALLIANCE DATA SYSTEMS CORP  https://t.co/nffwTNpdBH
2020-08-20 16:03:17,1296538313994768385,2020-08-20 20:03:17,4312114277,fintel_io,1835,"$ADS / Alliance Data Systems files form 8-K - Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers, Financial Statements and Exhibits -  FORM 8-K https://t.co/XHIZd8x3wj"
2020-08-20 16:18:00,1296542020769644545,2020-08-20 20:18:00,738550990698336261,stockbard,231,"$IM $MS $FIT $AT $A $BLT
$HE $SEE $KATE
$FLOW $ALL $ADS $OUT $DATA"
2020-08-20 16:47:57,1296549556491100161,2020-08-20 20:47:57,738550990698336261,stockbard,231,"$SID
$HUBS $ARE $OUT $ADS
$IM $MY $BRO"
2020-08-20 18:23:34,1296573616583331840,2020-08-20 22:23:34,820720686,ZiwangDeng,55,$GDDY $CATY $IMVT $MYL $NTRS $ADS $ARMK $ASB $AXP $KEY $KEYS $LDOS $MBT $RCL and $TOT  20-day moving averages crossed 50-day moving averages within the last 3 days. Welcome  visit https://t.co/aGgqBPbRHU for free charts https://t.co/iDiZHz15Uh
2020-08-20 20:17:42,1296602340485730304,2020-08-21 00:17:42,738550990698336261,stockbard,231,"$IT $EAT $ONE $AT $DATA
$ALL $KEYS
$ADS $ARE $HD"
2020-08-20 22:47:44,1296640099225083904,2020-08-21 02:47:44,738550990698336261,stockbard,231,"$MR $GAS
$DANG! $HE $BORN $MR $FOE
$HI! $KEYS $ARE $AT $ADS"
2020-08-21 00:29:50,1296665792096813057,2020-08-21 04:29:50,72185690,15minofPham,2329,"Thurs (8/20/20) greatest % below the opening 30-min low, G/L % in final 30-Min &amp; Trading range % (Min $5, Vol 750K, Opt Vol in any strike 500): $CRSP $REDU $KODK $GRWG $VXX $BBBY $FANG $CODX $VXRT $TPE $PE $TUP $SLB $JKS $SPWR $PCG $ADS $PLCE $LI $JWN $NKLA $TJX $PDCE $MOMO $FTCH https://t.co/9mYZ1CeQuI"
2020-08-21 01:23:37,1296679326729953280,2020-08-21 05:23:37,72185690,15minofPham,2329,"Thurs (8/20/20) X Below 5-Day price channel with greatest % below the opening 30-min low &amp; Trading range &lt; 20% (Min $5, Vol 750K, Opt Vol in any strike 250): $BBBY $OPRA $VXRT $TPR $PE $ABC $SLB $PCG $ADS $JWN $QID $PBF $ANF $PDCE $CVS $AEP $KKR $BX $PSQ $NWL $XOP $FLIR $FISV https://t.co/SphbyaorDG"
2020-08-21 01:32:13,1296681491557056512,2020-08-21 05:32:13,72185690,15minofPham,2329,"Thurs (8/20/20) MACD bearish X-Over with greatest % below the opening 30-min low &amp; trading range &lt; 20% (Min $5 &amp; Vol 750K, Min Opt Vol 250 in any strike): $BBBY $PE $SLB $ADS $JWN $CVS $FISV $CPRI $M $BK https://t.co/lY31uYaDzO"
2020-08-21 02:12:00,1296691502802968576,2020-08-21 06:12:00,1122897839724478464,hfincap,552,"RT @15minofPham: Thurs (8/20/20) MACD bearish X-Over with greatest % below the opening 30-min low &amp; trading range &lt; 20% (Min $5 &amp; Vol 750K,…"
2020-08-21 02:51:55,1296701547011702785,2020-08-21 06:51:55,1074111974420574208,rmacmillan310,123,$ADS a bit volatility -4.62 % change recently https://t.co/EAzUxNkutV
2020-08-21 03:47:27,1296715522407567360,2020-08-21 07:47:27,738550990698336261,stockbard,231,"$ADS $ARE $MS $IDA
$I $BIT $ALL $KEYS
$SEE $OUT $CUBS"
2020-08-21 05:17:59,1296738309478256645,2020-08-21 09:17:59,738550990698336261,stockbard,231,"$SWAY $ONE $ICE $AT $ADS
$BWA! $HE $FLY $FOR $DATA
$I $AM $ONE"
2020-08-21 05:54:28,1296747490650324992,2020-08-21 09:54:28,2920258887,dakotafinancial,1619,Alliance Data Systems’ $ADS Buy Rating Reiterated at Royal Bank of Canada https://t.co/hkFzhYQKsZ
2020-08-21 05:54:33,1296747512049668097,2020-08-21 09:54:33,2298709746,WatchlistN,2740,Alliance Data Systems’ $ADS Buy Rating Reiterated at Royal Bank of Canada https://t.co/klsk2B17aC
2020-08-21 05:54:36,1296747520836677632,2020-08-21 09:54:36,849417718642159616,TheMarketsDaily,1597,Alliance Data Systems’ $ADS Buy Rating Reiterated at Royal Bank of Canada https://t.co/OOR6dIsozK
2020-08-21 06:17:35,1296753308414205953,2020-08-21 10:17:35,738550990698336261,stockbard,231,"$BWA! $CUBS $ARE $TEN
$ADS $ARE $AT $A $SUN
$IM $ALL"
2020-08-21 10:00:21,1296809368235790336,2020-08-21 14:00:21,1296803100913815552,stocktonkatie_,14,"RT @StocktonKatie: Today's biggest outperformers are mostly long-term laggards: $ADS, $GPS, $HBI, $DXC, $LB, $HCA, $APA, $WY...a theme duri…"
2020-08-21 10:13:09,1296812589427507207,2020-08-21 14:13:09,1074111974420574208,rmacmillan310,123,$ADS That's rough. . .   -4.62 % change recently https://t.co/EAzUxNkutV
2020-08-21 11:48:26,1296836565893894144,2020-08-21 15:48:26,738550990698336261,stockbard,231,"$BAM! $ADS $ARE $TOO $EMO
$I $AM $ONE $HIVE $OUT $ADS
$KEYS $ARE $FUN"
2020-08-21 11:53:15,1296837781369454592,2020-08-21 15:53:15,1220052576139218944,StockSwingAndO1,450,"RT @stockbard: $BAM! $ADS $ARE $TOO $EMO
$I $AM $ONE $HIVE $OUT $ADS
$KEYS $ARE $FUN"
2020-08-21 12:17:56,1296843992185876481,2020-08-21 16:17:56,738550990698336261,stockbard,231,"$EFF $MR $SUM $AT $HUBS
$HE $MET $ONE $OAK
$I $AM $TEN $ADS $AGO"
2020-08-21 13:05:01,1296855840993902592,2020-08-21 17:05:01,374729426,Tickeron,5954,"$ADS in Downtrend: its price may drop because broke its higher Bollinger Band on August 10, 2020. View odds for this and other indicators: https://t.co/JwLBNk0coh #AllianceDataSystem #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/VnkibDl6q2"
2020-08-21 13:07:49,1296856546861817861,2020-08-21 17:07:49,716737614771044352,optioncharts,2003,$ADS high OI range is 45.00 to 55.00 for option expiration 08/21/2020 PutCallRatio=0.57 #maxpain #options https://t.co/p3RjFyabzP https://t.co/D7fsqkXgYa
2020-08-21 13:11:54,1296857574151684096,2020-08-21 17:11:54,39546678,mediasentiment,6323,$ADS  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1298
2020-08-21 13:24:32,1296860751001518080,2020-08-21 17:24:32,1185305379409989633,BullOnTank1,1136,"New #tanker report out from @shippingenergy 

https://t.co/nS3WZ3046k

#oott #FinansTwitter #imo2030 $dht $fro $eurn $nat $oet $hunt $ads $tnk $insw"
2020-08-21 13:39:52,1296864611204046848,2020-08-21 17:39:52,1398357830,GregVous,3151,"RT @BullOnTank1: New #tanker report out from @shippingenergy 

https://t.co/nS3WZ3046k

#oott #FinansTwitter #imo2030 $dht $fro $eurn $nat…"
2020-08-21 15:48:00,1296896858011455488,2020-08-21 19:48:00,738550990698336261,stockbard,231,"$IT $STAY $AT $A $BID
$ATE $MS $AFT $ALL $ADS $AGO
$DANG! $HE $TAP $AT $A $CAT"
2020-08-21 19:47:33,1296957143065796608,2020-08-21 23:47:33,738550990698336261,stockbard,231,"$DO $LEE
$I $TAP $MS $JOY $FOR $ADS
$IT $FLOW $MY $FIG"
2020-08-21 22:18:05,1296995022596907008,2020-08-22 02:18:05,738550990698336261,stockbard,231,"$FLOW $MR $ICE
$BWA! $HE $HUM $AT $A $CAB
$HI! $DATA $ARE $OUT $ADS"
2020-08-22 00:47:41,1297032671487459329,2020-08-22 04:47:41,738550990698336261,stockbard,231,"$DANG! $IM $OUT $A $QUAD
$BIT $OUT $ADS
$MMM!"
2020-08-22 01:19:27,1297040666791419904,2020-08-22 05:19:27,1185305379409989633,BullOnTank1,1136,"@PotenPartners Weekly Opinion: A Long Way Back

«Oil demand recovery not expected until 2022»

#oott #FinansTwitter $fro $ads $oet $hunt $dht $nat $eurn $tnp $tnk $insw https://t.co/klJweXDstR"
2020-08-22 03:18:03,1297070515358752776,2020-08-22 07:18:03,738550990698336261,stockbard,231,"$HI! $I $AM $AT $A $GEL
$YUM! $HE $PAY $ALL $SEAS $AGO
$IT $EAT $MY $OAK $FOR $ADS"
2020-08-22 05:01:15,1297096484844961799,2020-08-22 09:01:15,1022006086872821762,communiststocks,88,"Alliance Data Systems - $ADS

💰 QUOTE
$ADS was DOWN ⬇ on Fri Aug 21
Closed at 43.19 USD for a -0.74% loss from previous close
📉 📉 📉

📊 ANALYSIS
Alliance Data Systems should be nationalized
☭ ☭ ☭"
2020-08-22 05:17:47,1297100647301554177,2020-08-22 09:17:47,738550990698336261,stockbard,231,"$IT $SWAY $MR $MAIN $AT $SEAS
$EEP! $I $AM $MY $OAK
$ADS $ARE $AFT"
2020-08-22 05:25:24,1297102561531617281,2020-08-22 09:25:24,852931863547084801,TranscriptDaily,714,Alliance Data Systems $ADS Receives “Buy” Rating from Royal Bank of Canada https://t.co/oUjFY2pGSi
2020-08-22 05:25:39,1297102625557696512,2020-08-22 09:25:39,950445812282265610,bbnsnews,226,Alliance Data Systems $ADS Rating Reiterated by Royal Bank of Canada  https://t.co/TBgbmldG84
2020-08-22 06:22:21,1297116894026063872,2020-08-22 10:22:21,1131956163103248384,CycleWave2,305,"$DAX #DAX30 $SDAXI $ADS $ALV $BAYN $BEI $CON #1COV $DBK $DB $DPW $DTEA $FRE $FME $EON $HNK $LIN $MRK $SAP $SIE $TKA $VNA $HFG $MTX $DHER $DWN $UTDI $TMV #G24 $SHL $PUM #SY1 $SAE
Join CycleWave at Discord community for free update &amp; live interaction - https://t.co/Lm78pLWbpX"
2020-08-22 06:30:00,1297118818905579520,2020-08-22 10:30:00,1131956163103248384,CycleWave2,305,"Adidas AG ( $ADS - $DAX)  - dump it down when bounces
 
Join CycleWave on Discord community for free to get trade ideas update and live interaction - click at https://t.co/Lm78pMdMOx https://t.co/0fndKW2by2"
2020-08-22 09:10:58,1297159329414631424,2020-08-22 13:10:58,2298709746,WatchlistN,2740,Alliance Data Systems Co. $ADS Receives $72.55 Average Price Target from Analysts https://t.co/s1HEKgx4qu
2020-08-22 09:13:02,1297159847205572608,2020-08-22 13:13:02,966006214818697218,EnterpriseLeade,716,Alliance Data Systems Co. $ADS Receives $72.55 Average Price Target from Analysts  https://t.co/EizYOQT0n0
2020-08-22 11:45:50,1297198302543278081,2020-08-22 15:45:50,374729426,Tickeron,5954,$ADS's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram just turned negative. View odds for this and other indicators: https://t.co/7V9ilGdSJ3 #AllianceDataSystem #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/kt7g4zTMZh
2020-08-22 12:47:56,1297213928666206210,2020-08-22 16:47:56,738550990698336261,stockbard,231,"$ADS $ARE $AT $KEYS
$YUM!
$IM $EMO"
2020-08-22 15:59:41,1297262186335744000,2020-08-22 19:59:41,738550990698336261,stockbard,231,"$TEN
$EARN $ALL $ADS $AGO
$EARN $ONE $BIN"
2020-08-22 16:11:05,1297265052425183232,2020-08-22 20:11:05,1054178825049784320,StockWatchHQ,4057,"Qualcomm $QCOM  JP Morgan $JPM To Raises Short Term Price Target
https://t.co/BnESoqsmxY

$BYOC $VGID $ADS $HPR $ABEO $GLUU $VTGN $EXAS $NM $STL $TD $CLVS $ESNT"
2020-08-22 18:17:38,1297296900945739777,2020-08-22 22:17:38,738550990698336261,stockbard,231,"$I $FLY $BIG
$BWA! $ADS $ARE $AT $A $LEAF
$EEP! $HE $FLY $MR $HOT"
2020-08-22 19:18:13,1297312146645233664,2020-08-22 23:18:13,738550990698336261,stockbard,231,"$MR $HOT
$EAT $MR $EMO $FOR $A $KEY
$HE $YELP $ONE $USA $FOR $ADS"
2020-08-22 19:47:49,1297319596647747586,2020-08-22 23:47:49,738550990698336261,stockbard,231,"$PAY $FOR $ADS
$SWAY $ALL $ADS $AGO
$FLY $FOR $SEAS"
