,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 17:01:38,1298364939854385153,2020-08-25 21:01:38,216798259,TiernanRayTech,11519,"Big night out: Salesforce rising, Hewlett-Packard rebounds, Autodesk sags, Pure drops — The Technology Letter // $CRM $HPE $ADSK $PSTG  https://t.co/iHNEs5k7SC"
2020-08-25 17:05:08,1298365817952772096,2020-08-25 21:05:08,1115907923870408704,_Tprocess,64,"RT @StockDweebs: Top weekly stocks (pinned tweet) update:

$AMZN - pushing
$PTON - consolidating
$CRM - up 12%+ - beat earnings
$DG - tryin…"
2020-08-25 17:06:50,1298366249311907845,2020-08-25 21:06:50,931115585790009346,tq_equities,793,"$ADSK finds buyers at key support level: https://t.co/EFF1V3u9mm
Sentiment: Neutral #ADSK #Autodesk"
2020-08-25 17:06:58,1298366278843764736,2020-08-25 21:06:58,100024370,OphirGottlieb,75536,"RT @TiernanRayTech: Big night out: Salesforce rising, Hewlett-Packard rebounds, Autodesk sags, Pure drops — The Technology Letter // $CRM $…"
2020-08-25 17:08:04,1298366558796947456,2020-08-25 21:08:04,801116888,cfromhertz,29695,"TTG #Market Recap Video: https://t.co/3tc2qpjqWs

winners today: $BABA $MSFT $FB $SBUX $ENPH $SE $KWEB $HD 

loser $ADSK earnings trade 

see video for trade blotter #fulltransparency https://t.co/RQmmJtH83u"
2020-08-25 17:20:38,1298369718865162241,2020-08-25 21:20:38,1263691319857184768,InvestingByMatt,27,"RT @jaminball: Autodesk quarter: 

- $913M rev (+16% YoY) vs $898M consensus (2% beat)
- $938M guidance for next Q vs $941M consensus (slig…"
2020-08-25 17:24:40,1298370733253505024,2020-08-25 21:24:40,472319310,Dr_Gno,21,RT @stockspastor: After hours movers:  $INTU $ADSK $CRM $HPE $PSTG @OptionsPastor
2020-08-25 17:31:08,1298372362925203457,2020-08-25 21:31:08,16659534,jeremymday,257,$ADBE really taking off! Might buy its twin $ADSK. Thanks @LiviamCapital https://t.co/4OukVFGW7s
2020-08-25 17:47:03,1298376366975528960,2020-08-25 21:47:03,1143346616151285760,soonervaluecap,3761,"$ADSK
""As a result of our adaptability, outstanding execution
in a difficult environment, and healthy renewal rates, we delivered 15 percent year-over-year growth in revenue, expanded our operating margin by 5 percentage points, and delivered robust free cash flow.” https://t.co/PY4PVPKVjx"
2020-08-25 18:00:00,1298379626163601409,2020-08-25 22:00:00,843187885247488002,traderead,1220,"$NIO $CRM $JWN $BIGC $XOM $PSTG $TOL $GPS $HPE $ADSK : Trending Tickers ( #traderead Free alerts, Option Sweeps , Trading Ideas ... https://t.co/AEjWYVbyWB)"
2020-08-25 18:00:00,1298379626377510914,2020-08-25 22:00:00,2603182496,tradeui,742,"Trending stocks from https://t.co/FpD9VaOq7u 
$NIO $CRM $JWN $BIGC $XOM $PSTG $TOL $GPS $HPE $ADSK"
