,ID,Created,User_id,User_name,User_flr,Text
2020-08-20 20:26:22,1296604520370372618,2020-08-21 00:26:22,1176558075798380544,MonitorAction,545,$AJG English Frank E. Jr. Dumps 2.5K Shares of Arthur J. Gallagher &amp; Co. https://t.co/L4MqWg43TK
2020-08-20 22:27:25,1296634987094171648,2020-08-21 02:27:25,2344420430,InsiderAlerts4U,4156,"$AJG:

New Insider Filing on Arthur J. Gallagher &amp; Co.'s

Director

FRANK E. JR. ENGLISH:

https://t.co/7fS76L2otP"
2020-08-20 23:00:02,1296643191765180416,2020-08-21 03:00:02,966698784519544832,insiderbuyings,966,$AJG new insider selling: 2500 shares. https://t.co/nAfXcLLfNN
2020-08-20 23:52:40,1296656439822385152,2020-08-21 03:52:40,61661638,AmericanBanking,7929,"Arthur J Gallagher &amp; Co $AJG Director Sells $267,850.00 in Stock https://t.co/FqCZkZkMK7 #stocks"
2020-08-21 06:06:27,1296750503578292225,2020-08-21 10:06:27,3646985662,sbwcws,884,"Arthur J. Gallagher downgraded to Underperform from Buy at BofA
$AJG"
2020-08-21 06:14:27,1296752516680605696,2020-08-21 10:14:27,3646985662,sbwcws,884,"Arthur J. Gallagher double-downgraded to Underperform from Buy at BofA
$AJG"
2020-08-21 07:38:19,1296773622686769153,2020-08-21 11:38:19,849417718642159616,TheMarketsDaily,1597,Arthur J Gallagher &amp; Co $AJG Stock Rating Lowered by Bank of America https://t.co/2oI6ASzBRr
2020-08-21 08:22:07,1296784648446631938,2020-08-21 12:22:07,1281425464733716481,UDowngrades,329,"8/21 Upgrades:
$EL   Estee Lauder 
$WSM  Williams-Sonoma
$CXO  Concho Resources
$OXY  Occidental Petroleum
$UBER  Uber 

Downgrades:
$DHI  D.R. Horton
$AJG  Arthur J. Gallagher
$MMC  Marsh &amp; McLennan
$NBL  Noble Energy"
2020-08-21 08:40:19,1296789227796127744,2020-08-21 12:40:19,61661638,AmericanBanking,7929,Arthur J Gallagher &amp; Co $AJG Rating Lowered to Underperform at Bank of America https://t.co/5sv1ltsswZ #stocks
2020-08-21 08:50:54,1296791890742910976,2020-08-21 12:50:54,185663478,CHItraders,1079,The Top Downgrades on FinViz Today are : $AJG $CMI $DHI $IP $MMC $NBL $VIPS
2020-08-21 08:57:33,1296793561799827459,2020-08-21 12:57:33,732563417538691072,InvestInThyself,2869,"Upgrades (8/21):

 $CIG $CXO $EL $MEC $NLOK $OXY $UBER $WES $WSM

Downgrades (8/21): 

$AJG $DHI $IP $MMC $NBL $VIPS"
2020-08-21 09:09:35,1296796593245446144,2020-08-21 13:09:35,1152551167089451009,EarningsAhead,1623,"Today's downgrades - Aug 21

$NBL
$IP
$AJG
$DHI
$MMC

https://t.co/Po47mDPIVl
#stocks #downgrades #investing https://t.co/fWy9jiDtGr"
2020-08-21 09:37:27,1296803604419026944,2020-08-21 13:37:27,3646985662,sbwcws,884,"Uber, Estee Lauder upgrades among today's top calls on Wall Street
$UBER $EL $WDAY $AJG $BABA"
