,ID,Created,User_id,User_name,User_flr,Text
2020-08-20 11:35:42,1296470974355910659,2020-08-20 15:35:42,2687367116,FPSwatchlist,724,"$ITMC Huge News - has acquired patent-pending technology for Immutable Virus Test Result Verification and commercialization services through an agreement with DATANet Software Development Corp https://t.co/mjRg7lBaZ6 

$AAPL $GOOG $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLX"
2020-08-20 11:38:10,1296471594945122306,2020-08-20 15:38:10,3091473064,budfoxfun,848,RT @FPSwatchlist: $ITMC Huge News - has acquired patent-pending technology for Immutable Virus Test Result Verification and commercializati…
2020-08-20 11:49:58,1296474567075155968,2020-08-20 15:49:58,2422703600,SwingTradeBot,8150,Outside Day today: $AKAM $TPX ... https://t.co/Ya1wmaeD73
2020-08-20 11:53:11,1296475375359397891,2020-08-20 15:53:11,1296154874166616065,Sunrise__Trader,7,RT @SunriseTrader: $AKAM traded this one in June to July and put it back in go to list to watch for new entry. Yesterday potential reversal…
2020-08-20 11:53:27,1296475443785347073,2020-08-20 15:53:27,1296154874166616065,Sunrise__Trader,7,RT @SunriseTrader: $AKAM now back over the 10EMA on the daily would like to see this hold by days end.  Next levels on my radar if price wa…
2020-08-20 11:55:56,1296476066844938240,2020-08-20 15:55:56,1019426962782150656,T_A_trader,823,"$FSLY 🚀
Now above the 13MA &amp; Bollinger Centerline (BC). Hopefully it will stay elevated above these levels at close today. 
STOCHs is now bullish. 
$FSLY is now my #1 stock again. 

$NET $AKAM https://t.co/IfWENFU9PP https://t.co/okNiBO5XYX"
2020-08-20 11:56:06,1296476111359148032,2020-08-20 15:56:06,1296154874166616065,Sunrise__Trader,7,"RT @SunriseTrader: $AKAM nothing from nothing so far needs a push and close over 109.14 then 109.57, 109.93"
2020-08-20 12:00:18,1296477166587305984,2020-08-20 16:00:18,1144189158,ktoddmorgan,690,"Cyber Sec &amp; Edge Computing basket:

Equal wght --&gt; +6.2%

$FSLY
$NET
$AKAM
$ZS
$NET
$OKTA
$CRWD

Not bad for sleepy mid-Summer trading"
2020-08-20 13:02:17,1296492764788555776,2020-08-20 17:02:17,374729426,Tickeron,5954,"$AKAM's price moved above its 50-day Moving Average on August 18, 2020. View odds for this and other indicators: https://t.co/neDJEdghgs #AkamaiTechnologies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/axKofv8Fsc"
2020-08-20 14:31:40,1296515257838571520,2020-08-20 18:31:40,1216022805168431104,SilviaBellrock,7487,Techs insane moves again  .. $QQQ $ADBE $AKAM ... told ya its friday for me
2020-08-20 16:20:25,1296542626292871171,2020-08-20 20:20:25,4312114277,fintel_io,1835,"Insider Aaron Ahola reports selling 2,761 shares of $AKAM for a total cost of $300,203.53 https://t.co/QRINCRmkUb"
2020-08-20 17:09:28,1296554972629393409,2020-08-20 21:09:28,14579415,JonahLupton,468959,2021 is where it gets more interesting because we don’t know what the economic recovery will look like and how quickly Compute@Edge will accelerate current enterprise customers revenues or enable $FSLY’s sales team to steal larger customers away from their competitors like $AKAM.
2020-08-20 17:19:17,1296557442566889478,2020-08-20 21:19:17,30067105,DanRayburn,8202,My latest blog post: Akamai Hits $1B Milestone in Security Revenue: A Major Value Driver for CDN Services: https://t.co/32FRHkxgwi - $AKAM has done an incredible job at growing their security revenue and the business continues to benefit from the high-margins. $FSLY $NET #ddos
