,ID,Created,User_id,User_name,User_flr,Text
2020-08-18 10:34:41,1295730844007452672,2020-08-18 14:34:41,374729426,Tickeron,5954,"$ALGN's Aroon indicator reaches into Uptrend on July 28, 2020. View odds for this and other indicators: https://t.co/q56EDRSsAP #AlignTechnology #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/4ul3Nks1ef"
2020-08-18 11:09:12,1295739529538699264,2020-08-18 15:09:12,702691564011843584,Post_Market,23856,@PalmettoCapital @JerryCap @web_prolific $CHD $ALGN $WDFC $CTAS - May actually be one of the best contras I have ever come across. Truly an impressive record
2020-08-18 11:11:36,1295740136517332997,2020-08-18 15:11:36,1063534586758553600,web_prolific,1177,RT @Post_Market: @PalmettoCapital @JerryCap @web_prolific $CHD $ALGN $WDFC $CTAS - May actually be one of the best contras I have ever come…
2020-08-18 11:18:57,1295741982967566337,2020-08-18 15:18:57,925751546159169536,sleekoptions,4244,"Oversold on Hourly  
https://t.co/2Hf0ZbjpKC 
$BMRN  119.90  to 117.33 
$NTAP  41.49  to 40.28 
$DLTR  101.88  to 97.81 
$ALGN  311.00  to 304.58 
$TRIP  22.36  to 21.72 
$SWKS  146.74  to 143.47 
$UA  9.43  to 9.07"
2020-08-18 13:53:35,1295780899464806400,2020-08-18 17:53:35,1265010389059805185,InvestinMantras,6,"Identify Undervalued Stocks using #MagicFormula for FREE at
https://t.co/tifn9R2UO3
#dividends #FinancialFreedom  #SYF $ALGN $FL $ALSN $MGM $CMA $SNV $WAL https://t.co/QbKowfr6OP"
2020-08-18 14:00:24,1295782613593010178,2020-08-18 18:00:24,17852683,ptposture1,292,closed out last piece of $ALGN +$20 bucks
2020-08-18 19:00:42,1295858188974055424,2020-08-18 23:00:42,1235351460373762048,moar_leverage,88,"@AlderLaneeggs 

Shorted $ALGN today. An interview you did a few months ago (can't remember) which started my research process, thank you. 

 ""Real economy"" is dead, can't imagine pricey dental care does well."
2020-08-19 03:24:57,1295985084953239552,2020-08-19 07:24:57,61661638,AmericanBanking,7929,"Brokerages Anticipate Align Technology, Inc. $ALGN Will Post Quarterly Sales of $502.14 Million https://t.co/WeI0hyRBLz #stocks"
2020-08-19 03:27:19,1295985683891400705,2020-08-19 07:27:19,68559732,ConsumerFeed,5226,"Brokerages Anticipate Align Technology, Inc. $ALGN Will Post Quarterly Sales of $502.14 Million https://t.co/wjdUG4J1Hn"
2020-08-19 03:30:06,1295986382947713024,2020-08-19 07:30:06,565538332,ZolmaxNews,1636,"Brokerages Anticipate Align Technology, Inc. $ALGN Will Post Quarterly Sales of $502.14 Million https://t.co/R1cFuh7PIS"
2020-08-19 09:41:28,1296079840240480256,2020-08-19 13:41:28,374729426,Tickeron,5954,"$ALGN's Aroon indicator reaches into Uptrend on July 28, 2020. View odds for this and other indicators: https://t.co/F8yiyfCtqe #AlignTechnology #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/0Cetv8z9Gz"
2020-08-19 11:12:08,1296102656994238465,2020-08-19 15:12:08,948032872027275266,The_General75,348,"miss out on another move? $PINS  join the family, DM @optionstradin17 for access. $SPY $HD $JPM $BAC $V $C $ROKU $BA $BYND $WFC $TSLA $DIS $NVDA $COST $AMZN $CVS $WBA $T $FB $MSFT $ttwo $love $uri $team $site $ulta $lulu $biib $lmt $noc $antm $ko $tdoc $etsy $sq $pypl $algn $whr https://t.co/hWALAVStsX"
2020-08-19 13:12:17,1296132892817371138,2020-08-19 17:12:17,985173084565983232,Aleksandaraz,172,"Is the stock higher since 8/7 (+yes, - no) $CTL+ $HUYA- $REFR- $PFBC- $HTBK- $MGTA- $FMBH+ $FANH+ $BNED+ $HZO+ $BANR- $SSTK- $ONEW+ $CASS+ $MNRL- $BIG+ $TRS+ $CFFN- $PMD- $CVBF- $TYHT- $SF- $INSE+ $CHS+ $SPOK+ $CBRE+ $EVGN+ $NTRP- $ALGN+ $DIt+ $SIEN- $BUSE- $MITT- $MSEX-"
2020-08-19 14:59:36,1296159901794930688,2020-08-19 18:59:36,925751546159169536,sleekoptions,4244,"Oversold on Hourly  
https://t.co/2Hf0ZbjpKC 
$EL  214.35  to 211.94 
$MOS  18.40  to 17.88 
$LYB  68.86  to 67.53 
$KL  54.00  to 52.53 
$ALGN  308.45  to 303.38 
$AMAT  66.73  to 65.69 
$SWKS  143.87  to 141.55 
$P"
2020-08-19 17:35:01,1296199012740104192,2020-08-19 21:35:01,121370906,ChartMill,5899,"A very nice breakout setup pattern for $ALGN, will it break out? https://t.co/jZF3Qnzi0s"
2020-08-19 18:33:34,1296213748160626688,2020-08-19 22:33:34,31400008,aloysius1271,630,"@uchiahtrader $FB $ufpi $dxy $fxi $uup $cl_f $scco $copx $slv $ng_f $nq_f $vix $acn $adbe $algn $spy $spx $hg_f $es_f ...thanks in advance, I appreciate the offer for u to analyze these charts"
2020-08-19 22:04:33,1296266842550546432,2020-08-20 02:04:33,716737614771044352,optioncharts,2003,$ALGN Implied Volatility expiration 08/21/2020 #maxpain #options https://t.co/kp9dUq8MFG https://t.co/tJPbAzhiJd
2020-08-20 00:44:41,1296307141289148421,2020-08-20 04:44:41,1243273376023621639,puppy_trades,2731,"Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical breakout setups"":

1 Healthcare names $PFE $UNS $XBI $ISRG $REGN $JNJ $DXCM $CLX

2 Software names $ADSK $SAP $MSFT $ALGN $ADBE

3 Stay home names $ATVI $EA $NFLX"
2020-08-20 01:05:23,1296312351235350528,2020-08-20 05:05:23,1208467461521043456,reciknows,67,"RT @puppy_trades: Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical bre…"
2020-08-20 01:25:45,1296317475806732288,2020-08-20 05:25:45,1134032662551769088,EgoistObsessed,25,"RT @puppy_trades: Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical bre…"
2020-08-20 04:33:22,1296364693297270785,2020-08-20 08:33:22,935603229370519553,StockRizzle,439,"RT @puppy_trades: Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical bre…"
2020-08-20 06:46:46,1296398264858804225,2020-08-20 10:46:46,4214312172,mcb0013,13,@pivotanalytics Or patients will stop overpaying for $ALGN and traditional braces and get $SDC at a fraction of the cost!
2020-08-20 07:29:41,1296409061735444483,2020-08-20 11:29:41,849417718642159616,TheMarketsDaily,1597,"Analysts Anticipate Align Technology, Inc. $ALGN Will Announce Earnings of $0.42 Per Share https://t.co/OMqAxrdPsZ"
2020-08-20 07:30:06,1296409167008280579,2020-08-20 11:30:06,2298709746,WatchlistN,2740,"Analysts Anticipate Align Technology, Inc. $ALGN Will Announce Earnings of $0.42 Per Share https://t.co/TLU3xiFvRB"
2020-08-20 07:31:44,1296409578477948931,2020-08-20 11:31:44,930803511918411776,ThisLincolnian,768,"Analysts Anticipate Align Technology, Inc. $ALGN Will Announce Earnings of $0.42 Per Share https://t.co/O9pkrYYGRo"
2020-08-20 08:30:03,1296424255727566849,2020-08-20 12:30:03,966006214818697218,EnterpriseLeade,716,"Zacks: Analysts Expect Align Technology, Inc. $ALGN to Announce $0.42 Earnings Per Share  https://t.co/5BWbRLi2dk"
2020-08-20 09:00:02,1296431798835126277,2020-08-20 13:00:02,925001257663811584,shortvolumes,3145,Short sale volume (not short interest) for $BIOL on 2020-08-19 is 53%. https://t.co/z3O2vErmnx $ALGN 50% $PDEX 71% $XLV 62% $XRAY 62%
2020-08-20 12:02:11,1296477639578976256,2020-08-20 16:02:11,925751546159169536,sleekoptions,4244,"Oversold on Hourly  
https://t.co/2Hf0ZbjpKC 
$BBY  113.02  to 110.81 
$INCY  97.47  to 94.89 
$MRVL  33.44  to 32.53 
$MOS  18.27  to 17.41 
$KL  53.97  to 52.77 
$ALGN  307.92  to 303.91 
$AMAT  66.36  to 66.04 
$S"
2020-08-20 12:25:54,1296483608207777794,2020-08-20 16:25:54,374729426,Tickeron,5954,"$ALGN's Aroon indicator reaches into Uptrend on July 28, 2020. View odds for this and other indicators: https://t.co/AIoIro370e #AlignTechnology #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/z3t6ymBBzr"
2020-08-20 14:52:45,1296520564857810945,2020-08-20 18:52:45,925751546159169536,sleekoptions,4244,"Oversold on Hourly  
https://t.co/2Hf0ZbjpKC 
$MRVL  33.44  to 32.53 
$MOS  18.27  to 17.41 
$ALGN  307.92  to 303.91 
$AMAT  66.36  to 66.04 
$SWKS  143.87  to 141.55 
$SBUX  79.39  to 77.60 
$FE  28.92  to 28.52 
$"
2020-08-20 21:01:03,1296613249383714816,2020-08-21 01:01:03,1262915121103491074,formwhisperscom,309,"#FWSells $ALGN PRESCOTT THOMAS M, Director of ALIGN TECHNOLOGY INC sold 10000 shares on 2020-08-19. https://t.co/V8wLIAeWOw"
2020-08-20 21:01:19,1296613316262088704,2020-08-21 01:01:19,1069693680066420736,FlashAlert_me,1087,"$ALGN [15s. delayed] filed SEC form 4: Director PRESCOTT THOMAS M: 
Disposed 13,000 of Common Stock at average price $234.13 on 2020-08-19, decreased holding by 13% to 89,398 shares  https://t.co/7RynAIxJvi"
2020-08-20 21:02:26,1296613597393620997,2020-08-21 01:02:26,1222163821441122304,HealthcareBeat,1128,"$3,043,746.42 of shares sold by Prescott Thomas M (Director), reported in a new form 4 filed with the SEC  $ALGN https://t.co/YO31LqQwiZ"
2020-08-20 21:03:04,1296613758291390464,2020-08-21 01:03:04,1242330019688370177,SimplifiedIct,72,"RT @HealthcareBeat: $3,043,746.42 of shares sold by Prescott Thomas M (Director), reported in a new form 4 filed with the SEC  $ALGN https:…"
2020-08-20 21:03:22,1296613832694136832,2020-08-21 01:03:22,1176558075798380544,MonitorAction,545,$ALGN Thomas Prescott sells $3M Worth Of Align Technology Stock https://t.co/SEsrVVMiRv
2020-08-20 21:04:34,1296614136282001416,2020-08-21 01:04:34,2356524462,Allstocknews,3312,"$ALGN New Form 4 for Align Technology, Inc.
From our Stock News Alerts App"
2020-08-20 21:10:21,1296615589872635910,2020-08-21 01:10:21,2344420430,InsiderAlerts4U,4156,"$ALGN:

New Insider Filing on ALIGN TECHNOLOGY INC's

Director

THOMAS M PRESCOTT:

https://t.co/Cd3qFvEIOl"
2020-08-20 22:00:01,1296628090475556866,2020-08-21 02:00:01,966698784519544832,insiderbuyings,966,$ALGN new insider selling: 10000 shares. https://t.co/mXlGq8sWtw
2020-08-20 23:52:41,1296656444410994689,2020-08-21 03:52:41,61661638,AmericanBanking,7929,"Align Technology, Inc. $ALGN Director Thomas M. Prescott Sells 10,000 Shares https://t.co/7viHtVcyeD #stocks"
2020-08-20 23:56:23,1296657374544105472,2020-08-21 03:56:23,39546678,mediasentiment,6323,$ALGN  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1975
2020-08-21 04:46:58,1296730500694814720,2020-08-21 08:46:58,1189910644922839041,Azariabze,316,"RT @puppy_trades: Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical bre…"
2020-08-21 08:59:23,1296794025135988736,2020-08-21 12:59:23,878538600,Cappin__Crunch,144,"RT @puppy_trades: Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical bre…"
2020-08-21 09:12:22,1296797291769102339,2020-08-21 13:12:22,1136370591517290496,Gambiste1,6979,"RT @puppy_trades: Spent time on screeners tonight. Interesting themes as the world goes back to school.

These are listed as ""technical bre…"
2020-08-21 09:16:40,1296798374243573762,2020-08-21 13:16:40,716737614771044352,optioncharts,2003,$ALGN high OI range is 250.00 to 330.00 for option expiration 08/21/2020 PutCallRatio=0.98 #maxpain #options https://t.co/sXMs8f2OUL https://t.co/u5ASSmsLad
2020-08-21 10:13:06,1296812576840458241,2020-08-21 14:13:06,374729426,Tickeron,5954,"$ALGN in -2.88% Downtrend, declining for three consecutive days on August 20, 2020. View odds for this and other indicators: https://t.co/aYk4TeBp3U #AlignTechnology #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/L7iQjs8VzB"
2020-08-21 10:23:50,1296815276080726018,2020-08-21 14:23:50,1215499681305899009,LordSbux,145,"RT @The_General75: $TDOC ANOTHER ONE...DM @optionstradin17 and join a family who encourage one another, assist eachother and is making prof…"
2020-08-21 10:36:41,1296818511801712640,2020-08-21 14:36:41,1271656720104906752,EarningTrader,266,"July 24th ER play report:

$JPM $MS $NFLX $ALGN $TSLA $IBM $MSFT $CMG $TWTR $SWKS https://t.co/vKBt1ZPMyO"
2020-08-21 10:41:40,1296819767001702400,2020-08-21 14:41:40,2298709746,WatchlistN,2740,"Align Technology, Inc. $ALGN Director Thomas M. Prescott Sells 10,000 Shares https://t.co/ksVApZcm8Q"
2020-08-21 10:41:53,1296819818981662722,2020-08-21 14:41:53,849417718642159616,TheMarketsDaily,1597,"Align Technology, Inc. $ALGN Director Thomas M. Prescott Sells 10,000 Shares https://t.co/YG8LhH7Ykz"
2020-08-21 10:42:13,1296819902477676544,2020-08-21 14:42:13,39546678,mediasentiment,6323,$ALGN  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1100
2020-08-21 10:48:31,1296821488587333632,2020-08-21 14:48:31,901194327925325825,dispatchtribune,713,"Align Technology, Inc. $ALGN Director Thomas M. Prescott Sells 10,000 Shares https://t.co/PH4GtkFinZ"
2020-08-21 15:40:50,1296895052690726918,2020-08-21 19:40:50,975337043944407040,Finscreener_com,331,"TOP NASDAQ 100 Stocks with the best Value Rank: $ALGN $BIIB $GILD $INTC $ANSS 
Source: Finscreener https://t.co/86kq4ty9iW"
