,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 18:00:47,1298379822973038601,2020-08-25 22:00:47,815349052552331265,NDOG_MAHOP_2017,76,"$BABA First this one, then $AMGN Gang$ta Day Trade for 400% Profits and for the trifecta $CRM Blowout Earnings with Calls. 
Not bad at all for a day of work : https://t.co/V5zRGtPENR"
2020-08-25 18:02:25,1298380237227556872,2020-08-25 22:02:25,2356524462,Allstocknews,3312,"$AMGN New Form 4 for Amgen Inc.
From our Stock News Alerts App"
2020-08-25 18:06:12,1298381187644182528,2020-08-25 22:06:12,306850457,Michael_Khouw,33456,"RT @OptionsAction: Traders are betting big on one of the incoming Dow stocks, says @Michael_Khouw. He breaks down the action $CRM $AMGN $HO…"
2020-08-25 18:08:23,1298381738452881413,2020-08-25 22:08:23,1222163821441122304,HealthcareBeat,1128,"$14,757,821.10 of shares acquired by Amgen Inc (10% Owner), reported in a new form 4 filed with the SEC  $AMGN https://t.co/pWsavczjLb"
2020-08-25 18:08:34,1298381783201792001,2020-08-25 22:08:34,1125639430537076736,DTR_Markets,581,"Tuesday Market Movers:
Dow:
$MSFT 1.30% $UNH 1.09% $V 0.82%
$XOM -3.17% $BA-1.99% $RTX -1.50%

S&amp;P 500:
$GPS 10.39% $SJM6.87% $AMGN 5.37%
$BBY -4.03% $TIF 3.97% $XOM -3.17%

Other:
$BIGC 36.87% $NIO 19.17% $DKNG 9.08%
$HAIN -8.10% $LMND -7.56% $NVAX -5.16% https://t.co/DFAZwpuJyx"
2020-08-25 18:11:50,1298382603939004417,2020-08-25 22:11:50,1034164935910219776,MarthaPerezBook,15420,"RT @Amgen: In our 40th anniversary year, we are proud to be joining the Dow Jones Industrial Average, an internationally recognized index f…"
2020-08-25 18:12:23,1298382743420784641,2020-08-25 22:12:23,288156108,KS_T1,17,RT @TradersLevel: Shake up in the #DJIA as Apple stock split reduces influence of tech in the index. Out goes $XOM $PFE &amp; $RTX and in comes…
2020-08-25 18:13:59,1298383145662705665,2020-08-25 22:13:59,351124316,BrandonVanZee,8287,"08/25/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/zcVcJ5eeKS

Mentioned: $SPY $IWM $DIA $QQQ $SPX $RUT $EFA $EEM $TLT $TNX $GLD $UUP $FXI $AMZN $HD $AAPL $MSFT $FB $GOOG $CRM $AMGN $HON $XOM $PFE $RTX $FOUR 💳"
2020-08-25 18:14:12,1298383201472327683,2020-08-25 22:14:12,378334234,Sarge986,10962,"RT @LaurieInMadison: Don't miss today's Market Recon. Tell us more, Sarge. Stephen Guilfoyle talks market action, #yields , the #DowIndustr…"
2020-08-25 18:14:12,1298383201715367936,2020-08-25 22:14:12,926533052527812610,Market_Scholars,2829,"RT @BrandonVanZee: 08/25/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/zcVcJ5eeKS

Mentioned: $SPY $IWM $DIA $QQQ $…"
2020-08-25 18:14:26,1298383261442310144,2020-08-25 22:14:26,210153565,davidsettle42,7733,"RT @BrandonVanZee: 08/25/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/zcVcJ5eeKS

Mentioned: $SPY $IWM $DIA $QQQ $…"
2020-08-25 18:15:04,1298383417785167872,2020-08-25 22:15:04,1579097544,dmille40,36,@LemonyS14621590 @OptionsHawk IMO $AMGN or $GILD should be the ones pursuing $ALXN.  But thus far none indicating interest.
2020-08-25 18:16:44,1298383839262375937,2020-08-25 22:16:44,820720686,ZiwangDeng,55,"$FB Today's most active stocks:
NASDQ top actives🔥: $AMGN $SBUX $PDD $JD $FB 
NYSE top actives🔥: $NIO $GPS $FSLY $CRM $BABA 
TSX top actives🔥: $VFF $BMO $TVE https://t.co/ZDmi3aJGU5"
