,ID,Created,User_id,User_name,User_flr,Text
2020-08-21 09:56:34,1296808417382850563,2020-08-21 13:56:34,2422703600,SwingTradeBot,8150,Rose Above Previous Day's High today: $GNRC $PTON $PXQ $PRQR $BGI $RCL $LVGO $NEW $RYAM $LVS $NVTA $TME $RVP $AMT $SYF $GDDY $DKS $JDST $V $HDB ... https://t.co/TBYRpvrFqi
2020-08-21 10:45:32,1296820737643339778,2020-08-21 14:45:32,25762392,aaaamhim,18070,"$GEVO FREE MONEY HERE. 131 million traded!📈

$IONS $GBT $XON $CRSP $EDIT $NTLA $PBYI $BMRN $TSRO $CELG $BLUE $ALKS $ALNY $GILD $BIIB $AMGN $SGMO $ONCE $ENDP $PRGO $LCI $COLL $ANIP $EGRX $MYL $OSUR $PODD $TNDM $BIO $EW $ABT $MDT $ZIOP $KOOL $SRNE $CLLS $JNJ $MARA $RIOT $NVCR $AMT https://t.co/SHJGMh7aQv"
2020-08-21 12:00:52,1296839697927491584,2020-08-21 16:00:52,1130525203619037185,11Graphs,1925,"Distance from 52w low (%) for largest #reits #realestate $VNQ
1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: 42.1
2. 🇺🇸 PROLOGIS, INC. $PLD: 71.7
3. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: 64.3
4. 🇺🇸 CROWN CASTLE INTERNA. $CCI: 42.7
5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: 47.8"
2020-08-21 12:12:23,1296842594673188864,2020-08-21 16:12:23,716737614771044352,optioncharts,2003,$AMT Max Pain=255.00. Maturity=08/21/2020. #maxpain #options https://t.co/uaHRLBzQhp https://t.co/fP3b6jQ3p5
2020-08-21 14:00:49,1296869883431587843,2020-08-21 18:00:49,1130525203619037185,11Graphs,1925,"Distance from 52w high (%) for largest #reits #realestate $VNQ
1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: -9.0
2. 🇺🇸 PROLOGIS, INC. $PLD: -3.8
3. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: -2.6
4. 🇺🇸 CROWN CASTLE INTERNA. $CCI: -9.5
5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: -6.2"
2020-08-21 14:23:02,1296875474350555136,2020-08-21 18:23:02,1259661944547467266,Slk2408,52,"$Mrvl $keys $amt $lcrx buy red, sell greeeeen! Just entered these options today.  Many catalysts for these ones coming"
2020-08-21 14:41:04,1296880012990259201,2020-08-21 18:41:04,1136370591517290496,Gambiste1,6979,"RT @Slk2408: $Mrvl $keys $amt $lcrx buy red, sell greeeeen! Just entered these options today.  Many catalysts for these ones coming"
2020-08-21 15:11:45,1296887734360047619,2020-08-21 19:11:45,1259894924780212226,MinMaxTrader,8,New Transaction: SELL $AMT at $249.28/share.
2020-08-21 15:13:01,1296888051457826816,2020-08-21 19:13:01,182642157,DavidSchawel,42982,$AAPL casually adding (~$110bil) the equivalent of $LMT $HON $AMT ‘s market cap today alone...
2020-08-21 15:13:09,1296888087109410818,2020-08-21 19:13:09,14096763,TheStalwart,226101,RT @DavidSchawel: $AAPL casually adding (~$110bil) the equivalent of $LMT $HON $AMT ‘s market cap today alone...
2020-08-21 15:13:51,1296888262401892353,2020-08-21 19:13:51,17326287,beano629,312,RT @DavidSchawel: $AAPL casually adding (~$110bil) the equivalent of $LMT $HON $AMT ‘s market cap today alone...
