,ID,Created,User_id,User_name,User_flr,Text
2020-08-19 04:43:41,1296004902389460994,2020-08-19 08:43:41,2338882843,dailypoliticaln,1417,"Shane Emswiler Sells 2,250 Shares of ANSYS, Inc. $ANSS Stock https://t.co/Fyigk9DeVk"
2020-08-19 05:57:33,1296023487602143232,2020-08-19 09:57:33,901194327925325825,dispatchtribune,713,"Shane Emswiler Sells 2,250 Shares of ANSYS, Inc. $ANSS Stock https://t.co/6LWTlSNVW4"
2020-08-19 05:58:16,1296023670738096128,2020-08-19 09:58:16,930803511918411776,ThisLincolnian,768,"Shane Emswiler Sells 2,250 Shares of ANSYS, Inc. $ANSS Stock https://t.co/XDIXDpXDJN"
2020-08-19 05:58:41,1296023772886073344,2020-08-19 09:58:41,2298709746,WatchlistN,2740,"Insider Selling: ANSYS, Inc. $ANSS SVP Sells 2,250 Shares of Stock https://t.co/rbuBW3OkRi"
2020-08-19 09:10:24,1296072020896157697,2020-08-19 13:10:24,44033370,themaxpain,767,$ZM $MDLZ $ANSS $GOOGL $ADBE $GOOG $MCHP $JNJ Bullish MACD crossover
2020-08-19 09:17:57,1296073922153074689,2020-08-19 13:17:57,374729426,Tickeron,5954,"$ANSS enters an Uptrend because Momentum Indicator exceeded the 0 level on July 29, 2020. View odds for this and other indicators: https://t.co/TT7zBoHOXm #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/tP0mxSAe8x"
2020-08-19 09:19:05,1296074207995072513,2020-08-19 13:19:05,20385337,tradersreport,3077,"RT @Tickeron: $ANSS enters an Uptrend because Momentum Indicator exceeded the 0 level on July 29, 2020. View odds for this and other indica…"
2020-08-19 09:29:05,1296076724782993408,2020-08-19 13:29:05,3289917664,stockmonitorapp,1089,MACD crossed up. RSI positive. What next for $ANSS? https://t.co/u1NxYdihHi $SPX https://t.co/oF5Zo1VcfG
2020-08-19 09:56:27,1296083610211057664,2020-08-19 13:56:27,2422703600,SwingTradeBot,8150,New 52 Week High today: $KMX $JKE $COPX $XLK $TREX $ARKK $IGM $ICLN $DHR $VOO $ICE $ACN $RTH $CHTR $TXN $GRUB $ANSS $BJ $PBD $INOD ... https://t.co/4Iw0QeR3p8
2020-08-19 10:45:03,1296095843221737476,2020-08-19 14:45:03,98736295,BenzingaMedia,3910,"$AAPL, $AMED, $ANSS Stocks That Hit 52-Week Highs On Wednesday - https://t.co/wOhjg0X4Wg"
2020-08-19 11:27:02,1296106408673341441,2020-08-19 15:27:02,39394073,PennyStocksMomo,9089,"RT @BenzingaMedia: $AAPL, $AMED, $ANSS Stocks That Hit 52-Week Highs On Wednesday - https://t.co/wOhjg0X4Wg"
2020-08-19 12:09:04,1296116983205892098,2020-08-19 16:09:04,1250830691824283648,StockMKTNewz,10020,"More stocks that have made 52WK highs so far today

Sea Limited $SE
Chiptole $CMG
Wayfair $W
Agilent $A
Best Buy $BBY
Kroger $KR
Pinterest $PINS
Whirpool $WHR
$CO $SCCO $BF $ANss $Beke $CHD $MTD $ODFL $YNDX $FCX $AMCR $KMX $EXPD $NLOK $QGEN $TXG $LII $PEGA $TREX $PENN $GRUB https://t.co/XsV3398qaf"
2020-08-19 18:28:27,1296212460760784897,2020-08-19 22:28:27,2292279792,GraysonRoze,2366,"New 52-week highs in the S&amp;P 1500:

47

$A
$AAPL
$ACN
$AMCR
$AMED
$ANSS
$BBY
$BF.B
$BJ
$CHD
$CHTR
$CL
$CMG
$DHR
$EXPD
$FCX
$FDS
$FLO
$GRMN
$GRUB
$HVT
$ICE
$KMX
$KR
$LII
$LL
$LOW
$LPSN
$LQDT
$MNTA
$MTD
$MUSA
$NKE
$NLOK
$ODFL
$OMI
$PCRX
$PENN
...

Charts:
https://t.co/xOkGBZjeNc"
2020-08-19 18:28:43,1296212528033230849,2020-08-19 22:28:43,89225644,StockCharts,31096,"RT @GraysonRoze: New 52-week highs in the S&amp;P 1500:

47

$A
$AAPL
$ACN
$AMCR
$AMED
$ANSS
$BBY
$BF.B
$BJ
$CHD
$CHTR
$CL
$CMG
$DHR
$EXPD
$FCX…"
2020-08-19 18:29:32,1296212731540865024,2020-08-19 22:29:32,3489736273,StckMrktMastery,5111,"RT @GraysonRoze: New 52-week highs in the S&amp;P 1500:

47

$A
$AAPL
$ACN
$AMCR
$AMED
$ANSS
$BBY
$BF.B
$BJ
$CHD
$CHTR
$CL
$CMG
$DHR
$EXPD
$FCX…"
2020-08-19 18:42:25,1296215976237846529,2020-08-19 22:42:25,3331555937,stocknewsdotcom,2422,$ANSS Take advantage of stocks that are well-positioned to ride the stock market recovery like ANSYS Inc. (ANSS). https://t.co/xBa7RlHerH
2020-08-20 04:59:06,1296371166681194498,2020-08-20 08:59:06,2338882843,dailypoliticaln,1417,ANSYS $ANSS Reaches New 12-Month High at $321.65 https://t.co/8LSFmeq1SE
2020-08-20 04:59:53,1296371364144783362,2020-08-20 08:59:53,565538332,ZolmaxNews,1636,ANSYS $ANSS Reaches New 12-Month High at $321.65 https://t.co/VHKo2cc9Kt
2020-08-20 05:02:02,1296371906506100736,2020-08-20 09:02:02,68559732,ConsumerFeed,5226,ANSYS $ANSS Reaches New 12-Month High at $321.65 https://t.co/2PhSHlwzOj
2020-08-20 05:02:40,1296372067047280641,2020-08-20 09:02:40,1979190776,TickerReport,3406,ANSYS $ANSS Reaches New 12-Month High at $321.65 https://t.co/Fr9RgLEfiH
2020-08-20 05:09:53,1296373880827805697,2020-08-20 09:09:53,39546678,mediasentiment,6323,$ANSS  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 287
2020-08-20 06:14:21,1296390103531696131,2020-08-20 10:14:21,849417718642159616,TheMarketsDaily,1597,"ANSYS, Inc. $ANSS SVP Shane Emswiler Sells 2,250 Shares https://t.co/JwXw5SHI3u"
2020-08-20 06:14:37,1296390172368613378,2020-08-20 10:14:37,2920258887,dakotafinancial,1619,"ANSYS, Inc. $ANSS SVP Sells $716,107.50 in Stock https://t.co/rwMMtCmNUi"
2020-08-20 06:17:04,1296390790093078529,2020-08-20 10:17:04,966006214818697218,EnterpriseLeade,716,"ANSYS, Inc. $ANSS SVP Sells $716,107.50 in Stock  https://t.co/zXibb1xHdt"
2020-08-20 07:33:51,1296410113759158272,2020-08-20 11:33:51,1001192245,TalkMarkets,3957,What Investors Are Missing About The #Economy $ANSS https://t.co/zy8kN6EJFa
2020-08-20 11:58:00,1296476585726541830,2020-08-20 15:58:00,2422703600,SwingTradeBot,8150,New 52 Week High today: $PLMR $MTUM $ANSS ... https://t.co/4Iw0QeR3p8
2020-08-20 12:00:13,1296477146379165702,2020-08-20 16:00:13,374729426,Tickeron,5954,"$ANSS enters an Uptrend because Momentum Indicator exceeded the 0 level on July 29, 2020. View odds for this and other indicators: https://t.co/BBRQYwSNRy #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/1hoUxs8WT2"
2020-08-20 15:09:34,1296524796738637830,2020-08-20 19:09:34,627695874,IOInvestors,820,"44 Stocks Hit Highs Thursday

https://t.co/Q8KgpaTS8i

$AAPL $AMED $ANSS $BAND $CCC $CDMO $CL $CSTL $DHI $DOMO $ESTC $FLGT $FRPT $HASI $HVT $IIPR $INTU $KMX $KRNT $LB $LPRO $MKC $MMSI $NOMD $NSTG $ODFL $OPRX $OTRK $PACB, $PANW $PCH $PEGA $PLMR and more."
2020-08-20 15:16:55,1296526647164833795,2020-08-20 19:16:55,121158213,AlertTrade,142005,"🔴🔴  You are invited to test drive Trade-Ideas PREMIUM features for 2 weeks!

via ⟶ https://t.co/KTosJiYUrC

📊
$F $C $JPM $BCRX $M $T $FCX $HWM $V $MS $SE $VEEV $IAU $W $XP $ANSS $BBY $LBRDK $CARR $GLW $LEN $FCX $YNDX $COUP $AEM $KSU $ZS $EPAM $ZG $Z $QRVO $ETSY https://t.co/qRmVkpreFZ"
2020-08-20 16:03:05,1296538263033798656,2020-08-20 20:03:05,118857460,TackleTrading,2025,$SPX #stocks $AAPL $ACN $ADBE $ANSS $CL $CRM $DHI $INTU $KMX $LB $MKC $NOW $ODFL $SNPS and $TGT all hit new 52 week highs Thursday; no $SPX companies put in new 52 week lows #trading
2020-08-20 17:01:38,1296552999700107265,2020-08-20 21:01:38,975337043944407040,Finscreener_com,331,"S&amp;P 500 Stocks with the highest Price Range Ratio: $AAPL $CL $ACN $ANSS $NOW
https://t.co/6AJ5tKY0p9 https://t.co/uPafLUtbRU"
2020-08-20 17:05:41,1296554018198581248,2020-08-20 21:05:41,2292279792,GraysonRoze,2366,"New 52-week highs in the S&amp;P 1500:

25

$AAPL
$ACN
$ADBE
$AMED
$ANSS
$BJ
$CL
$CRM
$DHI
$HVT
$IIPR
$INTU
$KMX
$LB
$MKC
$MMSI
$NOW
$ODFL
$PCH
$PENN
$PLMR
$PZZA
$SMG
$SNPS
$TGT

Charts:
https://t.co/xOkGBZjeNc"
2020-08-20 17:06:00,1296554099677175808,2020-08-20 21:06:00,89225644,StockCharts,31096,"RT @GraysonRoze: New 52-week highs in the S&amp;P 1500:

25

$AAPL
$ACN
$ADBE
$AMED
$ANSS
$BJ
$CL
$CRM
$DHI
$HVT
$IIPR
$INTU
$KMX
$LB
$MKC
$MMS…"
2020-08-20 17:06:09,1296554135269990402,2020-08-20 21:06:09,3489736273,StckMrktMastery,5111,"RT @GraysonRoze: New 52-week highs in the S&amp;P 1500:

25

$AAPL
$ACN
$ADBE
$AMED
$ANSS
$BJ
$CL
$CRM
$DHI
$HVT
$IIPR
$INTU
$KMX
$LB
$MKC
$MMS…"
2020-08-20 17:13:41,1296556029954666496,2020-08-20 21:13:41,602811570,RevShark,14283,"RT @GraysonRoze: New 52-week highs in the S&amp;P 1500:

25

$AAPL
$ACN
$ADBE
$AMED
$ANSS
$BJ
$CL
$CRM
$DHI
$HVT
$IIPR
$INTU
$KMX
$LB
$MKC
$MMS…"
2020-08-20 17:21:02,1296557880426938369,2020-08-20 21:21:02,1233930106474643458,RhoCapital,271,"Top 20 S&amp;P 500 gainers for Thursday August 20, 2020

$SNPS $NOW $AMD $ADBE $ADSK $SLG $WELL $INTU $PYPL $AES $PSA $VTR $FRT $CDNS $ANSS $FB $CRM $NFLX $XRX $VRSN https://t.co/Of36xL1h06"
2020-08-20 17:44:07,1296563691530457092,2020-08-20 21:44:07,2422703600,SwingTradeBot,8150,Scan results - Expansion Breakout today: $SNPS $FLGT $ESTC $RLGY $HASI $RST $ETH $EB $ZS $DOMO $SWAV $INTU $TRI $ANSS $LULU $BAND ... https://t.co/G5DdN0mkHE
2020-08-20 17:53:52,1296566144518647809,2020-08-20 21:53:52,149300800,jatinam,274,"RT @GraysonRoze: New 52-week highs in the S&amp;P 1500:

25

$AAPL
$ACN
$ADBE
$AMED
$ANSS
$BJ
$CL
$CRM
$DHI
$HVT
$IIPR
$INTU
$KMX
$LB
$MKC
$MMS…"
