,ID,Created,User_id,User_name,User_flr,Text
2020-08-18 09:44:34,1295718231349420032,2020-08-18 13:44:34,374729426,Tickeron,5954,"$APH's Aroon indicator reaches into Uptrend on August 17, 2020. View odds for this and other indicators: https://t.co/0exBsjEA5E #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/8Z0qh5ObG6"
2020-08-18 09:44:54,1295718317022421000,2020-08-18 13:44:54,65103306,PakoRuben,440,"RT @Tickeron: $APH's Aroon indicator reaches into Uptrend on August 17, 2020. View odds for this and other indicators: https://t.co/0exBsjE…"
2020-08-18 15:46:15,1295809253815574531,2020-08-18 19:46:15,216798259,TiernanRayTech,11519,Ready for some good news? Chips and 5G — The Technology Letter // $AMAT $KLAC $APH $ST $TEL $ERIC $NOK https://t.co/LrBqUevcDb
2020-08-18 18:32:26,1295851076051075073,2020-08-18 22:32:26,25692560,AllDusted,53,RT @TiernanRayTech: Ready for some good news? Chips and 5G — The Technology Letter // $AMAT $KLAC $APH $ST $TEL $ERIC $NOK https://t.co/LrB…
2020-08-19 01:54:40,1295962366082011137,2020-08-19 05:54:40,1141786815797637123,Lylabug2,91,"RT @Rise2ShineLife: $ZMRK Cannabis multi beverage facility coming also and they plan to obtain a cannabis wellness lodge licence, the first…"
2020-08-19 08:16:32,1296058467443249154,2020-08-19 12:16:32,716737614771044352,optioncharts,2003,$APH open interest for maturity 08/21/2020. High put=95.00 High call=115.00 PutCallRatio=2.76 #maxpain #options https://t.co/6HKlUqzawx https://t.co/0ZgQVuv4eG
2020-08-19 08:53:53,1296067866970566656,2020-08-19 12:53:53,374729426,Tickeron,5954,"$APH's Aroon indicator reaches into Uptrend on August 18, 2020. View odds for this and other indicators: https://t.co/mIxJ916jgS #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/a6NTF9B57M"
2020-08-19 11:07:49,1296101569155469314,2020-08-19 15:07:49,173885747,RyeDaCannaFiGuy,122,My son and I are both long ⁦@aphriainc⁩ . $APH was the first stock my son ever purchased.  https://t.co/PYFWZKmWsZ
2020-08-19 16:44:30,1296186301750939648,2020-08-19 20:44:30,61661638,AmericanBanking,7929,Amphenol Co. $APH Receives Average Recommendation of “Hold” from Analysts https://t.co/6cEE4ylDvd #stocks
2020-08-19 16:45:01,1296186428657893376,2020-08-19 20:45:01,889957348793606144,OlympiaReport,622,Amphenol Co. $APH Receives Average Recommendation of “Hold” from Analysts https://t.co/7mMN5zadSI
2020-08-20 11:35:07,1296470829262405633,2020-08-20 15:35:07,374729426,Tickeron,5954,"$APH's Aroon indicator reaches into Uptrend on August 19, 2020. View odds for this and other indicators: https://t.co/dYQTjh7cUc #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/NFd59sIeBr"
