,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 19:59:17,1298409644788977664,2020-08-25 23:59:17,843934968917250050,imjustsaiyan1,482,"RT @PrincessTess___: you betas are boring as FUCK tonight 🥱🥱🥱 wtf is goin on??

-

$ARE findom relapse paypig femdom humanatm whalesub cuck…"
2020-08-25 20:01:23,1298410172289896448,2020-08-26 00:01:23,1264372597971726337,PrincessTess___,1665,"i will be up lateeeee after my dinner with my man tonight... approach to secure a session now 😈

-

$ARE findom finD paypig paypiggy cashslave replase finbrat humiliation sissy cuck beta sph debt slave femdom ballbusting cbt fetish"
2020-08-25 20:05:19,1298411162057547776,2020-08-26 00:05:19,1026895554398375936,Peter61287197,275,"RT @kiwifindom: my personality matches my job 
rough as fuck 😂

• findom finsub goddess worship humiliation brat humanATM $ARE • https://t.…"
2020-08-25 20:49:10,1298422199133429763,2020-08-26 00:49:10,1254575838499966981,FierceTegan,366,"RT @GoddessLouisee: Double Domme sessions or individuals tonight with @GoddessKenzzie - dm to book and discuss sessions. Teamviewer, Skype…"
2020-08-25 20:49:37,1298422313008820224,2020-08-26 00:49:37,1254575838499966981,FierceTegan,366,RT @GoddessLouisee: I’m bored at today already and the one thing I find most entertaining is making bitch boys get down on their knees and…
2020-08-25 21:00:03,1298424939398279172,2020-08-26 01:00:03,938804552203165697,sunshineavenue8,204,short ratio interest of $OFC is 3.51 at 2019-05-31 https://t.co/KDFyvMOmS0 $CDR 2.27 $ARE 5.76
2020-08-25 22:36:34,1298449227320832001,2020-08-26 02:36:34,1264372597971726337,PrincessTess___,1665,"come and get your fix losers 😘🖕🏼

-

$ARE findom relapse paypig femdom humanatm whalesub cuck subwanted ballbusting humiliation beta sissy fetish sph https://t.co/jwHeTymyvP"
2020-08-25 22:47:34,1298451996261912577,2020-08-26 02:47:34,738550990698336261,stockbard,231,"$BAM! $KEYS $ARE $OUT $HUBS
$HUBS $ARE $ONE $ARC
$AT $DATA"
2020-08-25 23:14:02,1298458656653156354,2020-08-26 03:14:02,1161331676888391681,soonlineradio,28,$We $Are $Now $Listening To So Online Radio
2020-08-25 23:41:00,1298465441434808328,2020-08-26 03:41:00,4183554263,sweetkelxo,1488,"Approach with your savings at hand
I’m an expensive bitch 

Heavy on the BITCH when you don’t exceed my expectation 

• Findom femdom ebonydomm BBW $ARE Cashpig moneyslave cashqueen weak loser rtgame walletdrain •"
2020-08-25 23:41:34,1298465583655075842,2020-08-26 03:41:34,1049863788273512448,goddesshazy_,2987,"RT @goddesshazy_: my divine beauty is way too prominent for you to ignore. temptations everywhere but i want u to keep sending, maybe I’ll…"
2020-08-25 23:41:53,1298465666001846273,2020-08-26 03:41:53,1298332745156894720,MisterTxs,17,"RT @sweetkelxo: Approach with your savings at hand
I’m an expensive bitch 

Heavy on the BITCH when you don’t exceed my expectation 

• Fin…"
2020-08-25 23:51:32,1298468093329412097,2020-08-26 03:51:32,425565423,kiwifindom,4491,"send more 
talk less 

• findom finsub goddess worship humiliation brat humanATM $ARE • https://t.co/OFdDdkAS99"
2020-08-25 23:52:08,1298468243980550144,2020-08-26 03:52:08,716737614771044352,optioncharts,2003,$ARE Delta expiration 09/18/2020 #maxpain #options https://t.co/KoZpj6Pqzp https://t.co/sCTjyHw3Lc
2020-08-25 23:52:11,1298468257360478209,2020-08-26 03:52:11,4183554263,sweetkelxo,1488,"It’s   N E V E R    me 
&amp;   A L W A Y S    you 

Remember your place; you have none! 
Unless you pay to exist 🤣😈 

• Findom finD cashpig moneyslave cashslave walletdrain paypig humanatm cashqueen finsub fincuck BBW $ARE weak loser • https://t.co/DWwzDJ7IV1"
