,ID,Created,User_id,User_name,User_flr,Text
2020-08-18 02:59:16,1295616236039090177,2020-08-18 06:59:16,852931863547084801,TranscriptDaily,714,Atmos Energy $ATO Given New $101.00 Price Target at Morgan Stanley https://t.co/g3DIUHCK9S
2020-08-18 03:00:04,1295616434836561922,2020-08-18 07:00:04,887052326472740866,stocknewstimes,2293,Atmos Energy $ATO Given New $101.00 Price Target at Morgan Stanley  https://t.co/lVkuIjZ6xK
2020-08-18 03:00:49,1295616627120181249,2020-08-18 07:00:49,2920258887,dakotafinancial,1619,Atmos Energy $ATO Given New $101.00 Price Target at Morgan Stanley https://t.co/nSlj6fUywS
2020-08-18 12:00:37,1295752470908477446,2020-08-18 16:00:37,374729426,Tickeron,5954,"$ATO's 10-day Moving Average crossed above its 50-day Moving Average on July 21, 2020. View odds for this and other indicators: https://t.co/iC5zUSQLD1 #AtmosEnergy #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/tcdoH2rSmA"
2020-08-19 08:08:17,1296056391279443973,2020-08-19 12:08:17,716737614771044352,optioncharts,2003,$ATO Max Pain=105.00. Maturity=08/21/2020. #maxpain #options https://t.co/0FrNMAynaW https://t.co/NdQOE34F2c
2020-08-19 08:30:04,1296061872173711367,2020-08-19 12:30:04,849417718642159616,TheMarketsDaily,1597,Atmos Energy Co. $ATO To Go Ex-Dividend on August 21st https://t.co/0ys8hGqX7F
2020-08-19 09:36:26,1296078573338386433,2020-08-19 13:36:26,1262915121103491074,formwhisperscom,309,"#FWBuys $ATO Sampson Richard A, Director of ATMOS ENERGY CORP bought 500 shares on 2020-08-18. https://t.co/VsyyBxiHcx"
2020-08-19 09:36:42,1296078641600901127,2020-08-19 13:36:42,1069693680066420736,FlashAlert_me,1087,"$ATO [15s. delayed] filed SEC form 4: Insider Sampson Richard A: 
Acquired 500 of Common Stock at price $103 on 2020-08-18, increased holding by 8% to 6,500 shares  https://t.co/VSm9siObmh"
2020-08-19 09:39:51,1296079432290111490,2020-08-19 13:39:51,4312114277,fintel_io,1835,"Insider Richard A Sampson reports buying 500 shares of $ATO for a total cost of $51,500.00 https://t.co/fGR9D4CHMi"
2020-08-19 09:44:27,1296080589158744065,2020-08-19 13:44:27,2344420430,InsiderAlerts4U,4156,"$ATO:

New Insider Filing on ATMOS ENERGY CORP's

Director

RICHARD A SAMPSON:

https://t.co/YefnBQqyi4"
2020-08-19 11:07:06,1296101389941108736,2020-08-19 15:07:06,374729426,Tickeron,5954,"$ATO's price moved above its 50-day Moving Average on July 21, 2020. View odds for this and other indicators: https://t.co/uZ3y8bSoaM #AtmosEnergy #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/VjYQjEvrMd"
2020-08-19 14:48:17,1296157052184780800,2020-08-19 18:48:17,61661638,AmericanBanking,7929,Richard A. Sampson Purchases 500 Shares of Atmos Energy Co. $ATO Stock https://t.co/xFT2A5CVs0 #stocks
2020-08-19 14:55:32,1296158877847887877,2020-08-19 18:55:32,39546678,mediasentiment,6323,$ATO  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1535
2020-08-19 19:39:32,1296230348741844994,2020-08-19 23:39:32,61661638,AmericanBanking,7929,Short Interest in Atmos Energy Co. $ATO Grows By 18.7% https://t.co/uxb0unKr60 #stocks
2020-08-20 07:29:27,1296409003371761666,2020-08-20 11:29:27,727519600787750913,MarketChmln,5078,$ATO Goes ex div tomorrow for $0.575. It has increased its div 3 times in 3 years. Annual Yld is 2.2% https://t.co/YABED7FWAe
2020-08-20 08:40:56,1296426992112476160,2020-08-20 12:40:56,966006214818697218,EnterpriseLeade,716,Atmos Energy Co. Plans Quarterly Dividend of $0.58 $ATO  https://t.co/3tc7G3Zwbd
2020-08-20 10:50:03,1296459488489283584,2020-08-20 14:50:03,2920258887,dakotafinancial,1619,Atmos Energy Co. $ATO Director Richard A. Sampson Acquires 500 Shares of Stock https://t.co/hWyFl7p6oC
