,ID,Created,User_id,User_name,User_flr,Text
2020-08-19 00:00:49,1295933716158709761,2020-08-19 04:00:49,1195769632608653312,MMeatloaf7,781,"$avb weekly

wkly lower bb pinch in 

daily chart building a inverse h&amp;s

she needs to close above 153.17 to confirm up move next wk

if confirmed, PTs at 157 160 163-164

stop is below this wk's low -  currently 152.51

checkout:
sept 18 155c at 4.70mid
sept 18 160c at 2.45mid https://t.co/MKlOFUr7IS"
2020-08-19 00:03:17,1295934336861184001,2020-08-19 04:03:17,1286742874458066945,__loftus__,1,"Very interested in REITs rn, particularly highest quality apartments. $AVB, $ESS, $EQR, $MAA.

Want to spend more time on research + 10ks. Probably won't start with this sector, but would be fun to loop around to it. I'm young, and don't see apts in hip cities going anywhere."
2020-08-19 09:43:56,1296080462021111808,2020-08-19 13:43:56,1286742874458066945,__loftus__,1,"$AMZN believes https://t.co/lL6kIr1IEr

$AVB, $ESS, $EQR"
2020-08-19 11:16:58,1296103872323346437,2020-08-19 15:16:58,2422703600,SwingTradeBot,8150,20 DMA Support today: $MCC $PCG $AVB $ARQT $RGLD $CDE $ABM $TRVG $NEE $EXPO $HQH $OPRA ... https://t.co/deOpbNqdR6
2020-08-19 12:29:00,1296122002663567361,2020-08-19 16:29:00,707079170644271104,TickwatcherMF,4005,"Today Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $C $STT $MS $PLD $BAC $MCO $HST $AIV $NTRS $FITB $WFC $JPM $GS $SPG $EQR $ICE $COF $SCHW $AVB $ALL #stock #stocks #StockMarket #Investment #finance #investing https://t.co/B7BWRcVOEf https://t.co/7NM9CLljCW"
2020-08-19 12:29:54,1296122225662349318,2020-08-19 16:29:54,1158121623205142528,AthleteDividend,273,"@TFFPage At current valuations I like $STOR , $AVB , $IRM and $SPG"
2020-08-19 16:00:05,1296175121946812422,2020-08-19 20:00:05,1259494808051163136,thebubbleboard,633,"Wed Aug 19th
Today's WORST performing sector at the close

Real Estate -2.1%

follow along here: https://t.co/004GFoz6d0

#realestate #investments #stockbubbles #trading #bubbleboard
$WY $CSGP $CBRE $VTR $EQIX $ARE $AVB $BXP $PSA $WELL https://t.co/AbkECgIpQ5"
2020-08-19 16:01:40,1296175522347704320,2020-08-19 20:01:40,1136370591517290496,Gambiste1,6979,"RT @thebubbleboard: Wed Aug 19th
Today's WORST performing sector at the close

Real Estate -2.1%

follow along here: https://t.co/004GFoz6d…"
2020-08-20 01:51:15,1296323894517866496,2020-08-20 05:51:15,930803511918411776,ThisLincolnian,768,Reviewing AvalonBay Communities $AVB &amp; Paragon Real Estate Equity Reit $PRLE https://t.co/DwiexrJiOm
2020-08-20 06:47:44,1296398504936472576,2020-08-20 10:47:44,2298709746,WatchlistN,2740,Q3 2020 Earnings Estimate for AvalonBay Communities Inc $AVB Issued By Truist Securiti https://t.co/BOG82FBnoI
2020-08-20 06:48:25,1296398678320717825,2020-08-20 10:48:25,992182100,RatingsNetwork,7644,Truist Securiti Lowers AvalonBay Communities Q3 2020 Earnings Estimates to $2.14 EPS (Previously $2.23). https://t.co/1gOmietnfA $AVB #AVB
2020-08-20 06:49:47,1296399023906185216,2020-08-20 10:49:47,930803511918411776,ThisLincolnian,768,Q3 2020 Earnings Estimate for AvalonBay Communities Inc $AVB Issued By Truist Securiti https://t.co/wsSmv3jysQ
2020-08-20 06:50:45,1296399267054202880,2020-08-20 10:50:45,849417718642159616,TheMarketsDaily,1597,Q3 2020 Earnings Estimate for AvalonBay Communities Inc $AVB Issued By Truist Securiti https://t.co/G6eRjqiSbx
2020-08-20 06:52:05,1296399602044870663,2020-08-20 10:52:05,61661638,AmericanBanking,7929,Q3 2020 Earnings Estimate for AvalonBay Communities Inc $AVB Issued By Truist Securiti https://t.co/H05c8pQUCO #stocks
2020-08-20 08:31:26,1296424603225673731,2020-08-20 12:31:26,3646985662,sbwcws,884,"AvalonBay price target lowered to $183 from $189 at Truist
$AVB"
2020-08-20 09:45:24,1296443219727863812,2020-08-20 13:45:24,1259494808051163136,thebubbleboard,633,"Thu Aug 20th
Today's BEST performing sector just after the open

Real Estate +0.7%

follow along here: https://t.co/HrEKB4rtuK

#realestate #bubbleboard #equities #stocks #bubbleboard
$ESS $O $EQR $PLD $WELL $DLR $PSA $AVB $ARE $INVH https://t.co/fK3Emt8gsF"
2020-08-20 10:03:01,1296447649214865411,2020-08-20 14:03:01,1195769632608653312,MMeatloaf7,781,"$avb daily

She’s trying https://t.co/rx6vfKyppH"
2020-08-20 10:06:04,1296448419989463040,2020-08-20 14:06:04,153065327,Beardown101,240,@MMeatloaf7 what setup is more enticing to you at this moment with the three calls you mentioned the other day $BIDU $AVB $AYX thanks!
2020-08-20 10:16:31,1296451049188925441,2020-08-20 14:16:31,2422703600,SwingTradeBot,8150,Rose Above 50 DMA today: $CCJ $SBAC $AVB $SY $ARGX $EXPC $ALCO $GOOD $AMUB $MLHR ... https://t.co/qwiJH6vr1O
2020-08-20 11:43:02,1296472819384102913,2020-08-20 15:43:02,1136370591517290496,Gambiste1,6979,"RT @MMeatloaf7: $avb daily

She’s trying https://t.co/rx6vfKyppH"
2020-08-20 11:47:37,1296473972444467201,2020-08-20 15:47:37,1195769632608653312,MMeatloaf7,781,"$avb hourly

🤔🧐🤨 https://t.co/62NGQbxV4K"
2020-08-20 11:49:30,1296474450133749762,2020-08-20 15:49:30,438262278,MinteractApp,4401,"Today Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $BAC $CME $MS $PGR $SCHW $SPG $MET $AVB $PLD $BEN $WFC $ICE $C $GS $CB $JPM $AMP $MBI $FHN $TROW #stock #stocks #StockMarket #Investment #finance #investing https://t.co/5JE2nlalc3 https://t.co/dgEUGRalY3"
2020-08-20 12:28:37,1296484293057875977,2020-08-20 16:28:37,1103693921106964480,GinSecurities,3937,"the lowest since since mid-2009, and same-store NOI fell 3.8%, reversing nine years of gains.

Coastal-focused $ESS, $UDR, $AVB and $EQR had the largest NOI declines in 2Q. Conversely, Sunbelt-focused $MAA bucked the trend with a 2% gain - Bloomberg"
