,ID,Created,User_id,User_name,User_flr,Text
2020-08-24 15:29:16,1297979306010972160,2020-08-24 19:29:16,1289394571844243456,RiskyCapitalism,12,"7 hits

$T +0.67%, $NVDA +0.82%, 
$DHR +0.65%, $AXP +1.57%, 
$QCOM +2.45%, $BKNG +2.74%
$SYK +1.20% at the high.

From previous days

$BAC +1.26%, $C +1.30% at the high.

$UBER, $CMCSA, $NVS, $CSCO still active."
2020-08-24 15:33:57,1297980483955855360,2020-08-24 19:33:57,1017103896597020672,Homeslinger,23,"@BTT_private $AXP is looking pretty good here, no?"
2020-08-24 15:51:33,1297984914403467264,2020-08-24 19:51:33,329258969,Showstopper1307,190,"@seyedoption All financials, $JPM, $COF, $AXP, $GS holding 50dma on daily probably that triggered this move, also holding key trendline https://t.co/bbhlBDxOSi"
2020-08-24 16:06:56,1297988784718581763,2020-08-24 20:06:56,805635529,PaymntAdvisors,889,"$V            +1.12%                                     
$MA         +1.99%
$DFS       +5.63%
$AXP       +3.32%
$COF      +5.63%
$BCS       +2.32%

#payments #cardnetworks #banks #issuers #acquirers"
2020-08-24 16:14:47,1297990761661837313,2020-08-24 20:14:47,793860971731128322,opricot,155,$AXP Expiration:08/28/2020|MaxPain:97.0|High Put Open Interest:104.0(330)|High Call Open Interest:100.0(982) https://t.co/H8pppbeeJt
2020-08-24 17:06:05,1298003669867257857,2020-08-24 21:06:05,1001192245,TalkMarkets,3957,Monday Trades With Yields Up To 1011% $AXP $DHI $QQQ $GDXJ $KRE $ABBV https://t.co/ZMr0zGy8pW
2020-08-24 17:19:44,1298007104842690560,2020-08-24 21:19:44,438262278,MinteractApp,4401,"Monday's Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $BAC $C $SPG $CME $GS $AXP $DFS $AIG $TROW $NTRS $JPM $MET $PGR $WFC $PNC $ETFC $EQR $ICE $AFL $NDAQ #stock #stocks #StockMarket #Investment #finance #investing https://t.co/5JE2nlrW3B https://t.co/x1QfPX0WIJ"
2020-08-24 17:40:38,1298012365372493824,2020-08-24 21:40:38,17124991,Fibonacciqueen,37561,"I have a buy setup in $AXP. It has already triggered on the buy side today.
https://t.co/96AOdC3L3I
#Trading #FibonacciQueen #Options #StocksToTrade #StockMarket #Stocks #AmericanExpress #fibonacci"
2020-08-24 17:41:37,1298012614979657729,2020-08-24 21:41:37,232176880,Jlucci3,41,"RT @Fibonacciqueen: I have a buy setup in $AXP. It has already triggered on the buy side today.
https://t.co/96AOdC3L3I
#Trading #Fibonacci…"
2020-08-24 17:52:18,1298015300781322240,2020-08-24 21:52:18,19772090,dbaffoe,773,"RT @Fibonacciqueen: I have a buy setup in $AXP. It has already triggered on the buy side today.
https://t.co/96AOdC3L3I
#Trading #Fibonacci…"
2020-08-24 17:56:09,1298016268491071491,2020-08-24 21:56:09,1189031161798057984,Official_Forex,290,"RT @Fibonacciqueen: I have a buy setup in $AXP. It has already triggered on the buy side today.
https://t.co/96AOdC3L3I
#Trading #Fibonacci…"
2020-08-24 18:13:54,1298020736661991424,2020-08-24 22:13:54,707079170644271104,TickwatcherMF,4005,"RT @MinteractApp: Monday's Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $BAC $C $SPG $CME $GS $AXP $DFS $AIG $TROW $NTRS $JPM $MET $…"
2020-08-24 18:16:00,1298021264339152896,2020-08-24 22:16:00,4584354895,MITickWatcher,5024,"RT @MinteractApp: Monday's Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $BAC $C $SPG $CME $GS $AXP $DFS $AIG $TROW $NTRS $JPM $MET $…"
