,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 15:02:07,1298334862374395904,2020-08-25 19:02:07,65179927,sngconnections,122,$BBY The CEO provides a negative outlook instead of a positive outlook for what reason?  Same as $WMT.  Look at $TGT.  CEO gave upbeat thoughts about the future.  Why guess on a negative tone instead of a positive one.  Either way they are speculating. #stockstowatch #jimcramer
2020-08-25 15:04:17,1298335404748189696,2020-08-25 19:04:17,3438009095,_TimQuast,1231,"Here's $BBY ahead of results through @EdgeStructure (sign up for free and try it yourself). Short volume wasn't bad but it's been a 9 or 10 Sentiment since July 27, momentum hard to maintain. Know in advance. #marketstructure https://t.co/MZIpjclVJe"
2020-08-25 15:05:26,1298335694473981953,2020-08-25 19:05:26,1281285936802754560,EdgeStructure,67,RT @_TimQuast: Here's $BBY ahead of results through @EdgeStructure (sign up for free and try it yourself). Short volume wasn't bad but it's…
2020-08-25 15:06:53,1298336058996736000,2020-08-25 19:06:53,17085087,Michael_MBA,20856,Best Buy’s Growth Is Crimped by Product Shortages - @WSJ $BBY  https://t.co/Raesl2V11U
2020-08-25 15:08:44,1298336527370653696,2020-08-25 19:08:44,185622716,DCarsonCPA,2888,RT @Michael_MBA: Best Buy’s Growth Is Crimped by Product Shortages - @WSJ $BBY  https://t.co/Raesl2V11U
2020-08-25 15:09:01,1298336598069776384,2020-08-25 19:09:01,17926647,brentthomas11,686,"@LoopCapital Good job, Anthony. @CNBC $BBY"
2020-08-25 15:12:09,1298337385843957765,2020-08-25 19:12:09,25360971,PowerLunch,41019,Here's why @LoopCapital's Anthony Chukumba says he wasn't surprised to see Best Buy sell off after a great Q2 earnings report and why he thinks the company will continue to see growth in sales.  $BBY https://t.co/Blzl75AyP6
2020-08-25 15:13:50,1298337809678446592,2020-08-25 19:13:50,20402945,CNBC,3738828,RT @PowerLunch: Here's why @LoopCapital's Anthony Chukumba says he wasn't surprised to see Best Buy sell off after a great Q2 earnings repo…
2020-08-25 15:16:19,1298338434960863233,2020-08-25 19:16:19,259558221,MrSunCityAZ,28,@Dynamicbrands Companies like $BBY that provide hardware for said activities.
2020-08-25 15:16:31,1298338483853901824,2020-08-25 19:16:31,1141245411488702467,Visva47323283,9,"RT @BBYNews: Today, we are reporting strong Q2 FY21 results. This would not be possible without the effort and energy of our front-line emp…"
2020-08-25 15:17:27,1298338718768660485,2020-08-25 19:17:27,2450517181,TheBurdetteLawF,12356,"Large caps of Tuesday trading - $AAPL $TSLA $AMZN $FB $BABA $BA $CRM $NIO $MSFT $AMD $NVDA $GOOG $GOOGL $ADBE $SHOP $INTC $NVAX $JD $FSLY $UAL $AMGN $NFLX $PDD $ZM $SBUX $JPM $PANW $BAC $BBY $AAL $DKNG $HON $XOM $V $SQ $MU $MDT $SHLL $PFE $C $MA $DAL $WMT 
https://t.co/da7wRDVGfg"
2020-08-25 15:19:05,1298339130921725953,2020-08-25 19:19:05,1226198308978167808,GivemeOcean,4,Who was that fuckin ape who pumped this garbage? $bby
2020-08-25 15:23:25,1298340220744630273,2020-08-25 19:23:25,1254906887490936845,quant_data,1880,"'Halftime Report' Traders Weigh In On Bank Of America, Best Buy And More

Related Tickers: $ACN $BAC $BBY $C $T $VZ"
2020-08-25 15:24:04,1298340387342311424,2020-08-25 19:24:04,707079170644271104,TickwatcherMF,4005,"Best Buy $BBY Has A Neutral #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing https://t.co/B7BWRcVOEf https://t.co/e7eL1l4nX5"
2020-08-25 15:24:43,1298340548982562824,2020-08-25 19:24:43,52065949,Shubham,4698,"“Ecommerce is no longer a fad, it’s steady state.""

Online sales increases YoY for Q2 2020:

Best Buy $BBY: 242%
Target $TGT: 195%
Lowe’s $LOW: 135%
Home Depot $HD: ~100%
Walmart $WMT: 97%"
2020-08-25 15:28:27,1298341486648410112,2020-08-25 19:28:27,18940735,Adam_Levene,1298,"RT @Shubham: “Ecommerce is no longer a fad, it’s steady state.""

Online sales increases YoY for Q2 2020:

Best Buy $BBY: 242%
Target $TGT:…"
2020-08-25 15:28:28,1298341494441598979,2020-08-25 19:28:28,1266932745323905024,Dave87533584,14,"RT @quant_data: 'Halftime Report' Traders Weigh In On Bank Of America, Best Buy And More

Related Tickers: $ACN $BAC $BBY $C $T $VZ"
2020-08-25 15:30:15,1298341939742310400,2020-08-25 19:30:15,802864981,andydicesorkin,618,"@richtechexec @maybebullish @roundhill or $W, $OSTK, $AAPL, $PENN, $BBY, $RH, $TSLA... I could go on and on..."
2020-08-25 15:30:45,1298342065688973323,2020-08-25 19:30:45,2417925421,EagleBrookCap,8381,"$NAFS Major Developments
https://t.co/pleEad8YQt
$OTRK $LVGO $TDOC #Telemedicine #telehealth $CRM $HON $XOM $UONE $SHLL $PANW $BBY $AMGN $VIVE $LI $CGIX $MDT $ORTX $RTX"
2020-08-25 15:34:47,1298343081457135619,2020-08-25 19:34:47,2417925421,EagleBrookCap,8381,"RT @EagleBrookCap: $EDNT Major Update

$CRM $HON $XOM $UONE $SHLL $PANW $BBY $AMGN $VIVE $LI $CGIX $MDT $ORTX $RTX https://t.co/MNej0NBYWp"
2020-08-25 15:34:52,1298343104353796099,2020-08-25 19:34:52,2417925421,EagleBrookCap,8381,"RT @EagleBrookCap: $EDNT Major Update

$CRM $HON $XOM $UONE $SHLL $PANW $BBY $AMGN $VIVE $LI $CGIX $MDT $ORTX $RTX https://t.co/TJgO79Lfwq"
2020-08-25 15:37:56,1298343874310676480,2020-08-25 19:37:56,19246382,TradeLightspeed,14165,"Call/Put Highest % Volume Changes: Calls: $IVZ, $TOL, $HYG, $BBY, $AMGN  Puts: $JETS, $CRM, $TOL, $BBY, $PANW"
2020-08-25 15:38:06,1298343917050564609,2020-08-25 19:38:06,207173384,PimMaiden,716,RT @PowerLunch: Here's why @LoopCapital's Anthony Chukumba says he wasn't surprised to see Best Buy sell off after a great Q2 earnings repo…
2020-08-25 15:43:01,1298345155477549056,2020-08-25 19:43:01,974341484672638976,thrilla84,87,@jimcramer Still waiting to hear from you $BBY
2020-08-25 15:44:39,1298345565315506182,2020-08-25 19:44:39,772979035164975106,408Nate,1933,RT @Michael_MBA: Best Buy’s Growth Is Crimped by Product Shortages - @WSJ $BBY  https://t.co/Raesl2V11U
2020-08-25 15:45:28,1298345771067150338,2020-08-25 19:45:28,951268829048594433,Rapidavenger941,38,@BearingtonTrade You been seeing $BBY? Overbought pigs finally getting slaughtered lol
2020-08-25 15:49:46,1298346853713342465,2020-08-25 19:49:46,1271597574047166465,dshamanaman,6,@jimcramer Hey Jim!  Thanks for your thoughts on $BBY!  I sold going into earnings (win) and was on the fence whether to buy it back. Gonna be a winner of a play. Holding at least through the 1st quarter of ‘21 now. Block the loser haters. You da man!
2020-08-25 15:50:07,1298346939965210625,2020-08-25 19:50:07,1200616796295847936,unusual_whales,13325,"🗓️ 
$BBY 2020-10-02 P $100

Bid-Ask: $1.11 - $2.41
Interest: 1
Volume: 316
IV: 42.13%
% Diff: -10.87%
Underlying: $112.2
Daily $ Volume: $55,616
Sector: Services
🗓️"
2020-08-25 15:50:15,1298346974626762752,2020-08-25 19:50:15,82413646,Hgamboa21,66,"RT @unusual_whales: 🗓️ 
$BBY 2020-10-02 P $100

Bid-Ask: $1.11 - $2.41
Interest: 1
Volume: 316
IV: 42.13%
% Diff: -10.87%
Underlying: $112.…"
2020-08-25 15:54:48,1298348117872521220,2020-08-25 19:54:48,2345038485,santodagreat,418,RT @PowerLunch: Here's why @LoopCapital's Anthony Chukumba says he wasn't surprised to see Best Buy sell off after a great Q2 earnings repo…
2020-08-25 15:55:29,1298348293244821510,2020-08-25 19:55:29,3088270551,vetricki,5,"RT @unusual_whales: 🗓️ 
$BBY 2020-10-02 P $100

Bid-Ask: $1.11 - $2.41
Interest: 1
Volume: 316
IV: 42.13%
% Diff: -10.87%
Underlying: $112.…"
2020-08-25 15:55:38,1298348330783842305,2020-08-25 19:55:38,45964422,FrankCurzio,8256,$BBY reports after the bell. The company will give us inside look on supply/demand across numerous segments within tech. Conf call is def a must-listen.
2020-08-25 16:00:01,1298349432321212422,2020-08-25 20:00:01,1058344962285289472,HammerstoneMar3,1400,"Top News
$AMGN $CRM $HON replace $PFE $RTX $XOM in the Dow ahead of $AAPL split
$ADSK $CRM $INTU 52wk highs, eps tonight
$BBY $PLCE fall on results
$GPS $CROX $LB rise on u/g
$TEVA slides as U.S. poised to charge with generic drug price-fixing
$FB $AMD lead $QQQ Nasdaq to ATH"
2020-08-25 16:06:49,1298351145186996225,2020-08-25 20:06:49,563084750,TradersCom,16193,"RT @TradersCom: Tuesday Earnings Include: 
Autodesk $ADSK, JM Smucker $SJM, Hormel $HRL before market open; 
Best Buy $BBY; Salesforce $CRM…"
2020-08-25 16:09:56,1298351927961571333,2020-08-25 20:09:56,849319340818169856,bluff_capital,7530,"$BBY Best Buy discussing changing the way stores are used for fulfillment, including moving to use 250 stores more heavily for ship-from-store. https://t.co/DmSQM8aro5 https://t.co/w53ln7ueYq"
2020-08-25 16:12:11,1298352494247124997,2020-08-25 20:12:11,740877157,peterdalgaard,1,"RT @StockMKTNewz: Earnings for this upcoming week (8/24-8/28)

Mon: Palo Alto $PANW

Tues: Best Buy $BBY Salesforce $CRM Intuit $INTU Autod…"
2020-08-25 16:12:42,1298352624291450881,2020-08-25 20:12:42,3031492475,QasimAMohammad,478,"RT @Shubham: “Ecommerce is no longer a fad, it’s steady state.""

Online sales increases YoY for Q2 2020:

Best Buy $BBY: 242%
Target $TGT:…"
2020-08-25 16:13:17,1298352769263337473,2020-08-25 20:13:17,793860971731128322,opricot,155,$BBY Expiration:08/28/2020|MaxPain:113.0|High Put Open Interest:110.0(2149)|High Call Open Interest:130.0(2621) https://t.co/9XyyV8molJ
2020-08-25 16:13:48,1298352900570320897,2020-08-25 20:13:48,1119687694291021824,FitchData,140,"#Best Buy Company, Inc.
@NYSE : $BBY
$112.62

Explore interactive grid : https://t.co/3RW3mTfAb8 https://t.co/BIJEWYDGFw"
2020-08-25 16:16:07,1298353483075264522,2020-08-25 20:16:07,1034088467096068098,aistockfinder,802,$BBY https://t.co/FvcMu9t7wF Best Buy Co Inc.  The automated equity analyst is predicting the market value of this company has an undetermined short term setup with a flat long term setup in a neutral long term market setup #StocksToWatch #news #trade
2020-08-25 16:23:11,1298355261308993536,2020-08-25 20:23:11,1214021557367926784,dailycandlestix,205,"$BBY Hanging Man
Daily appearances since 2010: 30
Close 5 days later ±:
Avg: 0.38
SD: 2.38
Worst: -3.95
Best: 8.94

10 days later:
Avg: 0.26
SD: 3.61
Worst: -8.90
Best: 9.68

30 days later:
Avg: -0.44
SD: 6.97
Worst: -20.14
Best: 14.38"
2020-08-25 16:23:12,1298355266266624000,2020-08-25 20:23:12,1214021557367926784,dailycandlestix,205,"$BBY Evening Star
Daily appearances since 2010: 9
Close 5 days later ±:
Avg: 1.71
SD: 2.23
Worst: -0.42
Best: 6.50

10 days later:
Avg: 0.97
SD: 3.47
Worst: -4.68
Best: 8.52

30 days later:
Avg: 2.45
SD: 9.19
Worst: -10.07
Best: 18.93"
2020-08-25 16:25:04,1298355737798860801,2020-08-25 20:25:04,1282804994555641862,EarningsPoll,93,"8/25 Earnings Poll Results:
✅ $NOAH $MDT $BMO $SJM $HAIN
❌ $PANW $DADA $FANH $CANG $SXI $BBY $HRL $ATHM $PINC $PLCE"
