,ID,Created,User_id,User_name,User_flr,Text
2020-08-24 01:33:39,1297769016690384897,2020-08-24 05:33:39,930803511918411776,ThisLincolnian,768,FY2020 EPS Estimates for Biogen Inc Decreased by Analyst $BIIB https://t.co/BEsKVT0WPY
2020-08-24 01:34:01,1297769110089211905,2020-08-24 05:34:01,992182100,RatingsNetwork,7644,SVB Leerink Lowers Biogen FY2020 Earnings Estimates to $32.45 EPS (Previously $35.35). https://t.co/pDR2CCrvTF $BIIB #BIIB
2020-08-24 01:35:09,1297769393859026945,2020-08-24 05:35:09,61661638,AmericanBanking,7929,FY2020 EPS Estimates for Biogen Inc Decreased by Analyst $BIIB https://t.co/L0HMkDiNuj #stocks
2020-08-24 01:35:42,1297769532178812928,2020-08-24 05:35:42,2338882843,dailypoliticaln,1417,FY2020 EPS Estimates for Biogen Inc Decreased by Analyst $BIIB https://t.co/LHK1uJtL0R
2020-08-24 01:36:23,1297769703134449665,2020-08-24 05:36:23,1979190776,TickerReport,3406,FY2020 EPS Estimates for Biogen Inc Decreased by Analyst $BIIB https://t.co/OfaImEFVgY
2020-08-24 01:36:52,1297769827625443330,2020-08-24 05:36:52,68559732,ConsumerFeed,5226,FY2020 EPS Estimates for Biogen Inc Decreased by Analyst $BIIB https://t.co/nOym7B8goW
2020-08-24 03:54:55,1297804566704971778,2020-08-24 07:54:55,2945292289,AntounNabhan,339,"@SamFazeli8 I doubt there's anything to be read through to $BIIB here. COVID-related regulatory decisions are sui generis, due to the economic ramifications and politics surrounding that.

In addition, aducanumab has a significantly more challenging AE profile than ""plasma."" Risk / benefit."
2020-08-24 07:37:39,1297860620478566402,2020-08-24 11:37:39,2322359952,Drugdoctor2014,1243,$ACI - Albertsons-BLUE CHIP ALERT!! #2 Grocery in USA - Huge earnings - New IPO - Wedge Chart&gt;&gt;&gt; UPGRADED!  $PG $MRK $MYL $VRX $VRTX $BIIB $BMY $JNJ $CELG $AKRX $REGN $JNJ $PFE $GSK $LLY $ABT $SNY $NVO $NVS $WBA $RAD $HLF $CJJD $GNC $DPLO $IPXL $TSCO $BBBY $RGS $TEVA $RDY $MNK https://t.co/Cupi8BhjEg
2020-08-24 07:41:30,1297861590063120384,2020-08-24 11:41:30,2322359952,Drugdoctor2014,1243,$ACI - Albertsons-BLUE CHIP ALERT!! #2 Grocery in USA - Huge earnings - New IPO - Wedge Chart&gt;&gt;&gt; UPGRADED! $VIAB $QVCA $NCLH $TSCO $LVNTA $ILMN $SHPG $COST $MNST $MDLZ $WFM $SBAC  $VOD $TMUS $FAST $DAL $AAL  $HSIC $CELG $BIIB $ANAB $EXAS $OSTK $ROKU $EIGR $FLXN $LJPC $PLXP $RARX https://t.co/bPOM5XwTue
2020-08-24 08:04:05,1297867272283918336,2020-08-24 12:04:05,863315184,TimCarmichael3,392,"$ALXN Leerink (Porges) — rare M&amp;A ready large biopharmas could be suitors. Board should put up for sale. $SNY $PFE $GILD $NVS $BIIB would be interested, acq would immediately be accretive to EPS. Outperform-$163 PT"
