,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 07:01:30,1298213912098242560,2020-08-25 11:01:30,3646985662,sbwcws,884,"Bristol-Myers reports IDHENTIFY trial did not meet OS primary endpoint
$BMY"
2020-08-25 07:01:39,1298213947925917697,2020-08-25 11:01:39,2988742673,2015Stalog17,501,RT @BioStocks: $BMY Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory AML Did Not Meet the Primary Endpoint of OS
2020-08-25 07:02:52,1298214253397250049,2020-08-25 11:02:52,471121755,pnani456,1340,RT @MSollender: $BMY Bristol Myers Squibb Provides Update on Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory Acute Myeloid…
2020-08-25 07:04:45,1298214726925770752,2020-08-25 11:04:45,817020427092525058,Silverstreak89,168,RT @BioStocks: $BMY Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory AML Did Not Meet the Primary Endpoint of OS
2020-08-25 07:05:32,1298214923529523200,2020-08-25 11:05:32,1069693680066420736,FlashAlert_me,1087,"$BMY [15s. delayed]: Issued Press Release on August 25, 06:59:00: Bristol Myers Squibb Provides Update on Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory Acute Myeloid Leukemia https://t.co/mCk2eheVhM"
2020-08-25 07:09:26,1298215905781002241,2020-08-25 11:09:26,774093597612224512,Danielbiotechh,112,RT @BioStocks: $BMY Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory AML Did Not Meet the Primary Endpoint of OS
2020-08-25 07:10:49,1298216255254597632,2020-08-25 11:10:49,2598246906,Hall8Jack,820,RT @BioStocks: $BMY Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory AML Did Not Meet the Primary Endpoint of OS
2020-08-25 07:11:55,1298216532468695040,2020-08-25 11:11:55,2494896473,Biotech2050,4999,RT @bio_clouseau: $BMY $CELG Idhifa fails to meet OS endpoint in AML P3 https://t.co/rwqnuzgyxn $AGIO
2020-08-25 07:12:08,1298216587607056385,2020-08-25 11:12:08,2494896473,Biotech2050,4999,RT @ShyBluRose: $BMY Bristol Myers to buy Forbius in hunt for Opdivo-enhancing drugs https://t.co/YBo6xB6wWE
2020-08-25 07:17:20,1298217894984265728,2020-08-25 11:17:20,235133788,PSuiteNetwork,3035,RT @BioStocks: $BMY Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory AML Did Not Meet the Primary Endpoint of OS
2020-08-25 07:18:06,1298218088622698496,2020-08-25 11:18:06,4032990322,MP_Fitzgerald,442,RT @BioStocks: $BMY Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory AML Did Not Meet the Primary Endpoint of OS
2020-08-25 07:20:59,1298218812727103488,2020-08-25 11:20:59,15296897,MarketCurrents,54394,$BMY - Bristol Myers' enasidenib fails to extend survival in late-stage leukemia study https://t.co/wP5w9PEhLi
2020-08-25 07:28:23,1298220676344688640,2020-08-25 11:28:23,1222163821441122304,HealthcareBeat,1128,Bristol Myers' enasidenib fails to extend survival in late-stage leukemia study $BMY https://t.co/MjkY5jC5QP
2020-08-25 07:37:25,1298222949975986176,2020-08-25 11:37:25,1889492676,1stOncology,1194,"#BristolMyersSquibb Enters Agreement to Acquire #Forbius, Adding Lead #TGFBeta Asset to Portfolio $BMY https://t.co/inLu1sNuOh"
2020-08-25 07:46:24,1298225208738766850,2020-08-25 11:46:24,374729426,Tickeron,5954,"$BMY's 10-day Moving Average broke above its 50-day Moving Average on July 24, 2020. View odds for this and other indicators: https://t.co/oInKRa48Hj #BristolMyersSquibb #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/qbyShcLyLp"
2020-08-25 07:46:29,1298225229349543937,2020-08-25 11:46:29,1100450877792370688,equity_newswire,122,$BMY Bristol Myers Squibb Provides Update on Phase 3 IDHENTIFY Trial in Patients with Relapsed or Refractory Acute Myeloid Leukemia https://t.co/jhxRPylDgR
2020-08-25 07:57:31,1298228005391736832,2020-08-25 11:57:31,3646985662,sbwcws,884,"Agios Pharmaceuticals drops after Bristol-Myers trial fails to meet endpoint
$AGIO $BMY $RPRX"
2020-08-25 07:58:34,1298228273537667072,2020-08-25 11:58:34,106823467,HottestStockNow,1700,$BMY 's late-stage study evaluating IDHIFA did not meet the primary endpoint of overall survival in patients with relapsed or refractory acute myeloid leukemia    #BristolMyers   #leukemia    #AML    #RRAML    https://t.co/QUHIvzU5aD
2020-08-25 08:16:16,1298232724055044096,2020-08-25 12:16:16,832251404,EmergingGrowth1,1615,"$ITRO Itronics (ITRO) Reports Expanded Benefits Of Its Proprietary Rock Kleen Silver, Gold And Base Metal Recovery Technology

https://t.co/9f9nQLOudi

$REGN $RGNX $BMY $LLY $ABT $PG $AMGN $GSK $GILD $CELG $BIIB $VRTX $ALXN $BMRN $GALT $AMPE $ICL $NTR $SQM"
2020-08-25 08:16:56,1298232893345607685,2020-08-25 12:16:56,34955940,TheSUBWAY,14599,"RT @EmergingGrowth1: $ITRO Itronics (ITRO) Reports Expanded Benefits Of Its Proprietary Rock Kleen Silver, Gold And Base Metal Recovery Tec…"
2020-08-25 08:16:59,1298232908084387840,2020-08-25 12:16:59,21434709,StockPromoters,4534,"RT @EmergingGrowth1: $ITRO Itronics (ITRO) Reports Expanded Benefits Of Its Proprietary Rock Kleen Silver, Gold And Base Metal Recovery Tec…"
2020-08-25 08:30:53,1298236404170981376,2020-08-25 12:30:53,35789155,fwpharma,48839,"BMS says late-stage study of Idhifa in relapsed, refractory AML misses main goal https://t.co/Gyktm1m3UL $BMY"
2020-08-25 08:40:06,1298238724875182081,2020-08-25 12:40:06,832251404,EmergingGrowth1,1615,"The Best Value in Biotech:

https://t.co/F3dV6zZUOq

$GLUC Glucose Health, Inc. (OTC Pink: GLUC) selling in $CVS $WMT $AMZN

Big Cap Diabetes Care:  $DXCM $LVGO $TNDM

Big Pharma $AZN $BMY $LLY

Old Diabetes Stocks $NVO $PRVB

#CoronaVirus #Covid19 #Covid19Vaccine #Covid19Cure"
2020-08-25 08:40:40,1298238864499322880,2020-08-25 12:40:40,166597717,theflynews,23899,Agios Pharmaceuticals drops after Bristol-Myers trial fails to meet endpoint $AGIO $BMY $RPRX https://t.co/RAaqrqkvhV
2020-08-25 08:43:58,1298239696749895681,2020-08-25 12:43:58,34955940,TheSUBWAY,14599,"RT @EmergingGrowth1: The Best Value in Biotech:

https://t.co/F3dV6zZUOq

$GLUC Glucose Health, Inc. (OTC Pink: GLUC) selling in $CVS $WMT…"
2020-08-25 08:44:02,1298239712822472705,2020-08-25 12:44:02,21434709,StockPromoters,4534,"RT @EmergingGrowth1: The Best Value in Biotech:

https://t.co/F3dV6zZUOq

$GLUC Glucose Health, Inc. (OTC Pink: GLUC) selling in $CVS $WMT…"
2020-08-25 08:46:04,1298240226553466882,2020-08-25 12:46:04,1430796462,CheapStocksUs,7133,CNS Provides FDA Update on IND Filing $11 Price Target Initiated yesterday https://t.co/XFH1obtwUS #stocks $ABBV $BMY
2020-08-25 08:56:20,1298242808453697539,2020-08-25 12:56:20,69476342,just4girls1,458,RT @theflynews: Agios Pharmaceuticals drops after Bristol-Myers trial fails to meet endpoint $AGIO $BMY $RPRX https://t.co/RAaqrqkvhV
