,ID,Created,User_id,User_name,User_flr,Text
2020-08-17 17:47:31,1295477382212734976,2020-08-17 21:47:31,888125801903775744,WeekHerald,1063,"James M. Young Sells 42,707 Shares of Broadridge Financial Solutions, Inc. $BR Stock https://t.co/wua5ap2gNk"
2020-08-17 17:48:09,1295477541545873414,2020-08-17 21:48:09,61661638,AmericanBanking,7929,"Broadridge Financial Solutions, Inc. $BR CFO James M. Young Sells 42,707 Shares https://t.co/pKc0IS54t4 #stocks"
2020-08-17 17:56:17,1295479588743766016,2020-08-17 21:56:17,39546678,mediasentiment,6323,$BR  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1986
2020-08-18 01:34:11,1295594824452710401,2020-08-18 05:34:11,565538332,ZolmaxNews,1636,Head to Head Survey: Broadridge Financial Solutions $BR and China Customer Relations Centers $CCRC https://t.co/ItsGV1iw2c
2020-08-18 02:04:48,1295602528252461057,2020-08-18 06:04:48,2338882843,dailypoliticaln,1417,Financial Survey: China Customer Relations Centers $CCRC and Broadridge Financial Solutions $BR https://t.co/rdIzbownoH
2020-08-18 02:07:56,1295603316160958465,2020-08-18 06:07:56,1979190776,TickerReport,3406,Head to Head Survey: Broadridge Financial Solutions $BR and China Customer Relations Centers $CCRC https://t.co/1nKKW6x9B5
2020-08-18 04:12:30,1295634665869643776,2020-08-18 08:12:30,2338882843,dailypoliticaln,1417,"Broadridge Financial Solutions, Inc. $BR CFO James M. Young Sells 42,707 Shares of Stock https://t.co/fzlL9UgIkE"
2020-08-18 04:40:40,1295641752272019457,2020-08-18 08:40:40,1979190776,TickerReport,3406,"Insider Selling: Broadridge Financial Solutions, Inc. $BR CFO Sells 42,707 Shares of Stock https://t.co/G8xeJYgmBI"
2020-08-18 07:00:40,1295676987420348416,2020-08-18 11:00:40,1254035253104181256,stock_titan,1148,"$BR Current Wealth Technology Tools Not Meeting Financial Advisor Expectations, According to Broadridge Study
https://t.co/JEMorbuQIj"
2020-08-18 07:01:02,1295677078189285377,2020-08-18 11:01:02,2356524462,Allstocknews,3312,"$BR Current Wealth Technology Tools Not Meeting Financial Advisor Expectations, According to Broadridge Study
From our Stock News Alerts App"
2020-08-18 11:14:28,1295740855144321035,2020-08-18 15:14:28,832251404,EmergingGrowth1,1615,"$DATI Digital Asset Monetary Network (DATI) Finalizes Mail-In Ballot Specialist, Global Election Services.

https://t.co/28A2P5EjK6

$PYPL $SQ $GS $GDOT $MELI $INTU $JPM $GBTC $BTCS
$BABA $V $FISV $GPN $BR $JKHY $BL $QTWO $FNGR

#Fintech #Payments #Bitcoiin #Blockchain #HotStocks"
2020-08-18 11:14:59,1295740986849726470,2020-08-18 15:14:59,34955940,TheSUBWAY,14599,"RT @EmergingGrowth1: $DATI Digital Asset Monetary Network (DATI) Finalizes Mail-In Ballot Specialist, Global Election Services.

https://t.…"
2020-08-18 11:15:03,1295741001705889793,2020-08-18 15:15:03,21434709,StockPromoters,4534,"RT @EmergingGrowth1: $DATI Digital Asset Monetary Network (DATI) Finalizes Mail-In Ballot Specialist, Global Election Services.

https://t.…"
2020-08-18 11:25:08,1295743541746888705,2020-08-18 15:25:08,374729426,Tickeron,5954,"$BR's Aroon indicator reaches into Uptrend on August 17, 2020. View odds for this and other indicators: https://t.co/ntwfz0bz9y #BroadridgeFinancialSolutions #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/XNcTjueYMh"
2020-08-18 11:49:29,1295749667863502848,2020-08-18 15:49:29,1274871135448887296,OptionusP,9,"Dow Jones sluggardly started falling. Reported by news crews around the globe, 'Rebel Wilson shows off major weight loss.' The autobots do not negotiate with bear markets! $BR https://t.co/DMnaMOFBTO"
2020-08-18 14:49:16,1295794912969940997,2020-08-18 18:49:16,1262915121103491074,formwhisperscom,309,"#FWSells $BR AMSTERDAM ADAM D, Corporate Vice President of BROADRIDGE FINANCIAL SOLUTIONS, INC. sold 27062 shares on 2020-08-17. https://t.co/jZdfimTkZz"
2020-08-18 14:49:31,1295794975817564160,2020-08-18 18:49:31,1069693680066420736,FlashAlert_me,1087,"$BR [15s. delayed] filed SEC form 4: Insider AMSTERDAM ADAM D: 
Disposed 27,062 of Common Stock at average price $138.37 and Converted securities 21,305 of Common Stock at average price $75.28 on 2020-08-17, decreased holding by 26% to 16,000.4 shares  https://t.co/LVZ5ckhcc3"
2020-08-18 14:50:54,1295795324246777858,2020-08-18 18:50:54,2356524462,Allstocknews,3312,"$BR 4 (Statement of Changes in Beneficial Ownership) SEC Filing
From our Stock News Alerts App"
2020-08-18 14:54:01,1295796107977654273,2020-08-18 18:54:01,966698784519544832,insiderbuyings,966,$BR new insider selling: 27062 shares. https://t.co/P18vNq3hpZ
