,ID,Created,User_id,User_name,User_flr,Text
2020-08-21 17:17:01,1296919259604541440,2020-08-21 21:17:01,938804552203165697,sunshineavenue8,204,$COO short % to float is 0.51% https://t.co/UhwBlrzApd $TFX 1.51% $BSX 1.06% $JNJ 0.51%
2020-08-21 17:55:48,1296929019984777216,2020-08-21 21:55:48,258735947,DeltaNinety_01,66508,Watch for a move down lower on $BSX..
2020-08-21 18:47:30,1296942031516835841,2020-08-21 22:47:30,1232922422493368322,Hasti77023874,137,"Been sitting tight with most holdings. Added and cut a couple. Current holds
$BSX
$MZZ
$CAI
$TRT
$PDI
$GBZ
$CHZ

Watching
$TIN
$BDG
$BOE
$CTM"
2020-08-21 19:23:50,1296951171509149696,2020-08-21 23:23:50,1117657312829722625,FFailings,92,"@TrevorPike4 @stockswami It's like saying asx companies with Vietnam exposure like $bsx are at risk because of political tensions in Thailand.  

White man racism."
2020-08-21 20:12:37,1296963450237620225,2020-08-22 00:12:37,766297853048348672,SmallCapsASX,8576,"The weekly market wrap:
$BSX #nickel discovery Vietnam
$IVR #silver drilling Paris
#AD1 3D Energy agreement
$BMG #gold acquisitions
$RML gold drilling Alaska
$BOE #uranium cost saving PFS
$OSX $8.5m raised
the week ahead. #ASX #ausbiz
https://t.co/Bs0mwA03oh"
2020-08-21 20:12:49,1296963498975432705,2020-08-22 00:12:49,793766637878915072,stocks_online,554,"RT @SmallCapsASX: The weekly market wrap:
$BSX #nickel discovery Vietnam
$IVR #silver drilling Paris
#AD1 3D Energy agreement
$BMG #gold ac…"
2020-08-21 20:13:08,1296963581074747393,2020-08-22 00:13:08,851629049776545792,cap_raise,83,"RT @SmallCapsASX: The weekly market wrap:
$BSX #nickel discovery Vietnam
$IVR #silver drilling Paris
#AD1 3D Energy agreement
$BMG #gold ac…"
2020-08-21 21:36:38,1296984591912271875,2020-08-22 01:36:38,818481118483742720,MC_OptionTrades,4083,$BSX 18-Sep-20 ATM Implied Vol Increases +3.5%. Straddle Implies a Move of ±5.8% https://t.co/QMJG65wznn
2020-08-22 04:56:47,1297095362633752576,2020-08-22 08:56:47,3646985662,sbwcws,884,"National Society of Black Engineers to hold a virtual convention
$AA $ABB $ALL $AMGN $ASML $BSX $DHR $EADSY $EXC $FDX $FLEX $GM $HUBB $Z $WFC $V $UN $UL $TWTR $TEL $SWKS $SIEGY $OKTA $MU $MSI $LDOS"
2020-08-22 05:42:21,1297106827008708608,2020-08-22 09:42:21,2422703600,SwingTradeBot,8150,"$BSX technical alerts: Fell Below 200 DMA, Bollinger Band Squeeze, and Fell Below 20 DMA  https://t.co/tgforij4E9"
2020-08-22 07:16:19,1297130475413098496,2020-08-22 11:16:19,374729426,Tickeron,5954,"$BSX's 10-day Moving Average moved above its 50-day Moving Average on July 22, 2020. View odds for this and other indicators: https://t.co/AARZUFN8iQ #BostonScientific #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/57LmqQlZpZ"
2020-08-22 07:18:44,1297131082719080451,2020-08-22 11:18:44,20385337,tradersreport,3077,"RT @Tickeron: $BSX's 10-day Moving Average moved above its 50-day Moving Average on July 22, 2020. View odds for this and other indicators:…"
2020-08-22 07:29:49,1297133874485460992,2020-08-22 11:29:49,767576649239965696,Samso_Insights,902,The latest #samsoinsight coming out this Monday. #asx #gold $BSX $HCH #asxsmallcaps #asxinvestors #asxmineralresource https://t.co/j4hvYlyDhd
2020-08-22 07:30:05,1297133938578661377,2020-08-22 11:30:05,1225664774169489408,TInvestor2,35,RT @Samso_Insights: The latest #samsoinsight coming out this Monday. #asx #gold $BSX $HCH #asxsmallcaps #asxinvestors #asxmineralresource h…
2020-08-22 07:44:27,1297137555435950080,2020-08-22 11:44:27,1230417532252590080,ERROLFLYNN1969,128,RT @Samso_Insights: The latest #samsoinsight coming out this Monday. #asx #gold $BSX $HCH #asxsmallcaps #asxinvestors #asxmineralresource h…
2020-08-22 08:48:44,1297153732182867968,2020-08-22 12:48:44,1220169445781278721,EddieFaulkner33,211,@GrantMBeasley @GrantMBeasley have you looked at $BSX. Asx? I'm up 3x and it's still only 80 mil MC.
2020-08-22 09:24:10,1297162650468712448,2020-08-22 13:24:10,1136370591517290496,Gambiste1,6979,RT @EddieFaulkner33: @GrantMBeasley @GrantMBeasley have you looked at $BSX. Asx? I'm up 3x and it's still only 80 mil MC.
2020-08-22 09:57:01,1297170916032512000,2020-08-22 13:57:01,2436179070,ArtWooten7,18,Clean Ni? Musk wants it! (I'm liking $BSX better and better. ) https://t.co/YeYfQP3tAS
2020-08-22 11:37:26,1297196188618199040,2020-08-22 15:37:26,887925989946212352,alex_rovira7,1022,"@foulkeswagen @cleanteq Not all SE Asian projects rely on fossil fuels. Should try  @Blackstone_BSX $BSX Vietnamese Ta Khoa Ni project. Hydro power, processing facility already built. Green as they come 🌱 ⛏"
