,ID,Created,User_id,User_name,User_flr,Text
2020-08-25 15:55:04,1298348185270677505,2020-08-25 19:55:04,1241334383597871104,A1Alerts,59,Trade Alert: Keep an eye on meat Nasdaq: PLIN. Bullish rumors indicate that new ventures are going better than market anticipates. May see official news shortly. $GE $AMD $INO $PBR $F $T $OXY $VALE $WFC $ET $XOM $PFE $UBER $NOK $AAL $MRO $CSCO $SLB $ITUB $JPM $AAA $INTC $DIS $C https://t.co/uU0HrieRgn
2020-08-25 15:55:38,1298348327445114882,2020-08-25 19:55:38,1284181755008819201,LalaCali9,45,"🇹🇷TURKEY'S #CENTRALBANK (CBRT) IS BUYING TONS OF $GOLD RIGHT NOW🇹🇷

$gdx $gld $slv $nem $f $ge $aal $dis $dal $tsla $ccl $gpro $acb $plug $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo https://t.co/EQ9a6mGjHD"
2020-08-25 15:56:15,1298348485310382080,2020-08-25 19:56:15,1284181755008819201,LalaCali9,45,"BREAKING

""#RECORD TURKEY $GOLD OUTPUT IS #ALL HEADED FOR THE #CENTRALBANK""

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo https://t.co/uZ3SW7ktFd"
2020-08-25 15:57:38,1298348833965998081,2020-08-25 19:57:38,1284181755008819201,LalaCali9,45,"🇺🇸 USA $GOLD 🇺🇸

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo $ccl https://t.co/QByR6Zl7eY"
2020-08-25 15:57:43,1298348854073413632,2020-08-25 19:57:43,1271098833427034118,ShaneKingUK,132,"50k+ Views, #COVID19 mass produce #QuikLAB
@realDonaldTrump #MAGAts #MAGA2020 
$a $f $mst $intc $wmt $aapl $k $amzn $nvda $o $d $c $x $e $f $o $bac $r $xom $b $t $tgt $m $k $v $luv $goog $y $aal $new $axp $adbe $l $aa $cvx $pfe $dis $jnj $j $mro https://t.co/g4ALtf3BuX"
2020-08-25 16:14:59,1298353198978277377,2020-08-25 20:14:59,727519600787750913,MarketChmln,5078,$C most active call option: 28-Aug-20 53 Calls. See C Option Chain https://t.co/aBbVvXqM2Z
2020-08-25 16:38:31,1298359121075462145,2020-08-25 20:38:31,993282182,pharris667,11634,RT @UPBOptionMil: Some of todays most active stock options 8.25.20 $NIO $BABA $INTC $CRM $LB $FB $DKNG $C $MSFT $AMD https://t.co/MaYVvsZEOi
2020-08-25 16:45:31,1298360882347507712,2020-08-25 20:45:31,3646985662,sbwcws,884,"JPMorgan staff will 'cycle between office and remote work,'  CNBC reports
$MS $GS $WFC $USB $JPM $C $BAC"
2020-08-25 16:51:51,1298362475457449984,2020-08-25 20:51:51,25762392,aaaamhim,18070,"$GEVO the buzz is MASSIVE. 3.6 52WKH BREAK?📈

$LOW $TWTR $LLY $ABMD $RHT $MCD $TTWO $UTX $CL $DWDP $PEP $PYPL $CELG $COST $TE $MMM $ETE $SLB $ASML $PNC $CVS $BABA $MGM $LVS $CHK $ACB $HMNY $SQ $VALE $TE $PSSI $JD $BZUN $TSM $HD $FNMA $DRYS $AMD $CAT $EBAY $IBM $GDX $LVS $V $C $F https://t.co/5l3QGiCBYP"
2020-08-25 16:55:03,1298363280726122497,2020-08-25 20:55:03,14292717,petenajarian,163089,"RT @petenajarian: Today on The Take:

Will the S&amp;P and Nasdaq be adding to record highs, $XOM getting hit early, $HON $CRM looking higher,…"
2020-08-25 16:56:36,1298363674000687104,2020-08-25 20:56:36,438262278,MinteractApp,4401,"Tuesday's Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $BAC $GS $BXP $WFC $AIG $PNC $ICE $MS $NDAQ $DFS $JPM $TRV $HBAN $C $TROW $SPG $CME $PRU $KEY $AFL #stock #stocks #StockMarket #Investment #finance #investing https://t.co/5JE2nlrW3B https://t.co/5OeMiuRyc2"
2020-08-25 17:11:03,1298367307274575872,2020-08-25 21:11:03,2408038189,Randall7575,2174,"Citi's $900 Million Loan Error Is Still Perplexing - 
Internal Controls?  $C

https://t.co/eUNmTkotWN"
2020-08-25 17:20:23,1298369656311488512,2020-08-25 21:20:23,25762392,aaaamhim,18070,"$GEVO WATCH VIDEO! HUGE! $3 break Wednesday📈💸

$spy $vrus $vyst $siml $amzn $cbbt $goog $laho $tsla $qqq $erbb $cwnr $fb $sbux $spx $f $msft $jaco $ttcm $bynd $cur $carb $hbio $twtr $gsb $powi $mhk $manh $amrn $kblb $pctl $alpp $xrp $obln $aapl $c $Tsla $fb $s $f $t $acas $gnus https://t.co/Q8MPJ0YO8K"
2020-08-25 17:21:19,1298369891209289734,2020-08-25 21:21:19,945228684377681921,DayTradersArmy,171,"$BAC : Too big to fail ?

$C $JPM $WFC $BRK.B #banks #bank $SPY $DJIA $DJI $QQQ $FB $GOOGL $AMZN $MSFT $SQ $SHOP $DIS $NFLX $INTC $NVDA $AMD $CRM $ADBE $INTC $PYPL $TWTR $AAPL $TSLA $PFE $ETSY $ATIV $PENN $SBUX $KO $BA $UBER $CSCO #stocks #StockMarket 

https://t.co/8P1W7z0MXX"
2020-08-25 17:23:24,1298370417661554690,2020-08-25 21:23:24,1284181755008819201,LalaCali9,45,"BREAKING

""#RECORD TURKEY $GOLD OUTPUT IS ALL HEADED FOR THE #CENTRALBANK""

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo https://t.co/eaTyNUiLCy"
2020-08-25 17:23:54,1298370543327092736,2020-08-25 21:23:54,1284181755008819201,LalaCali9,45,"UBS:

""EXPECTS #CENTRALBANKS TO CONTINUE #BUYING $GOLD EVEN ONCE #COVID-19 IS OVER""

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo https://t.co/8w6PhrrwxF"
2020-08-25 17:24:25,1298370672876556292,2020-08-25 21:24:25,1284181755008819201,LalaCali9,45,"BANK OF AMERICA:

""#CENTRALBANKS WILL LIKELY CONTINUE TO #BUY $GOLD AND BE 'QUITE SUPPORTIVE' OF THE PRECIOUS METAL'S PRICE GOING FORWARD""

$eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo https://t.co/yn9praWF9d"
2020-08-25 17:30:00,1298372078219845632,2020-08-25 21:30:00,166597717,theflynews,23899,REPORT: JPMorgan staff will 'cycle between office and remote work' $MS $GS $WFC $USB $JPM $C $BAC https://t.co/01vBEKsgR9
2020-08-25 17:32:09,1298372618576371715,2020-08-25 21:32:09,1192856467461808128,BullishJason,536,"My server is only $10/month 

Message me to join!

Stop missing out and come make some money 🔥

$AAPL $MSFT $AMZN $FB $NFLX $GOOGL $AMD $ZM $BYND $BA $BABA $DAL $WMT $HD $TSLA $QQQ $SPY $BA $NVDA $GS $COST $MA $WORK $SHOP $BMY $XLF $XLK $DIA $PG $DKNG $TLRY $C https://t.co/UxoVm4wHw3"
2020-08-25 17:36:23,1298373684915101696,2020-08-25 21:36:23,77281384,abhi345,37,@LastMarginCall Try $C as surrogate for $jpm
2020-08-25 17:49:08,1298376892299476992,2020-08-25 21:49:08,1284181755008819201,LalaCali9,45,"Carter B Worth, CNBC

$GOLD or #BONDS

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $acb $plug $bac $cgc $twtr $crl $eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo https://t.co/IxmJBOFAFR"
2020-08-25 17:54:51,1298378332963246085,2020-08-25 21:54:51,1284181755008819201,LalaCali9,45,"Carter B Worth, CNBC

$GOLD or #BONDS

$eurusd $usdjpy $gbpusd $usdcad $usdmxn $usdnzd $usdaud $usdchf $fxe $fxy $fxf $gld $slv $nem $gdx $hal $jpm $gs $xlf $c $ubs $bac $db $bmo $gld $slv $gdx $c $bond $agg $lqd $bnd $hyg $jnk $mug $blv $bil $shyg $usig $splb $ubt $schr $tlt $td https://t.co/OUszbKDzrJ"
2020-08-25 18:40:37,1298389849804877824,2020-08-25 22:40:37,1226630138504318976,tBankingAnalyst,34,"In just two quarters, the banking industry suffered margin contraction of 47bps. Community banks fared better at only 11bps decline.

Source: FDIC

$JPM $BAC $C $WFC $USB $PNC #Banks #Recession #Investing #COVID19 https://t.co/0Qaq4IbpQe"
2020-08-25 18:49:44,1298392143938150400,2020-08-25 22:49:44,1226630138504318976,tBankingAnalyst,34,"US banks' 2Q20 revenue performance was not bad.

* NII was down 5% YoY
* Non-interest income was up 7% YoY
* Overall revenue was down only 1% YoY, thanks to non-II offsetting most of NII decline

Source: FDIC

$JPM $BAC $C $WFC $USB $PNC #Banks #Recession #Investing #COVID19 https://t.co/A9o53pUGhu"
