,ID,Created,User_id,User_name,User_flr,Text
2020-08-17 20:38:10,1295520327334854656,2020-08-18 00:38:10,925751546159169536,sleekoptions,4244,"$CF - Monthly performance of the algo based option alerts posted for CF 
https://t.co/o6yRCExcDn"
2020-08-17 20:42:12,1295521341504880640,2020-08-18 00:42:12,925751546159169536,sleekoptions,4244,"Peak profit for the last 6 expired option alerts for $CF 147.37 % | 31.58 % | -96.08 % | -83.47 % | 354.70 % | -97.73 % |   
https://t.co/fBtOOBiCf8 https://t.co/ZamMappPVL"
2020-08-17 20:42:21,1295521379299872771,2020-08-18 00:42:21,888125801903775744,WeekHerald,1063,"CF Industries Holdings, Inc. $CF Expected to Announce Quarterly Sales of $914.77 Million https://t.co/vpPm8RlJeZ"
2020-08-17 20:42:30,1295521418134855680,2020-08-18 00:42:30,888125801903775744,WeekHerald,1063,"CF Industries Holdings, Inc. $CF Expected to Post Earnings of $0.15 Per Share https://t.co/GVMhaJYZN3"
2020-08-17 20:54:21,1295524400205377537,2020-08-18 00:54:21,925751546159169536,sleekoptions,4244,"$CF [Aug-07 31.5 Calls] up +207.37%  Alerted at $0.95  on Jul 31 2020  3:34PM Peak after alert $2.92 on 2020-08-06  
Daily Progress: https://t.co/w6bLr8laOW"
2020-08-17 20:58:21,1295525408079781888,2020-08-18 00:58:21,925751546159169536,sleekoptions,4244,"$CF [Aug-07 32 Calls] up +133.65%  Alerted at $1.04  on Aug  4 2020  9:41AM Peak after alert $2.43 on 2020-08-06  
Daily Progress: https://t.co/jN9KxsuVDc"
2020-08-18 08:24:10,1295698000149385216,2020-08-18 12:24:10,901194327925325825,dispatchtribune,713,CF Industries $CF PT Raised to $36.00 at Morgan Stanley https://t.co/ByoxvAQETv
2020-08-18 08:24:40,1295698123474575361,2020-08-18 12:24:40,930803511918411776,ThisLincolnian,768,CF Industries $CF Price Target Raised to $36.00 https://t.co/Yg46oSIGmr
2020-08-18 08:39:44,1295701916723359749,2020-08-18 12:39:44,61661638,AmericanBanking,7929,CF Industries $CF Price Target Raised to $36.00 at Morgan Stanley https://t.co/u5jJAt29vz #stocks
2020-08-18 09:52:52,1295720319462846467,2020-08-18 13:52:52,852931863547084801,TranscriptDaily,714,Zacks Investment Research Upgrades CF Industries $CF to “Strong-Buy” https://t.co/ftIKQe9oe1
2020-08-18 09:53:27,1295720468247388161,2020-08-18 13:53:27,2920258887,dakotafinancial,1619,Zacks Investment Research Upgrades CF Industries $CF to “Strong-Buy” https://t.co/iJMbxztMA4
2020-08-18 09:53:37,1295720509083127810,2020-08-18 13:53:37,950445812282265610,bbnsnews,226,Zacks Investment Research Upgrades CF Industries $CF to “Strong-Buy”  https://t.co/pmDw2ZXR2r
2020-08-18 12:56:45,1295766595558453248,2020-08-18 16:56:45,374729426,Tickeron,5954,"$CF in Downtrend: its price may drop because broke its higher Bollinger Band on August 10, 2020. View odds for this and other indicators: https://t.co/YpLfFocpci #CFIndustriesHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/uXltVQA3j6"
2020-08-18 13:35:11,1295776268344991744,2020-08-18 17:35:11,72185690,15minofPham,2329,"Mid-day post-earnings (reported within the past two weeks) breakdown below 5-day price channel with today's trading range &lt; 20% (Min $5 &amp; Vol 750K, Option Min Vol 250 in any strike): $TEVA $CPRI $SKT $TRGP $LITE $DVN $IIVI $WDC $CF"
2020-08-18 13:40:58,1295777724657631233,2020-08-18 17:40:58,4584354895,MITickWatcher,5024,"Today Top Flow in basic #materials sector, Buy Flow &amp; Sell Flow $BLL $ECL $DD $NUE $IFF $FMC $AVY $APD $DOW $SEE $NEM $FCX $LYB $SHW $X $MOS $VMC $ATI $CF $OI #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/sMRRJ7yVIC"
2020-08-18 13:50:56,1295780233853800448,2020-08-18 17:50:56,438262278,MinteractApp,4401,"Today Top Flow in basic #materials sector, Buy Flow &amp; Sell Flow $BLL $ECL $DD $NUE $IFF $FMC $AVY $APD $DOW $SEE $NEM $FCX $LYB $SHW $X $MOS $VMC $ATI $CF $OI #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlrW3B https://t.co/XniAHBYlh4"
2020-08-18 14:10:09,1295785069844430849,2020-08-18 18:10:09,707079170644271104,TickwatcherMF,4005,"Today Top Flow in basic #materials sector, Buy Flow &amp; Sell Flow $BLL $ECL $DD $NUE $IFF $FMC $AVY $APD $DOW $SEE $NEM $FCX $LYB $SHW $X $MOS $VMC $ATI $CF $OI #stock #stocks #StockMarket #Investment #investing https://t.co/B7BWRcVOEf https://t.co/LxzQtQAVJW"
2020-08-18 14:45:52,1295794057126514690,2020-08-18 18:45:52,887052326472740866,stocknewstimes,2293,Investment Analysts’ Weekly Ratings Changes for CF Industries $CF  https://t.co/EIAbveuMyy
2020-08-18 14:48:08,1295794625953792000,2020-08-18 18:48:08,61661638,AmericanBanking,7929,Investment Analysts’ Weekly Ratings Changes for CF Industries $CF https://t.co/8rB4mKCFEY #stocks
2020-08-18 15:23:14,1295803461204881411,2020-08-18 19:23:14,612740435,JohnDoss1,667,@RostronE $CF I forgot about that one....It should move as well!
2020-08-18 15:33:30,1295806044568981510,2020-08-18 19:33:30,3060766426,TargetPrices,3381,"$CF 
Target Raised by Morgan Stanley Equal Weight USD 31 » USD 36
https://t.co/KbP4xmwKgm"
2020-08-18 15:48:03,1295809703910375424,2020-08-18 19:48:03,997924400862130177,Price_to_Value,1055,"Workers at Belaruskali, the world’s largest miner of potash and a pillar of the Belarus economy, are joining protests against President Lukashenko.

$IPI $CTVA $MOS $CF https://t.co/sDB1ts1kiW"
2020-08-18 15:59:57,1295812702586245120,2020-08-18 19:59:57,1293868679097135107,GartheMichael,5,"RT @Price_to_Value: Workers at Belaruskali, the world’s largest miner of potash and a pillar of the Belarus economy, are joining protests a…"
2020-08-18 17:11:33,1295830720506724354,2020-08-18 21:11:33,472650465,otcdynamics,4497,$CF Canaccord Genuity Group Inc. Discloses Normal Course Issuer Bid https://t.co/lPnF2ZiYtJ
2020-08-18 19:18:01,1295862547242012678,2020-08-18 23:18:01,925001257663811584,shortvolumes,3145,Short sale vol (not short interest) for $MOS on 2020-08-17 is 45%. https://t.co/RxYNc1DIDm $CF 36% $BG 44% $IPI 38%
2020-08-18 19:58:30,1295872732924583937,2020-08-18 23:58:30,1167429442060185600,PurnhaInvest,250,"$MOS Mosaic Company looks good here. Agri commodity prices are improving. Potash and Phosphate prices are improving. Operating costs have been cut to the bone and shift to K3 accelerating fast.

$IPI $CF $NTR $AGCO $CNH
Our detailed note
https://t.co/ELby5hjqUc"
