,ID,Created,User_id,User_name,User_flr,Text
2020-08-20 02:49:32,1296338560207990784,2020-08-20 06:49:32,849417718642159616,TheMarketsDaily,1597,Reviewing Cabot Oil &amp; Gas $COG &amp; Montage Resources $MR https://t.co/BXu0RePtCn
2020-08-20 02:59:40,1296341113528152065,2020-08-20 06:59:40,1054178825049784320,StockWatchHQ,4057,"RT @StockWatchHQ: Cabot Oil &amp; Gas Corp $COG To Announce New Revenue Sharing Agreement With Fortune 500 Company, Announcement Pending
https:…"
2020-08-20 03:10:20,1296343795525722113,2020-08-20 07:10:20,1212797563801235456,simonstradeinc,400,"Today’s #watchlist for #NYSE, #NASDAQ between $20 and $30: $ALLY $APPS $CELH $CFG $CNP $COG $CTVA $DADA $DAL $DRIO $FOXA $GRPN $GRWG $HALO $HUN $IOVA $KBR $KLIC $LB $LL $MCRB $NTLA $RPAY $RVLV $SLQT $SNAP $SQQQ $SYF $VIAC $VICI $VSLR $WRK $WY"
2020-08-20 08:34:12,1296425300948070400,2020-08-20 12:34:12,2383638648,EnixBlockchain,2135,"Agnes projected $COG would out-perform the #SPX500, it outperformed the #SPX500 by 1.87%, Did you outperform the #SPX500 with it? Join Agnes today https://t.co/X1uPpOGvhz $INV/$ENIX"
2020-08-20 10:23:22,1296452772141895683,2020-08-20 14:23:22,1185568509314490368,ViscosityRedux,3290,"Nat gas E&amp;Ps vs 24 month nat gas strip.  $COG, $EQT, $RRC, $SWN https://t.co/vDtV5rgyG2"
2020-08-20 10:40:33,1296457095173345287,2020-08-20 14:40:33,54345566,crudegusher,4487,"RT @ViscosityRedux: Nat gas E&amp;Ps vs 24 month nat gas strip.  $COG, $EQT, $RRC, $SWN https://t.co/vDtV5rgyG2"
2020-08-20 11:29:07,1296469319350722560,2020-08-20 15:29:07,2399828262,TigerTrader41,331,Adding to $COG long.
2020-08-20 13:08:09,1296494241816944640,2020-08-20 17:08:09,472650465,otcdynamics,4497,"$COG DEADLINE ALERT for UCO, VEL, EADSF/EADSY, COG: Law Offices of Howard G. Smith Reminds Investors of Class Actions on Behalf of Shareholders https://t.co/dHXEv4JjWA"
2020-08-20 13:37:26,1296501609258782720,2020-08-20 17:37:26,1222163821441122304,HealthcareBeat,1128,"The Gross Law Firm Announces Class Actions on Behalf of Shareholders of NSP, BKD and COG $NSP $BKD $COG https://t.co/ykCz4JIK8k"
2020-08-20 14:23:37,1296513232849514497,2020-08-20 18:23:37,2422703600,SwingTradeBot,8150,20 DMA Support today: $NGE $COG $EBTC ... https://t.co/deOpbNqdR6
2020-08-20 14:39:51,1296517318348902400,2020-08-20 18:39:51,374729426,Tickeron,5954,$COG in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators: https://t.co/j9lJfcEXpQ #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/EaIy7HwbTA
2020-08-20 14:41:18,1296517683626868738,2020-08-20 18:41:18,472650465,otcdynamics,4497,"$COG INVESTOR ALERT: Kirby McInerney LLP Reminds Investors That a Class Action Lawsuit Has Been Filed Against Cabot Oil &amp; Gas Corporation and Encourages Investors to Contact the Firm Before October 13, 202 https://t.co/c6kzp0Mdv5"
2020-08-20 16:20:02,1296542530285125632,2020-08-20 20:20:02,1114262452835897344,BrookPapau,40,"RT @ViscosityRedux: Nat gas E&amp;Ps vs 24 month nat gas strip.  $COG, $EQT, $RRC, $SWN https://t.co/vDtV5rgyG2"
2020-08-20 17:30:51,1296560352365359106,2020-08-20 21:30:51,1204967326543699968,stocksoftheday1,93,$COG Cabot Oil &amp; Gas Corp is falling fast! It's down -3.63% today!
2020-08-20 17:45:15,1296563977359695872,2020-08-20 21:45:15,888125801903775744,WeekHerald,1063,Cabot Oil &amp; Gas Co. $COG Receives Consensus Rating of “Hold” from Analysts https://t.co/hPcPQcqa3X
2020-08-20 17:47:09,1296564453031518208,2020-08-20 21:47:09,2422703600,SwingTradeBot,8150,Scan results - Cup with Handle today: $CRSP $KEYS $HYAC $NAD $CPB $COG $JNJ $BAX $MRK $ARNA $DBX $DLTR $ABM $FRC $VZ $FATE $LASR ... https://t.co/3I2tx2pTV1
2020-08-20 17:48:07,1296564699178381312,2020-08-20 21:48:07,2356524462,Allstocknews,3312,"$COG Stock Quote Notification for Cabot Oil &amp; Gas Corporation
From our Stock News Alerts App"
