,ID,Created,User_id,User_name,User_flr,Text
2020-08-22 14:07:13,1297233880739700737,2020-08-22 18:07:13,887052326472740866,stocknewstimes,2293,ConocoPhillips $COP Expected to Announce Quarterly Sales of $4.32 Billion  https://t.co/Egr127bzPl
2020-08-22 21:12:26,1297340889229008896,2020-08-23 01:12:26,586116334,askwarrenbuffet,31480,"RT @StockWatchHQ: Tesla $TSLA To Reveal Name of Nickel Company To Supply Nickel For Batteries As Early As Wednesday
https://t.co/BnESoqsmxY…"
2020-08-23 05:33:08,1297466894715441152,2020-08-23 09:33:08,565538332,ZolmaxNews,1636,ConocoPhillips $COP PT Raised to $47.00 at Morgan Stanley https://t.co/vJapjJvY2F
2020-08-23 05:34:10,1297467157941497857,2020-08-23 09:34:10,930803511918411776,ThisLincolnian,768,ConocoPhillips $COP PT Raised to $47.00 at Morgan Stanley https://t.co/5hN3v9pVKP
2020-08-23 05:34:47,1297467312740749312,2020-08-23 09:34:47,68559732,ConsumerFeed,5226,Morgan Stanley Boosts ConocoPhillips $COP Price Target to $47.00 https://t.co/HTzIaES2o9
2020-08-23 05:37:16,1297467937704628226,2020-08-23 09:37:16,2338882843,dailypoliticaln,1417,ConocoPhillips $COP PT Raised to $47.00 at Morgan Stanley https://t.co/PiHhW9Aba3
2020-08-23 07:34:59,1297497559800279040,2020-08-23 11:34:59,374729426,Tickeron,5954,"$COP enters a Downtrend because Momentum Indicator dropped below the 0 level on August 21, 2020. View odds for this and other indicators: https://t.co/UDzMYMIzs0 #ConocoPhillips #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/UfLItEgoQv"
2020-08-23 11:30:02,1297556713529319428,2020-08-23 15:30:02,61661638,AmericanBanking,7929,ConocoPhillips $COP Receives Consensus Recommendation of “Buy” from Analysts https://t.co/sMt6Mh5JYb #stocks
2020-08-23 11:40:59,1297559466762629121,2020-08-23 15:40:59,1054178825049784320,StockWatchHQ,4057,"RT @StockWatchHQ: Tesla $TSLA To Reveal Name of Nickel Company To Supply Nickel For Batteries As Early As Wednesday
https://t.co/BnESoqsmxY…"
2020-08-23 12:02:27,1297564872478199810,2020-08-23 16:02:27,901194327925325825,dispatchtribune,713,ConocoPhillips $COP Receives Consensus Recommendation of “Buy” from Analysts https://t.co/HMM9pzu8tw
2020-08-23 12:02:37,1297564911028051969,2020-08-23 16:02:37,2298709746,WatchlistN,2740,ConocoPhillips $COP Receives Consensus Recommendation of “Buy” from Analysts https://t.co/pFvB1LnEL9
2020-08-23 12:02:58,1297565000077398021,2020-08-23 16:02:58,849417718642159616,TheMarketsDaily,1597,ConocoPhillips $COP Receives Consensus Recommendation of “Buy” from Analysts https://t.co/K5WbGS2zOt
2020-08-23 12:34:02,1297572819027591168,2020-08-23 16:34:02,938804552203165697,sunshineavenue8,204,$DVN short % to float is 1.86% https://t.co/yJGWdVBkjV $QEP 5.16% $MRO 2.04% $COP 0.81% $EOG 1.86%
2020-08-23 14:09:03,1297596730431754242,2020-08-23 18:09:03,1262088734859841536,ChartsWithBret,921,"$RTX $GD $ET $DFS $ABBV $CVX $COP $GILD $SO $ED $DUK are all interesting plays as well

If you have any questions please ask!

Thank you for taking the time to read me and @dividendsNdrip 's thread!

As always this is entirely me and @dividendsNdrip's opinion please do your DD"
2020-08-23 14:18:02,1297598989605449729,2020-08-23 18:18:02,925001257663811584,shortvolumes,3145,Short sale volume (not short interest) for $COP on 2020-08-21 is 40%. https://t.co/Bp46a6Mkkh $TOT 40% $DVN 60% $XOM 49%
2020-08-23 14:57:46,1297608990315036672,2020-08-23 18:57:46,1054178825049784320,StockWatchHQ,4057,"Titan Medical $TMDI To Reveal New Significant Investment In Company From Major Wall Street Investment Firm, Announcement Pending
https://t.co/BnESoqsmxY

$DCAC $VMGI $GLW $CCTL $WPX $ITUB $FOXA $DRNA $GPS $COP $BK $PF $UBQU"
2020-08-23 15:33:41,1297618030474727426,2020-08-23 19:33:41,56678999,marketcycles,1442,Conocophillips $COP Trading Report https://t.co/HiRxHda9tx Click for Buy/Sell
2020-08-23 15:37:32,1297619000235417600,2020-08-23 19:37:32,56678999,marketcycles,1442,Directional Bias for Conocophillips $COP Trading Report https://t.co/nO3C6Q2ICd Click for Details https://t.co/0bcD1kjH4n
2020-08-23 19:38:21,1297679603293544448,2020-08-23 23:38:21,751519508188188672,soloalam1,91,"RT @eWhispers: #earnings before the open tomorrow 

https://t.co/lObOE0dgsr 

$UPS $MA $AZN $PG $KHC $BUD $CLF $LLY $NEM $CMCSA $GRUB $CI $…"
2020-08-23 20:05:06,1297686332437864450,2020-08-24 00:05:06,1135123992837263360,EnergyMatters3,2974,"@ChevExec @GSRevelator @EnergyCynic And if those two merged, $MRO would be wise to make a call and offer itself for all stock, little to no premium. Don’t see who else would be interested in their assets, outside maybe $COP, but seems like the $EOG / $DVN Del position make a better lemonade out of $MRO scatter mess"
2020-08-23 22:14:19,1297718852055265281,2020-08-24 02:14:19,586116334,askwarrenbuffet,31480,"RT @StockWatchHQ: Titan Medical $TMDI To Reveal New Significant Investment In Company From Major Wall Street Investment Firm, Announcement…"
2020-08-23 22:18:01,1297719782654042117,2020-08-24 02:18:01,925001257663811584,shortvolumes,3145,2020-08-21 Short sale volume (not short interest) for $DVN is 60%. https://t.co/d7OFae2Gbv $MRO 69% $EOG 50% $OXY 43% $COP 40%
2020-08-24 01:47:39,1297772538181935105,2020-08-24 05:47:39,738550990698336261,stockbard,231,"$HI!
$MR $COP
$I $EAT $MS $OAK $OUT $ADS"
2020-08-24 02:06:56,1297777391343935488,2020-08-24 06:06:56,68559732,ConsumerFeed,5226,ConocoPhillips $COP Short Interest Up 8.7% in July https://t.co/U9m1qgpljI
2020-08-24 02:07:04,1297777424118231040,2020-08-24 06:07:04,1979190776,TickerReport,3406,ConocoPhillips $COP Short Interest Up 8.7% in July https://t.co/X5lqI5ZbZx
2020-08-24 02:08:01,1297777666188345344,2020-08-24 06:08:01,565538332,ZolmaxNews,1636,ConocoPhillips $COP Short Interest Up 8.7% in July https://t.co/XW4SKkWLpW
2020-08-24 02:09:09,1297777949815472130,2020-08-24 06:09:09,61661638,AmericanBanking,7929,ConocoPhillips $COP Short Interest Up 8.7% in July https://t.co/LoaWaWRM3i #stocks
2020-08-24 02:11:49,1297778621403344898,2020-08-24 06:11:49,2338882843,dailypoliticaln,1417,ConocoPhillips $COP Short Interest Up 8.7% in July https://t.co/guxEZxveFs
2020-08-24 04:45:15,1297817234396647425,2020-08-24 08:45:15,852931863547084801,TranscriptDaily,714,ConocoPhillips $COP PT Raised to $47.00 https://t.co/t3ZMvJsXfh
2020-08-24 04:47:54,1297817899218931712,2020-08-24 08:47:54,1979190776,TickerReport,3406,Morgan Stanley Boosts ConocoPhillips $COP Price Target to $47.00 https://t.co/ZOSwVkW2Cm
2020-08-24 08:44:12,1297877366170095616,2020-08-24 12:44:12,832251404,EmergingGrowth1,1615,"$TCFF Trillion Energy Inc’s (TCFF) SASB Gas field proximate to Turkey’s Recent Historic Massive Gas Field Discovery in Black Sea, Turkey

https://t.co/iOXk3CPT8M

$HAL $SLB $NOV $OIL $RDS $TOT $BP $CVX $COP $XOM $RIG $DO

#Oil #OilPrice #OilandGas #OilStocks #BlackSea #Turkey"
2020-08-24 08:45:42,1297877746002034690,2020-08-24 12:45:42,34955940,TheSUBWAY,14599,RT @EmergingGrowth1: $TCFF Trillion Energy Inc’s (TCFF) SASB Gas field proximate to Turkey’s Recent Historic Massive Gas Field Discovery in…
2020-08-24 08:45:46,1297877760149520386,2020-08-24 12:45:46,21434709,StockPromoters,4534,RT @EmergingGrowth1: $TCFF Trillion Energy Inc’s (TCFF) SASB Gas field proximate to Turkey’s Recent Historic Massive Gas Field Discovery in…
2020-08-24 09:14:14,1297884924490522625,2020-08-24 13:14:14,716737614771044352,optioncharts,2003,$COP Delta expiration 08/28/2020 #maxpain #options https://t.co/3ctmSrGH82 https://t.co/qm5XT5fKca
2020-08-24 10:08:28,1297898573057667072,2020-08-24 14:08:28,374729426,Tickeron,5954,"$COP enters a Downtrend because Momentum Indicator dropped below the 0 level on August 21, 2020. View odds for this and other indicators: https://t.co/zD6lEfP3yJ #ConocoPhillips #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/wX7bHg9O3j"
