,ID,Created,User_id,User_name,User_flr,Text
2020-08-23 11:25:16,1297555515443093504,2020-08-23 15:25:16,766387190981074944,investdojo,169,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 11:41:19,1297559552028626944,2020-08-23 15:41:19,1054178825049784320,StockWatchHQ,4057,RT @StockWatchHQ: Vystar Corp. $VYST Executives To Vote This Week At Company Retreat On Terms Of Secret Buyout Offer From Undisclosed Major…
2020-08-23 11:41:40,1297559638682943488,2020-08-23 15:41:40,374729426,Tickeron,5954,$COTY's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram just turned negative. View odds for this and other indicators: https://t.co/aoW8ZDorQ6 #CotyIncOrdinaryShares #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/StQT3hVnRy
2020-08-23 12:27:56,1297571284717654016,2020-08-23 16:27:56,1271747809209978880,OurTradingEdge_,1276,"$COTY The anatomy of a weak trend. 
#weeklyChart #PupCharts #EarningsChallenge https://t.co/ASHDUXkNiu"
2020-08-23 12:35:29,1297573183281860611,2020-08-23 16:35:29,865938177567141889,CorinFJackson,89,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 12:55:38,1297578255424290819,2020-08-23 16:55:38,1661029645,magicmiketrader,11397,"Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK $WSM
*Thurs: $DG $DLTR $BURL $ANF $ULTA $COTY $GAP $DELL $HPQ $OKTA $VEEV $MRVL $WDAY $VMW
*Fri: $BIG $HIBB https://t.co/LJLiry4WpB"
2020-08-23 13:04:10,1297580401494548480,2020-08-23 17:04:10,151719069,clptx,147,"RT @magicmiketrader: Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK…"
2020-08-23 13:19:57,1297584375652126720,2020-08-23 17:19:57,2441845194,KM_trades,1780,"RT @magicmiketrader: Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK…"
2020-08-23 13:32:51,1297587621254836224,2020-08-23 17:32:51,1284329562214735873,ThrashCapital,32,"Our Watchlist for the upcoming week! $SPY $QQQ $DIA $BBY $HPQ $COTY $SJM $ULTA $DG $DLTR $WDAY $CRM $ADSK . Tag your thoughts, #bullish or #bearish. https://t.co/ZFKLCJBRBZ"
2020-08-23 14:19:46,1297599425905336320,2020-08-23 18:19:46,1661029645,magicmiketrader,11397,$COTY ER 8/27 PM @TrendSpider https://t.co/2xoGynCXtz
2020-08-23 14:26:45,1297601185655001098,2020-08-23 18:26:45,524768352,autumnsdad1,2248,"RT @magicmiketrader: Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK…"
2020-08-23 15:22:00,1297615088405356552,2020-08-23 19:22:00,1356844502,luv_that_jazz_,383,"RT @magicmiketrader: Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK…"
2020-08-23 15:24:26,1297615700547141632,2020-08-23 19:24:26,1094374780419985408,ktwmr503,5,"RT @magicmiketrader: Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK…"
2020-08-23 15:45:37,1297621031494926336,2020-08-23 19:45:37,1054178825049784320,StockWatchHQ,4057,"Hybrid Energy Holdings $HYBE To Vote This Week At Company Retreat On Terms Of Secret Buyout Offer From Undisclosed Major US Corporation
https://t.co/BnESoqsmxY

 $DIRV $ROKU $SID $DPW $COTY $HD $AIG $FITB $BBD $PBCT $GRNH $SO"
2020-08-23 15:58:33,1297624286681866243,2020-08-23 19:58:33,253492573,joscampov,400,"RT @StockTweets6: Most anticipated earnings releases this week ahead: $Spy 

Mon: $PANW
Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
Wed: $B…"
2020-08-23 16:35:57,1297633700037955585,2020-08-23 20:35:57,1295398419339640836,optionsbbq,26,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 16:49:37,1297637136808718337,2020-08-23 20:49:37,2883090765,DYodesz,11,@MrKennethPowers $GEVO $LMFA $COTY $BOXL $IBIO
2020-08-23 17:13:17,1297643093643145216,2020-08-23 21:13:17,874336042358321154,rodri_gomezs,110,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 18:26:53,1297661617610592258,2020-08-23 22:26:53,1044333774211813377,BbBaker49,162,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 18:33:35,1297663301380452352,2020-08-23 22:33:35,1257465728795643904,MeGustaInvertir,62,"Reportes de earnings de la semana $BBY $PANW $COTY $CRM $ESTC

#acciones #bolsa #dinero #trading #stock #stocks $SPY $QQQ $TSLA $AAPL $MSFT $FSLY $LVGO $AAL https://t.co/Yn4VFIvTdX"
2020-08-23 18:42:28,1297665539901239296,2020-08-23 22:42:28,37469211,PipsToDollars,11147,"M: $PANW
T: $BBY - $CRM $TOL $URBN $JWN
W: $DKS $EXPR - $WSM $BOX $SPLK
TH: $COTY $DG $DLTR $BURL $ANF - $ULTA $VMW $OKTA $WDAY
F: $BIG $HIBB https://t.co/jfjLVIpP1o"
2020-08-23 18:44:50,1297666133982679043,2020-08-23 22:44:50,1257157650967678982,trading_withtim,244,"...cont'd

Thursday:
$PLAB $ANF $SOL $HHR $SAFM $CM $MOV $FLWS $TITN $COTY $DOOO $DXLG $KNOP $LANC $LOV $NFH $QH $SY $GRIN $TIG

Friday:
$BIG $HIBB $TOUR $WBAI

Be sure to do your own research and purchasing the best options for your to succeed in your trades!"
2020-08-23 18:45:50,1297666386450407424,2020-08-23 22:45:50,2166729990,beforethecrowd,931,"RT @PipsToDollars: M: $PANW
T: $BBY - $CRM $TOL $URBN $JWN
W: $DKS $EXPR - $WSM $BOX $SPLK
TH: $COTY $DG $DLTR $BURL $ANF - $ULTA $VMW $OKT…"
2020-08-23 18:46:28,1297666545158586375,2020-08-23 22:46:28,3490311803,LondonAIMCap,875,"RT @PipsToDollars: M: $PANW
T: $BBY - $CRM $TOL $URBN $JWN
W: $DKS $EXPR - $WSM $BOX $SPLK
TH: $COTY $DG $DLTR $BURL $ANF - $ULTA $VMW $OKT…"
2020-08-23 19:01:51,1297670417629544448,2020-08-23 23:01:51,1022006086872821762,communiststocks,88,"Coty - $COTY

💰 QUOTE
$COTY was DOWN ⬇ on Fri Aug 21
Closed at 3.79 USD for a -0.26% loss from previous close
📉 📉 📉

📊 ANALYSIS
Coty should be nationalized
☭ ☭ ☭"
2020-08-23 19:37:52,1297679480815792129,2020-08-23 23:37:52,189732632,sahibveer,37,"RT @PipsToDollars: M: $PANW
T: $BBY - $CRM $TOL $URBN $JWN
W: $DKS $EXPR - $WSM $BOX $SPLK
TH: $COTY $DG $DLTR $BURL $ANF - $ULTA $VMW $OKT…"
2020-08-23 20:47:59,1297697124381896704,2020-08-24 00:47:59,1199703274326118402,peachlafun,2,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 21:16:58,1297704419719548929,2020-08-24 01:16:58,48956913,JctTrader,234,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 21:36:41,1297709381975506944,2020-08-24 01:36:41,2613956724,SarasAcct,104,"RT @magicmiketrader: Earnings this week! 
*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $BOX $DKS $EXPR $PLAN $NTAP $SPLK…"
2020-08-23 22:17:01,1297719533772447744,2020-08-24 02:17:01,4185993493,the479dude,74,"RT @PipsToDollars: M: $PANW
T: $BBY - $CRM $TOL $URBN $JWN
W: $DKS $EXPR - $WSM $BOX $SPLK
TH: $COTY $DG $DLTR $BURL $ANF - $ULTA $VMW $OKT…"
2020-08-23 22:24:51,1297721502335266816,2020-08-24 02:24:51,570927672,marketst0day,6558,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-23 22:50:04,1297727847591624705,2020-08-24 02:50:04,586116334,askwarrenbuffet,31480,RT @StockWatchHQ: Hybrid Energy Holdings $HYBE To Vote This Week At Company Retreat On Terms Of Secret Buyout Offer From Undisclosed Major…
2020-08-23 23:00:04,1297730364866256896,2020-08-24 03:00:04,1124121697991499777,ChapisTheWorld,141,Tomorrow watching $THMO $ADMA $SONN $HAE $ISEE $BGMD $COTY $SPPI $AQST $VTVT $NK
2020-08-24 04:54:02,1297819443112927232,2020-08-24 08:54:02,925001257663811584,shortvolumes,3145,Short sale volume(not short interest) for $EL on 2020-08-21 is 49%. https://t.co/QGCNEnLUJP $REV 62% $PG 52% $COTY 59%
2020-08-24 06:52:35,1297849276941336576,2020-08-24 10:52:35,19534637,JesseCohenInv,10045,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-24 06:56:02,1297850145959288832,2020-08-24 10:56:02,544484168,darylmox,1047,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-24 07:27:19,1297858018474852352,2020-08-24 11:27:19,118228411,pickoftheday1,1280,"RT @GoingGreenPicks: $CBDD, GoingGreenPicks “PICK” of the week. Last trade .011. I smell NEWS!

$BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $…"
2020-08-24 07:28:08,1297858225367285760,2020-08-24 11:28:08,4170639051,KpPeeps,1571,"RT @GoingGreenPicks: $CBDD, GoingGreenPicks “PICK” of the week. Last trade .011. I smell NEWS!

$BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $…"
2020-08-24 07:39:03,1297860970187042816,2020-08-24 11:39:03,3091473064,budfoxfun,848,"RT @GoingGreenPicks: $CBDD, GoingGreenPicks “PICK” of the week. Last trade .011. I smell NEWS!

$BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $…"
2020-08-24 07:56:23,1297865334188388352,2020-08-24 11:56:23,428381536,Sock_Puppy,639,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)

*Mon: $PANW
*Tues: $CRM $BBY $JWN $PLCE $ADSK $HPE $INTU
*Wed: $…"
2020-08-24 08:11:30,1297869137407094784,2020-08-24 12:11:30,394194358,thestockmench,7434,$COTY earnings before the bell on Thursday!
2020-08-24 08:26:10,1297872829799698432,2020-08-24 12:26:10,242980801,JediJazz22,3200,"RT @GoingGreenPicks: $CBDD, GoingGreenPicks “PICK” of the week. Last trade .011. I smell NEWS!

$BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $…"
2020-08-24 08:34:54,1297875028873302021,2020-08-24 12:34:54,2290800195,84mongoose,156,"RT @GoingGreenPicks: $CBDD, GoingGreenPicks “PICK” of the week. Last trade .011. I smell NEWS!

$BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $…"
2020-08-24 08:54:17,1297879906446016512,2020-08-24 12:54:17,773275476748099585,stockhoot,2621,"#Upcoming #Earnings calls for the week of 8/24/2020 

$CRM $MDT $INTU $ADSK $DG $WDAY $BBY $HRL $HPQ $DLTR $SJM $HPE $ULTA $NTAP $GPS $COTY $JWN 

Get more information on Earnings  https://t.co/GOOrt1vJOO"
2020-08-24 09:15:00,1297885117990363137,2020-08-24 13:15:00,1290717769357496321,GenZ_Investor,74,"Big week of earnings this week! Looks like a lot of retail and software/cloud companies.

Are you guys trying to play any?

$BBY $DG $CRM $DLTR $INTU $DKS $SJM $OKTA $MRVL $HRL $WDAY $BIG $COTY $ULTA $BOX $SPLK $TOL $VMW $BMO $TD $HPE $DELL $BURL $HPQ https://t.co/k78kDlNrHn"
2020-08-24 09:16:28,1297885486816600066,2020-08-24 13:16:28,1267389564160704512,BrummieInvestor,664,"RT @GenZ_Investor: Big week of earnings this week! Looks like a lot of retail and software/cloud companies.

Are you guys trying to play an…"
