,ID,Created,User_id,User_name,User_flr,Text
2020-08-17 14:03:58,1295421126496210944,2020-08-17 18:03:58,2422703600,SwingTradeBot,8150,50 DMA Support today: $CTVA $ALUS $AKR ... https://t.co/aW7zteKP9U
2020-08-17 16:15:37,1295454253818019842,2020-08-17 20:15:37,1068316934482116609,ExchangeBums,70,"Solid start to the Exchange Bums Randomizer!

Randomizer: +0.06%
$SPY: +0.03%

This week the randomizer contains: $CTVA, $VZ and $NRG."
2020-08-17 16:18:30,1295454982196559880,2020-08-17 20:18:30,870137343138836482,dollabuzz,582,"RT @ExchangeBums: Solid start to the Exchange Bums Randomizer!

Randomizer: +0.06%
$SPY: +0.03%

This week the randomizer contains: $CTVA,…"
2020-08-17 16:18:40,1295455021090451462,2020-08-17 20:18:40,1251276692980719618,ReviewBumz,3,"RT @ExchangeBums: Solid start to the Exchange Bums Randomizer!

Randomizer: +0.06%
$SPY: +0.03%

This week the randomizer contains: $CTVA,…"
2020-08-17 23:17:32,1295560433802391553,2020-08-18 03:17:32,174248641,RookieMvp93,421,"RT @toojeff: A few stocks I'm looking to hop on this coming week.

$LEAF
$UTI
$ALTG
$CARR
$OTIS
$RTX
$CTVA 
$TT
$LHX"
2020-08-18 09:54:53,1295720828072599552,2020-08-18 13:54:53,1250830691824283648,StockMKTNewz,10020,"Here are the analyst reports on companies with $10B+ MKT Cap from today

Amazon $AMZN $BEI $CRL Corteva $CTVA $DGE Docusign $DOCU $ELAN General Motors $GM Humana $HUM $ICE $JD Carmax $KMX $LBRDA McDonald's $MCD Nike $NKE Nvidia $NVDA $OXY $SHL Tesla $TSLA Unilever $ULVR Zoom $ZM https://t.co/CEDVmp25pB"
2020-08-18 10:55:18,1295736032046878720,2020-08-18 14:55:18,374729426,Tickeron,5954,"$CTVA's Aroon indicator drops into Downtrend on July 20, 2020. View odds for this and other indicators: https://t.co/oDzQkrUiEG #Corteva #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/6jCdqCPZG9"
2020-08-18 12:08:28,1295754444479639553,2020-08-18 16:08:28,1068316934482116609,ExchangeBums,70,"Hot start to the week for the Stock Randomizer! Follow along here: https://t.co/IPZpYdUFGL

$CTVA, $VZ, $NRG, vs. $SPY"
2020-08-18 14:36:02,1295791580503314434,2020-08-18 18:36:02,925001257663811584,shortvolumes,3145,Short sale volume (not short interest) for $CTVA at 2020-08-17 is 54%. https://t.co/x38DvrNLDo $JD 38% $QQQ 55% $AVDL 65% $BABA 37%
2020-08-18 15:48:03,1295809703910375424,2020-08-18 19:48:03,997924400862130177,Price_to_Value,1055,"Workers at Belaruskali, the world’s largest miner of potash and a pillar of the Belarus economy, are joining protests against President Lukashenko.

$IPI $CTVA $MOS $CF https://t.co/sDB1ts1kiW"
2020-08-18 15:54:49,1295811408068857862,2020-08-18 19:54:49,329757837,GaryHaubold,721,"@RadicalAdem I'm intrigued with the whole ag complex, including fertilizer and seeds. $CTVA (partly the old Pioneer Hybred) is public now . . . 

Note: Not a recommendation; everyone needs to do their own work (as you clearly do!)"
2020-08-18 15:59:57,1295812702586245120,2020-08-18 19:59:57,1293868679097135107,GartheMichael,5,"RT @Price_to_Value: Workers at Belaruskali, the world’s largest miner of potash and a pillar of the Belarus economy, are joining protests a…"
2020-08-18 16:39:58,1295822771188953088,2020-08-18 20:39:58,845529688747393024,42Stocks,1089,"CTVA up 2.3% = $479.8 million gain. At $20.9 billion marketCap, $CTVA represents 94.1% of the $22.2 billion #farming #seeds #milling industry.

https://t.co/wBn2rUzNQQ

#stockTips #stockMarket #trading #investing #finance https://t.co/6hePFJIzoc"
2020-08-18 17:30:48,1295835564751687681,2020-08-18 21:30:48,1204967326543699968,stocksoftheday1,93,$CTVA Corteva Inc is shooting through the roof with a +2.27% increase today!
2020-08-18 17:40:38,1295838037000310784,2020-08-18 21:40:38,1068316934482116609,ExchangeBums,70,"Week 1 - Tuesday Close

A nice start continues, but still a lot of week left!

$CTVA (+1.16%)
$VZ (+0.76%)
$NRG (+3.33%)

$SPY (+0.25%)

The random portfolio is beating the S&amp;P 500 soar far! Still a lot of time left though."
2020-08-18 17:41:16,1295838196287311873,2020-08-18 21:41:16,1251276692980719618,ReviewBumz,3,"RT @ExchangeBums: Week 1 - Tuesday Close

A nice start continues, but still a lot of week left!

$CTVA (+1.16%)
$VZ (+0.76%)
$NRG (+3.33%)…"
