,ID,Created,User_id,User_name,User_flr,Text
2020-08-17 16:52:09,1295463450186002432,2020-08-17 20:52:09,39546678,mediasentiment,6323,$DRE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1921
2020-08-17 16:52:13,1295463466166300673,2020-08-17 20:52:13,39546678,mediasentiment,6323,$DRE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1922
2020-08-17 22:21:39,1295546370070155268,2020-08-18 02:21:39,1233930106474643458,RhoCapital,271,"Top 20 S&amp;P 500 gainers for Monday August 17, 2020

$LB $GM $NVDA $NEM $RMD $TSCO $LEN $MCHP $FBHS $NVR $PHM $PRGO $INCY $VLO $VRTX $DRE $JKHY $DLR $HFC $PWR https://t.co/dRqvNJNCv1"
2020-08-17 22:22:07,1295546488374755328,2020-08-18 02:22:07,426624267,ChartBotX,107,"RT @RhoCapital: Top 20 S&amp;P 500 gainers for Monday August 17, 2020

$LB $GM $NVDA $NEM $RMD $TSCO $LEN $MCHP $FBHS $NVR $PHM $PRGO $INCY $VL…"
2020-08-18 00:51:57,1295584196430139392,2020-08-18 04:51:57,885384031319216128,Flyingupbird,988,"RT @GreenBull_HC: $DRE $DRE.ax

2 recent #gold discoveries.

Follow-up drilling starting in the next week or so on the better of the two.…"
2020-08-18 02:14:28,1295604958859890688,2020-08-18 06:14:28,744867066906238977,TheArchitect_HC,2506,"RT @GreenBull_HC: $DRE $DRE.ax

2 recent #gold discoveries.

Follow-up drilling starting in the next week or so on the better of the two.…"
2020-08-18 02:14:57,1295605083766308865,2020-08-18 06:14:57,744867066906238977,TheArchitect_HC,2506,"RT @TheArchitect_HC: 💥💥EXTRA EXTRA 💥💥

***READ ALL ABOUT IT***

#ASX #Gold explorer $DRE 

Director Increases Holdings

$177,500 - 27,500,0…"
2020-08-18 05:39:11,1295656480046305280,2020-08-18 09:39:11,68559732,ConsumerFeed,5226,Duke Realty $DRE Upgraded by Zacks Investment Research to “Buy” https://t.co/O8MD5Ni7OJ
2020-08-18 08:31:57,1295699959694712832,2020-08-18 12:31:57,966006214818697218,EnterpriseLeade,716,Duke Realty Corp $DRE Receives $37.91 Consensus Target Price from Brokerages  https://t.co/hg8xO4r9d6
2020-08-18 08:32:32,1295700106184982528,2020-08-18 12:32:32,901194327925325825,dispatchtribune,713,Duke Realty Corp $DRE Receives $37.91 Consensus PT from Analysts https://t.co/3AjAUgxFeb
2020-08-18 08:33:13,1295700275626377216,2020-08-18 12:33:13,849417718642159616,TheMarketsDaily,1597,Duke Realty Corp $DRE Receives $37.91 Consensus Target Price from Brokerages https://t.co/imvI75ws79
2020-08-18 08:34:17,1295700546377129985,2020-08-18 12:34:17,930803511918411776,ThisLincolnian,768,Duke Realty Corp $DRE Receives $37.91 Consensus Target Price from Brokerages https://t.co/fveqQGnpOh
2020-08-18 11:41:29,1295747656908550145,2020-08-18 15:41:29,374729426,Tickeron,5954,$DRE in Downtrend: Stochastic indicator remains in oversold zone for 2 days. View odds for this and other indicators: https://t.co/05Lfon95Lo #DukeRealty #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/YfreKMXiOt
2020-08-18 13:31:53,1295775439504506889,2020-08-18 17:31:53,2422703600,SwingTradeBot,8150,Rose Above Previous Day's High today: $DSGX $LPTX $PTY $FBND $CASY $REVG $TWNK $TEAM $CTRA $VMO $SELB $ETW $JRO $LSI $WING $UGA $CUBE $BWG $CMPI $DRE ... https://t.co/TBYRpvrFqi
2020-08-18 14:49:42,1295795020717580298,2020-08-18 18:49:42,716737614771044352,optioncharts,2003,$DRE Max Pain is 45.00 for maturity 08/21/2020. #maxpain #options https://t.co/AvLPjxbuEq https://t.co/vjKdxw2vFn
2020-08-18 15:00:03,1295797626277892098,2020-08-18 19:00:03,938804552203165697,sunshineavenue8,204,$DRE short % to float is 0.97% https://t.co/i0OY6UxefT $HCP 6.15% $UHT 0.97%
2020-08-18 19:28:01,1295865061165195269,2020-08-18 23:28:01,61661638,AmericanBanking,7929,Weekly Investment Analysts’ Ratings Changes for Duke Realty $DRE https://t.co/ZAHNmZfrGK #stocks
2020-08-18 23:54:11,1295932043906277377,2020-08-19 03:54:11,591578814,Blsellhigh,2547,"RT @StockheadAU: Southern Gold, Kin Mining and Dreadnought announce drilling results, while fresh ASX listing Manuka gears up for a program…"
2020-08-19 03:51:11,1295991686926041088,2020-08-19 07:51:11,849417718642159616,TheMarketsDaily,1597,Duke Realty $DRE Rating Increased to Buy at Zacks Investment Research https://t.co/yIubeYYJaz
2020-08-19 03:56:12,1295992950573477889,2020-08-19 07:56:12,39546678,mediasentiment,6323,$DRE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 124
2020-08-19 10:49:16,1296096902153408512,2020-08-19 14:49:16,374729426,Tickeron,5954,"$DRE in Uptrend: price may ascend as a result of having broken its lower Bollinger Band on August 14, 2020. View odds for this and other indicators: https://t.co/jdwFeDahof #DukeRealty #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/hYXRwKaPAd"
2020-08-20 03:13:04,1296344481759780864,2020-08-20 07:13:04,3822183792,wax_capital,361,"$AD1 $NAE $DRE
I got all out today (will never take on those stocks again) so more nice money to walk over to $MGT $SBR $MTB
Plus a couple of other stocks I will try to get into tomorrow as a new holder
Just hope I can get back into $CRO as well tomorrow looking for 2.1c or 2.3c"
2020-08-20 03:57:33,1296355680018927616,2020-08-20 07:57:33,2298709746,WatchlistN,2740,Duke Realty $DRE Raised to Buy at Zacks Investment Research https://t.co/JqTOTGAlXt
2020-08-20 03:58:17,1296355862701912064,2020-08-20 07:58:17,887052326472740866,stocknewstimes,2293,Duke Realty $DRE Raised to Buy at Zacks Investment Research  https://t.co/79oZo8zExZ
2020-08-20 04:09:36,1296358711930368001,2020-08-20 08:09:36,39546678,mediasentiment,6323,$DRE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 80
2020-08-20 04:11:34,1296359207063695361,2020-08-20 08:11:34,39546678,mediasentiment,6323,$DRE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 103
2020-08-20 04:52:26,1296369489815035905,2020-08-20 08:52:26,818418100756365313,GreenBull_HC,4387,"$DRE $DRE.ax

Had $464k at 30 JUN

Then Directors exercised (early) $137.5k of options

Then raised another $1.536m

Now exercising more options early ($75k)

Directors own more shares in DRE than anyone, &amp; they cant get enough &amp; keep buying more &amp; more- what does that tell us 🍻 https://t.co/wTq2lsjUbK"
2020-08-20 05:06:24,1296373003131879425,2020-08-20 09:06:24,744867066906238977,TheArchitect_HC,2506,"🔥🔥Directors Buying🔥🔥

Nice to see two Directors exercising options early for #asx #Gold explorer $DRE 

Adding $75,000 taking total Director investment over $1,000,000*

#ausbiz #invest #wap #covid #australia #mining #shares #dow $fmg $rio $bhp $ncm $chn $deg $cba #finance https://t.co/jSQ6pXcjKh"
2020-08-20 05:16:01,1296375423438225409,2020-08-20 09:16:01,825265375436697600,MarcGH4,411,"RT @GreenBull_HC: $DRE $DRE.ax

Had $464k at 30 JUN

Then Directors exercised (early) $137.5k of options

Then raised another $1.536m

Now…"
