,ID,Created,User_id,User_name,User_flr,Text
2020-08-18 12:32:35,1295760516514816001,2020-08-18 16:32:35,852931863547084801,TranscriptDaily,714,Weekly Investment Analysts’ Ratings Updates for Davita $DVA https://t.co/IRjGsujPiy
2020-08-18 12:35:42,1295761300996468736,2020-08-18 16:35:42,950445812282265610,bbnsnews,226,Weekly Investment Analysts’ Ratings Updates for Davita $DVA  https://t.co/a9pmTSZrNG
2020-08-18 12:36:03,1295761385796902912,2020-08-18 16:36:03,61661638,AmericanBanking,7929,Weekly Investment Analysts’ Ratings Updates for Davita $DVA https://t.co/kyK6W1Apma #stocks
2020-08-18 12:39:15,1295762193745678336,2020-08-18 16:39:15,39546678,mediasentiment,6323,$DVA  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1051
2020-08-18 13:11:52,1295770398970314752,2020-08-18 17:11:52,1295765029493575681,Markminervini0i,5,RT @markminervini: Bought $DVA yesterday and added to it this morning... explosive!  https://t.co/i94vp4jbRW
2020-08-18 13:14:40,1295771103902736384,2020-08-18 17:14:40,1295765029493575681,Markminervini0i,5,"RT @markminervini: My best portfolio performers today include: $GBTC, $DDOG, $MSFT. My worst: $REGN, $TAL, $DVA. https://t.co/SewAOsNfie"
2020-08-18 13:46:08,1295779025265332225,2020-08-18 17:46:08,872519322077470721,TDANetwork,38214,#TheWatchList ⏩ @Paul_Schatz shares his market outlook and his latest batch of stock picks with @NPetallides: 📊 $THS $DVA $CNQ
2020-08-18 16:32:26,1295820874533294081,2020-08-18 20:32:26,2353958539,NPetallides,25573,RT @TDANetwork: #TheWatchList ⏩ @Paul_Schatz shares his market outlook and his latest batch of stock picks with @NPetallides: 📊 $THS $DVA $…
2020-08-18 17:41:46,1295838323957620736,2020-08-18 21:41:46,897610037685768192,MoolaCapitalPro,44,"Long watchlist: $XLNX

Sold $DVA $IPGP and $EVBG today"
2020-08-18 17:41:55,1295838360674750471,2020-08-18 21:41:55,2422703600,SwingTradeBot,8150,Scan results - MACD Bullish Centerline Cross today: $ADI $VST $WDAY $TPTX $BDX $DVA $SA $MYOV $DKNG $NVO $BILI $ESTC $AVB $FIZZ $PLAN $RCUS $GAN $CI $EGOV $NLTX ... https://t.co/8pzbew3Bli
2020-08-18 18:15:16,1295846754177425408,2020-08-18 22:15:16,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director BERG CHARLES: 
Granted 578 of Common Stock at price $0 on 2020-08-15, increased holding by 5% to 11,582 shares  https://t.co/Vqhad65AoF"
2020-08-18 18:15:37,1295846843776208896,2020-08-18 22:15:37,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director Arway Pamela M: 
Granted 578 of Common Stock at price $0 on 2020-08-15, increased holding by 3% to 19,817 shares  https://t.co/i6BaLJaaUV"
2020-08-18 18:15:40,1295846854840717314,2020-08-18 22:15:40,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director DIAZ PAUL J: 
Granted 578 of Common Stock at price $0 on 2020-08-15, increased holding by 9% to 6,871 shares  https://t.co/hVP9zx0wOS"
2020-08-18 18:16:07,1295846966522454016,2020-08-18 22:16:07,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director DESOER BARBARA J: 
Granted 578 of Common Stock at price $0 on 2020-08-15, holding 578 shares  https://t.co/i9x9vJHrs6"
2020-08-18 18:16:22,1295847032188542978,2020-08-18 22:16:22,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director Desroches Pascal: 
Granted 578 of Common Stock at price $0 on 2020-08-15, increased holding by 8% to 7,600 shares  https://t.co/g4QbSvuxRz"
2020-08-18 18:16:48,1295847138488987654,2020-08-18 22:16:48,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director NEHRA JOHN M: 
Granted 578 of Common Stock at price $0 on 2020-08-15, holding 578 shares  https://t.co/8lg2fcYmtC"
2020-08-18 18:17:01,1295847193191026688,2020-08-18 22:17:01,1069693680066420736,FlashAlert_me,1087,"$DVA [15s. delayed] filed SEC form 4: Director YALE PHYLLIS R: 
Granted 578 of Common Stock at price $0 on 2020-08-15, increased holding by 7% to 8,301 shares  https://t.co/KBQxl8RzdP"
2020-08-18 18:17:24,1295847289358032897,2020-08-18 22:17:24,2356524462,Allstocknews,3312,"$DVA New Form 4 for DaVita Inc.
From our Stock News Alerts App"
2020-08-18 18:18:31,1295847572226048000,2020-08-18 22:18:31,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Yale Phyllis R (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/z5uZHPPm8H"
2020-08-18 18:58:25,1295857611657674753,2020-08-18 22:58:25,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

PASCAL DESROCHES:

https://t.co/i4Gt9Vfy34"
2020-08-18 20:46:25,1295884790697271296,2020-08-19 00:46:25,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

PAUL J DIAZ:

https://t.co/SeSdzcT4NP"
2020-08-18 22:43:32,1295914263756910592,2020-08-19 02:43:32,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Nehra John M (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/v8o2cvonuz"
2020-08-18 22:48:32,1295915522559823872,2020-08-19 02:48:32,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Desroches Pascal (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/elsJnyBZBA"
2020-08-18 22:53:32,1295916780280586242,2020-08-19 02:53:32,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Desoer Barbara J (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/5c1uVnKtP2"
2020-08-18 22:58:32,1295918038710198272,2020-08-19 02:58:32,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Diaz Paul J (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/epnZEcIsJS"
2020-08-18 23:03:32,1295919297294983169,2020-08-19 03:03:32,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Arway Pamela M (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/U4LE4BkabM"
2020-08-18 23:08:32,1295920555569360897,2020-08-19 03:08:32,1222163821441122304,HealthcareBeat,1128,"578 shares acquired by Berg Charles (Director), reported in a new form 4 filed with the SEC  $DVA https://t.co/aK9Y1shYKg"
2020-08-18 23:21:18,1295923768691429376,2020-08-19 03:21:18,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

PAMELA M ARWAY:

https://t.co/jfGpwsgDZn"
2020-08-19 00:04:23,1295934614213742594,2020-08-19 04:04:23,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

CHARLES BERG:

https://t.co/4jLnsmNP43"
2020-08-19 01:52:25,1295961797988700160,2020-08-19 05:52:25,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

PHYLLIS R YALE:

https://t.co/UCFvhEmH3w"
2020-08-19 03:42:24,1295989477102489601,2020-08-19 07:42:24,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

JOHN M NEHRA:

https://t.co/3sthMXWEyj"
2020-08-19 03:49:05,1295991161384054789,2020-08-19 07:49:05,21927581,tradingarts,26,"Strong momentum watchlist

$WKHS $PTON $CRM $PDD $BLDP $BILI $FUTU $GIS $ADSK $EA $DVA $CLDX $OCUL"
2020-08-19 03:59:25,1295993759327498240,2020-08-19 07:59:25,2344420430,InsiderAlerts4U,4156,"$DVA:

New Insider Filing on DAVITA INC.'s

Director

BARBARA J DESOER:

https://t.co/KG43JlxZIx"
2020-08-19 06:01:04,1296024374781202432,2020-08-19 10:01:04,1889492676,1stOncology,1194,#DaVita Commences Self-Tender Offer To Purchase For Cash Shares Of Its Common Stock $DVA https://t.co/aRapiQLuaX
