,ID,Created,User_id,User_name,User_flr,Text
2020-08-19 18:06:40,1296206977740111872,2020-08-19 22:06:40,15296897,MarketCurrents,54394,$ED $PEG - ConEd faces Cuomo's wrath for storm response https://t.co/TX4gIfU3Ne
2020-08-19 19:16:46,1296224618777387008,2020-08-19 23:16:46,2172626998,pjl001,164,$ED $PEG - ConEd faces Cuomo's wrath for storm response https://t.co/TLvL8clvDx Great Dividend Stock BUY ED !
2020-08-19 20:35:00,1296244307033296898,2020-08-20 00:35:00,820649292654407682,Alotta_Hooey,365,@ChartsWithBret Added to $Duk and $ED today. Tried to by more $SO but order didn't fill. $SO is largest position of the three already. $GS agrees with your recommendations and picks. They say the continued low bond yields will force us to buy Utes.
2020-08-19 21:52:21,1296263772630204417,2020-08-20 01:52:21,951233174494851072,BillyGunz1984,146,RT @InvestorVenture: Few people know that there are two ways to invest in Hyliion &gt; buy $SHLL shares or buy shares in $DAN - the lead inves…
2020-08-20 08:56:26,1296430894916538372,2020-08-20 12:56:26,1023571547162726400,derivedg,1346,"Weak stocks  watch-list for trading on Aug 20, 2020 $QQQ $SPY $IWM #success #trading #options #stock #investing 
$CME $BA $ADP $CBOE $CVX $ED $PSX $VLO $SO $CXO https://t.co/d0nyaky0hl"
2020-08-20 12:07:25,1296478959346081792,2020-08-20 16:07:25,1271625849108914176,DividendsDad,629,"11. Utilities

We all have to pay for power and electricity to our homes everyday of the year

These companies provide those services 

$DUK - Duke Energy Corp. Div/Yield $3.86 (4.73%)
$EXC - Exelon Corp. Div/Yield $1.53 (4.13%)
$ED - Consolidated Edison Div/Yield $3.06 (4.17%)"
2020-08-20 12:19:28,1296481991324512258,2020-08-20 16:19:28,374729426,Tickeron,5954,"$ED in Downtrend: its price may drop because broke its higher Bollinger Band on July 22, 2020. View odds for this and other indicators: https://t.co/1Ud1cA89S3 #ConsolidatedEdison #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/lLjkg8hNnR"
2020-08-20 12:25:21,1296483470424846349,2020-08-20 16:25:21,39546678,mediasentiment,6323,$ED  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1400
2020-08-20 14:01:06,1296507565669408768,2020-08-20 18:01:06,438262278,MinteractApp,4401,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $FE $NEE $NI $AEE $CMS $PEG $SO $ED $PNW $NRG $SRE $D $EIX $AEP $EXC $PCG $DUK $DTE $WEC $ETR #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlrW3B https://t.co/Hfy4l0Ny0g"
2020-08-20 15:00:53,1296522612919607297,2020-08-20 19:00:53,707079170644271104,TickwatcherMF,4005,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $FE $NI $NEE $AEE $CMS $SO $PEG $ED $NRG $PNW $SRE $EIX $D $AEP $PCG $EXC $DTE $AES $ETR $WEC #stock #stocks #StockMarket #Investment #investing https://t.co/B7BWRcVOEf https://t.co/QMyrbTxHQu"
2020-08-20 17:36:55,1296561879343599616,2020-08-20 21:36:55,889957348793606144,OlympiaReport,622,"$3.46 Billion in Sales Expected for Consolidated Edison, Inc. $ED This Quarter https://t.co/cmwGPLSkCH"
2020-08-20 17:41:38,1296563067254431744,2020-08-20 21:41:38,1027827540960862208,stockbeep,2991,"Breakdown #stocks (sharp move below recent support)

$BEN $FHI $SLB $BMY $KKR $JHG $BK $IPG $ED $RIG 

Sort results by Time, Chg, %, Vol and more.
#daytrading #traders
https://t.co/FRhd0NSUke"
2020-08-20 18:06:45,1296569387277836288,2020-08-20 22:06:45,888125801903775744,WeekHerald,1063,"Brokerages Anticipate Consolidated Edison, Inc. $ED to Post $1.53 Earnings Per Share https://t.co/clgnU547s3"
2020-08-20 21:52:15,1296626134436712448,2020-08-21 01:52:15,2933649514,jenniferr678,187,"RT @DividendsDad: 11. Utilities

We all have to pay for power and electricity to our homes everyday of the year

These companies provide th…"
2020-08-20 22:03:37,1296628994599780356,2020-08-21 02:03:37,1136370591517290496,Gambiste1,6979,"RT @DividendsDad: 11. Utilities

We all have to pay for power and electricity to our homes everyday of the year

These companies provide th…"
2020-08-21 06:24:07,1296754950500954112,2020-08-21 10:24:07,369441018,UncleStock,1844,$UTY US PHLX Utility top: $WEC $ED $NEE $EXC. Selected by our stock screener: https://t.co/MNgvw33rL9 #stocks  #valueinvesting #valuation
2020-08-21 10:03:14,1296810095419035649,2020-08-21 14:03:14,2960822230,zaferyigit76,702,"$GLBS  The short will be very sorry, soon a big whale will come🐃🧨🚀 💯 $SPAQ $SHLL $HYLN $TSLA $NKLA  $NIO $IDEX $SOLO $AYRO $FUV $WKHS $POLA $KNDI $BLNK $FCEL $PLUG $BLDP $EVSI $AAPL $PCG $ED $EIX $SCE $HCCH $GRAF $FVAC $VTIQ $LCA $FMCI $NFIN $OPES $CCXX $LACQ $DKNG $INSU"
2020-08-21 10:03:49,1296810241535799296,2020-08-21 14:03:49,374729426,Tickeron,5954,"$ED in Downtrend: its price expected to drop as it breaks its higher Bollinger Band on July 22, 2020. View odds for this and other indicators: https://t.co/i29ecQuwDj #ConsolidatedEdison #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/nQ04XhIJX6"
2020-08-21 10:16:35,1296813455056556036,2020-08-21 14:16:35,1136370591517290496,Gambiste1,6979,"RT @zaferyigit76: $GLBS  The short will be very sorry, soon a big whale will come🐃🧨🚀 💯 $SPAQ $SHLL $HYLN $TSLA $NKLA  $NIO $IDEX $SOLO $AYR…"
2020-08-21 12:06:32,1296841121969184773,2020-08-21 16:06:32,30861758,rogersds,31,@DvdndDiplomats Buying a few shares each of $ED $PFG and $WPC. Non-dividend spec stock on the radar is $RPRX. It works a bit like a dividend player internally as it collects royalties from major pharma companies. Just listed 2 months ago.
2020-08-21 12:32:08,1296847564352954382,2020-08-21 16:32:08,716737614771044352,optioncharts,2003,$ED Delta expiration 08/21/2020 #maxpain #options https://t.co/7xXGm2E0xX https://t.co/6sNQHLvTzL
2020-08-21 14:41:10,1296880037522743298,2020-08-21 18:41:10,1262088734859841536,ChartsWithBret,921,"@GenZ_Investor I love $DUK haha

Such a great utility company

Love $SO and $ED as well"
2020-08-21 14:50:40,1296882426900250624,2020-08-21 18:50:40,1262088734859841536,ChartsWithBret,921,"@CourseWorx Great companies!

They are all safe dividend growers 

I highly recommend $DUK $SO and $ED to any dividend investor"
2020-08-21 14:52:34,1296882906242207746,2020-08-21 18:52:34,1290717769357496321,GenZ_Investor,74,"@ChartsWithBret I do like $SO as well. I’ve personally never looked at $ED. 

Any good?"
2020-08-21 14:59:08,1296884557141041152,2020-08-21 18:59:08,4584354895,MITickWatcher,5024,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $AEP $PCG $NI $SO $XEL $PEG $AEE $SRE $WEC $DTE $NEE $ED $DUK $CMS $FE $AES $ETR $NRG $PNW $EXC  #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/CThnIPqNWF"
2020-08-21 14:59:21,1296884615433527296,2020-08-21 18:59:21,4584354895,MITickWatcher,5024,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $AEP $PCG $NI $SO $XEL $PEG $AEE $SRE $WEC $DTE $NEE $ED $DUK $CMS $FE $AES $ETR $NRG $PNW $EXC  #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/QV9WvWfdGW"
2020-08-21 14:59:23,1296884624073744385,2020-08-21 18:59:23,4584354895,MITickWatcher,5024,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $AEP $PCG $NI $SO $XEL $PEG $AEE $SRE $WEC $DTE $NEE $ED $DUK $CMS $FE $AES $ETR $NRG $PNW $EXC  #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/WaaMucrhwF"
2020-08-21 20:29:32,1296967706378469376,2020-08-22 00:29:32,925751546159169536,sleekoptions,4244,"$ED stock trading volume up by +145.56% | 3,849,997 vs 1,567,825 
 https://t.co/KkxNKGCwmd"
2020-08-22 04:34:02,1297089635202600960,2020-08-22 08:34:02,938804552203165697,sunshineavenue8,204,$EBR.B short interest ratio is 6.63 on 2019-05-31 https://t.co/vMvKDL6TLd $ED 2.78 $CPL 0.70 $FE 6.46 $PBR 1.87
2020-08-22 06:51:02,1297124113853698053,2020-08-22 10:51:02,938804552203165697,sunshineavenue8,204,short ratio interest of $ED is 2.78 at 2019-05-31 https://t.co/w3ku2G46Le $EXC 2.76 $PEG 4.04 $D 3.17
2020-08-22 08:44:19,1297152622772674563,2020-08-22 12:44:19,374729426,Tickeron,5954,"$ED in Downtrend: its price may drop because broke its higher Bollinger Band on July 22, 2020. View odds for this and other indicators: https://t.co/mEEbSLOtbd #ConsolidatedEdison #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/jZoOom2wiJ"
2020-08-22 09:20:07,1297161629587693574,2020-08-22 13:20:07,30861758,rogersds,31,@ForwardDividend Like both of those plays for sure. Looking at $WPC and $ED both in this $70 price range. Expect they both rebound to $75-$80 over the next year or more with 4-6% yields.
2020-08-22 09:23:44,1297162539843883009,2020-08-22 13:23:44,3253982034,ForwardDividend,210,"@rogersds Great picks. $WPC offers yield and currency exposure. $ED is steady with those dividend increases. I need to make up my mind on what do about REIT’s and Utility stocks. I have zero exposure to either sector. Food for thought this weekend, thanks."
2020-08-22 13:38:37,1297226685474054145,2020-08-22 17:38:37,887052326472740866,stocknewstimes,2293,"Consolidated Edison, Inc. $ED Receives Consensus Recommendation of “Hold” from Analysts  https://t.co/9WMG7p8VAI"
2020-08-22 13:40:24,1297227132503031810,2020-08-22 17:40:24,61661638,AmericanBanking,7929,"Consolidated Edison, Inc. $ED Receives Consensus Recommendation of “Hold” from Analysts https://t.co/UjMc34x2H0 #stocks"
